Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Prochilodus_brevis,1,NA,0.230054017353626,0.128297383213562,0.0253931266704004,-0.0125906623723031,-0.060918644684721,-0.212304202897347,-0.413937237206244,-0.521201881615417,-0.479567374249389,-0.358618355004316,-0.210682418077116,0.00093488512654416,0.288759585526221,0.53501625304188,0.580278260765775,0.398178133192293,0.122549493816132,-0.091343885824966,-0.181912062047537,-0.166688772258828,-0.0836244421483653,0.0202154846190767,0.0863807265643572,0.080801444373456,0.0249150421359384,-0.0340601239217697,-0.0747215208513725,-0.103636462600743,-0.122274696234431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plagioscion_squamosissimus,1,NA,-0.0370880277459209,-0.0378714916519867,-0.039315687289355,-0.0409847956649543,-0.0423077276352588,-0.0426157820350546,-0.0411133264249941,-0.0371947497611844,-0.031053341482808,-0.0238906975540338,-0.0172183268397061,-0.0117812455957087,-0.00724300118376142,-0.00297658750510177,0.00101979727835322,0.00417037020954547,-0.0155232236354647,-0.0147552077265956,-0.0146205273535449,-0.0162113048403194,-0.0196577881169576,-0.0125556201797868,-0.0160121878941821,-0.0190118863480858,-0.0214456294805181,-0.0232591520756437,-0.0242850561994306,0.0109682431001568,0.0107939992069826,0.0334477772959979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplias_malabaricus,1,NA,-0.109295194538544,-0.0551274053809326,0.0886118939990278,0.214993147688246,0.156278038667369,-0.0425074785921333,-0.170339870851489,-0.223519309031607,-0.437794252563385,-0.794110337811526,-0.81729429397795,-0.20186997652928,0.579172005315633,0.74285711784149,0.226679892083521,-0.224704528591289,0.0612600903706836,0.102953594161045,0.0325982282640928,-0.0839021284434499,-0.0820007267698135,0.0658946814802815,0.148616299488838,0.12072790794432,0.0394655515707641,-0.000142892475708141,0.00195983830590948,0.0441040150434716,-0.0226329541632667,0.0529390519577846,NA,NA,NA,-0.105510184769974,-0.397940008672037,0.0511525224473812,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cichla_ocellaris,1,NA,0.0394419854900172,0.103094797544233,0.180447727245224,0.204141152360381,0.152443251953293,0.0507455371861711,-0.0757047353910765,-0.219032940232485,-0.352560070979151,-0.40573162581709,-0.310266569880505,-0.080202127953266,0.172236633926261,0.318854018727751,0.239551970000622,0.156096355688068,0.0483640447670123,-0.0357861557112434,-0.0817177943420159,-0.0981770159289826,-0.0973902966935017,-0.0826681324041785,-0.0386805514762286,-0.00639584081039668,-0.00654074457683218,-0.0287953513458611,-0.0483275212065726,-0.0524942022874139,-0.0485742365133249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astronotus_ocellatus,1,NA,-0.631661404023037,-0.207189056199566,0.331079721192418,0.598130144288196,0.516962504026962,0.262027601124619,-0.040860195723873,-0.373936910068296,-0.657576134592663,-0.725322394403566,-0.521587594261584,-0.199119878331511,0.0531771912158281,0.197718898450437,0.147420991471337,0.299132721009866,0.265620096384446,0.182498836057837,0.111283695121559,0.101878288722255,0.506316655541987,0.143088978461805,0.217382091978302,0.226725794926598,0.154961937288942,0.0321423505737665,-0.0579019871796607,-0.061307497113892,-0.0238412894754869,NA,NA,NA,NA,-0.355387657986574,-0.273001272063738,-0.1249387366083,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cichla_monoculus,1,NA,NA,-0.0222209910292919,-0.0222209910292921,-0.0222209910292919,-0.0222209910292921,-0.0222209910292919,-0.0222209910292921,-0.0222209910292919,-0.0222209910292921,-0.0222209910292921,-0.0222209910292919,-0.0222209910292921,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.256153611456661,0.274585090266109,0.040499247942886,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919,-0.0222209910292923,-0.0222209910292919,-0.0222209910292919
Poecilia_gillii,1,NA,NA,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503,-0.00684159081054503
Microphis_lineatus,1,NA,NA,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799923,0.0108436648799919,0.0108436648799928,0.0108436648799923,0.0108436648799923,0.0108436648799919,0.0108436648799928,0.0108436648799923
Gobiomorus_dormitor,1,NA,NA,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.039731546068323,-0.0397315460683223,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0397315460683227,-0.0619536300356027,-0.0608544537087444,-0.0583313950494231,-0.0542442891248451,-0.0489057833654938,-0.043230213993189,-0.0385730525070883,-0.0360928535542646
Astyanax_panamensis,1,NA,NA,-0.0370782674775721,-0.037078267477572,-0.037078267477572,-0.0370782674775721,-0.0370782674775721,-0.037078267477572,-0.0370782674775721,-0.037078267477572,-0.0370782674775721,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.0370782674775723,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.037078267477572,-0.0370782674775723,-0.0370782674775718,-0.0370782674775723,-0.0370782674775723,-0.0370782674775718,-0.0370782674775723,-0.0370782674775723,-0.0370782674775718,-0.0370782674775723
