ID,min_year,max_year
5541,1983,1992
5542,1983,1992
5543,1983,1992
5544,1983,1993
5545,1985,1992
5546,1983,1993
5547,1983,1992
5548,1988,1992
5549,1985,1991
5550,1985,1992
5551,1986,1992
5552,1983,1992
5554,1983,1992
5555,1987,1992
6075,1997,2001
6076,1997,2001
6077,1997,2001
6078,1997,2001
6079,1997,2001
6080,1997,2001
6081,1997,2001
6082,1997,2001
6083,1997,2001
6084,1997,2001
7855,1992,2001
7860,1992,2001
7861,1992,2001
7862,1992,2001
7863,1992,2001
7864,1992,2001
7865,1992,2001
7866,1992,2001
7867,1992,2001
7878,1992,2001
7879,1992,2001
7880,1992,2001
7881,1992,2001
7882,1992,2001
7883,1992,2001
7884,1992,2001
7885,1992,2001
7886,1992,2001
7887,1992,2001
7888,1992,2001
7889,1992,2001
7890,1992,2001
7891,1992,2001
7892,1992,2001
7893,1992,2001
7894,1992,2001
7895,1992,2001
7896,1992,2001
7897,1992,2001
7898,1992,2001
7899,1992,2001
7900,1992,2001
7901,1992,2001
7902,1992,2001
7903,1992,2001
7904,1992,2001
7905,1992,2001
7906,1992,2001
7907,1992,2001
7908,1992,2001
7909,1992,2001
7910,1992,2001
7911,1992,2001
7912,1992,2001
7913,1992,2001
7919,2000,2001
7920,2000,2001
7921,2000,2001
7922,2000,2001
7923,2000,2001
7924,2000,2001
7925,2000,2001
7926,2000,2001
7927,2000,2001
7928,2000,2001
7929,2000,2001
7930,2000,2001
7931,2000,2001
7932,2000,2001
7933,2000,2001
7934,2000,2001
7935,2000,2001
7936,2000,2001
7937,2000,2001
7938,2000,2001
7939,2000,2001
7940,2000,2001
7941,2000,2001
7942,2000,2001
7943,2000,2001
7944,2000,2001
7945,2000,2001
7946,2000,2001
7947,2000,2001
7948,2000,2001
7949,2000,2001
7950,2000,2001
7951,2000,2001
7952,2000,2001
7953,2000,2001
7954,2000,2001
7955,2000,2001
7956,2000,2001
7957,2000,2001
7958,2000,2001
7959,2000,2001
7960,2000,2001
7961,2000,2001
7962,2000,2001
8735,1992,2001
8747,1996,1998
8749,1984,1997
8820,1996,1999
8821,1996,1999
8822,1996,1999
8887,1994,1997
8888,1994,1997
8889,1994,1997
9482,1997,2002
9605,1996,1999
9607,1996,1999
9609,1996,1999
9622,1998,1999
9623,1998,1999
9624,1998,1999
9625,1996,1999
9626,1998,1999
11327,1999,2001
11370,1971,2000
11371,1971,2000
11372,1971,2000
11373,1971,2000
11374,1971,2000
14880,1997,2002
14881,1999,2000
14882,1999,2000
14884,1997,2002
14885,1997,2002
14890,1997,2002
14891,1997,2002
14892,1997,2002
14934,1996,2006
14935,1996,2001
14947,1997,2002
14948,1997,2001
14949,1997,2002
14950,1997,2002
14951,1997,2002
14952,1997,2002
14953,1997,2002
14964,1990,2000
14966,1999,2000
17527,1985,1990
17528,1985,1990
17529,1985,1990
17531,1986,1993
17532,1986,1993
17534,2004,2005
17535,1992,1993
17536,1997,2002
17538,1998,2008
17539,1986,2001
17542,2008,2014
17543,2009,2010
17545,2009,2012
17546,2009,2012
17549,2005,2008
17550,2005,2008
17551,2005,2008
17553,2005,2007
17554,2005,2007
17555,2005,2007
17556,2005,2007
17557,2005,2007
17558,2005,2007
17560,2000,2001
17561,2000,2001
17562,2000,2001
17563,2000,2001
17564,2000,2001
17565,2000,2001
17566,2000,2001
17567,2000,2001
17568,2000,2001
17574,1987,1998
17575,1987,1998
17576,1987,1998
17577,1987,1998
17578,1987,1998
17579,1987,1998
17580,1987,1998
17581,1987,1998
17582,1987,1998
17583,1987,1998
17584,1987,1998
17585,1987,1998
17586,1987,1998
17587,1987,1998
17588,1987,1998
17589,1987,1998
17590,1987,1998
17591,1987,1998
17592,2000,2001
17593,1987,1998
17594,1987,1998
17595,1987,1998
17596,1987,1998
17597,1987,1998
17598,1987,1998
17599,1987,1998
17600,1987,1998
17601,1987,1998
18481,1997,2012
18482,2011,2012
18522,1996,2011
18524,1996,2011
18525,1996,2010
18527,1996,2009
18528,1996,2011
18530,1997,2011
19803,2005,2015
21253,2009,2015
21254,2009,2015
21255,2009,2015
21256,2009,2015
21257,2010,2015
21258,2010,2015
21289,2010,2015
21310,2010,2015
25486,1972,2016
25488,1972,2016
25490,1972,2016
25491,1972,2016
25492,1972,2016
25493,1972,2016
26627,2008,2016
26631,2008,2016
26638,2008,2016
26639,2008,2016
26641,2004,2007
26642,2004,2007
26643,2004,2007
26644,2004,2007
26645,2004,2007
26646,2004,2007
26651,2004,2007
26653,2006,2007
26655,2004,2007
26657,2004,2007
26659,2004,2007
26660,2004,2007
26661,2004,2007
26662,2005,2007
26663,2004,2007
26664,2005,2007
26665,2004,2007
26667,2004,2007
26668,2004,2007
26670,2004,2007
26671,2005,2007
26672,2004,2007
26675,2004,2007
26676,2004,2007
26678,2004,2007
26679,2004,2007
26681,2004,2007
26684,2004,2007
26685,2004,2007
26686,2004,2007
26687,2004,2007
26688,2004,2007
26689,2004,2007
26690,2004,2007
26691,2004,2007
26692,2004,2007
26693,2004,2007
26694,2004,2007
26695,2004,2007
26696,2004,2007
26697,2004,2007
26698,2004,2007
26700,2005,2007
26824,2008,2016
27215,1987,1998
27266,2008,2013
27267,2008,2013
27268,2008,2013
27269,2008,2013
27270,2008,2013
27271,2008,2013
27272,2008,2013
