ID,min_year,max_year
1078,1991,1993
1085,1980,1997
1086,1985,1990
1087,1985,1995
1088,1971,1985
1089,1963,1981
2368,1999,2003
2369,1999,2003
4608,1991,1993
5367,1990,1992
5368,1990,1992
6187,1986,1990
6190,1986,1990
6202,1986,1990
6210,1986,1990
6219,1986,1990
6222,1986,1990
6235,1986,1990
6239,1986,1990
6248,1986,1990
6249,1986,1990
6305,1986,1990
6314,1986,1990
6342,1986,1990
6343,1986,1990
6344,1986,1990
6362,1986,1990
6474,1975,2001
6475,1975,2001
6476,1975,2001
6477,1995,2004
6478,1987,1990
6479,1971,2001
6480,1992,1998
6481,1983,2002
8619,1978,2004
8620,1978,2004
8621,1978,2004
9581,2000,2002
9582,2001,2002
9583,2000,2002
10495,2004,2007
10497,2004,2007
10498,2004,2007
11939,2005,2007
11941,2005,2007
14946,2003,2008
17731,2003,2005
17732,2007,2009
17733,2007,2009
17734,2007,2009
17735,2005,2006
17736,2006,2012
17746,1994,2009
17747,1994,2009
17748,2010,2011
17749,2008,2009
17750,2011,2012
17755,2004,2008
18333,1996,2006
19508,2007,2008
19554,2007,2008
19555,2007,2008
19792,1982,1983
19794,1982,1983
19797,1982,1983
19805,2006,2007
21226,2000,2004
21227,2004,2005
21228,2004,2006
25408,2004,2008
25410,2004,2008
25499,2006,2013
25502,2006,2013
25605,2003,2008
25608,2003,2008
26466,2003,2008
26470,2003,2008
26471,2003,2008
26472,2003,2008
26475,2003,2008
26477,2003,2008
26479,2003,2008
26480,2003,2008
26481,2003,2008
26482,2003,2008
26483,2003,2008
26484,2003,2008
26485,2003,2008
26495,2003,2008
26496,2003,2008
26497,2003,2008
26498,2003,2008
26500,2003,2008
