"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Agalychnis_lemur","Agalychnis_lemur",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756528,-0.400864274756529,-0.400864274756528,NA,NA,NA,NA,NA
"Alligator_mississippiensis","Alligator_mississippiensis",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138986095165589,-0.0246224749083321,-0.139661993429006,0.17107045768063,-0.253257213867981,NA,NA,NA,NA,NA
"Allobates_marchesianus","Allobates_marchesianus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116994468819948,0.116994468819948,0.116994468819948,0.116994468819948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_coynei","Atelopus_coynei",2,1,NA,NA,NA,NA,NA,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,-0.0770892836070245,-0.0770892836070245,-0.0770892836070249,-0.0770892836070249,-0.0770892836070245,-0.0770892836070245,-0.0770892836070249,-0.0770892836070249,-0.0770892836070245,-0.0770892836070245,-0.0770892836070249,-0.0770892836070249,-0.0770892836070245,-0.0770892836070245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_cruciger","Atelopus_cruciger",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117385598717854,NA,NA,NA,NA,NA,NA
"Atelopus_longirostris","Atelopus_longirostris",2,1,NA,NA,NA,NA,NA,-0.0770892836070248,-0.0770892836070246,-0.0770892836070248,-0.0770892836070246,-0.0770892836070247,-0.0770892836070248,-0.0770892836070247,-0.0770892836070247,-0.0770892836070245,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,-0.0770892836070247,-0.0770892836070245,-0.0770892836070247,-0.0770892836070249,-0.0770892836070247,-0.0770892836070245,-0.0770892836070247,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,-0.0770892836070245,-0.0770892836070249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_mindoensis","Atelopus_mindoensis",2,1,NA,NA,NA,NA,NA,-0.0770892836070247,-0.0770892836070247,-0.0770892836070248,-0.0770892836070246,-0.0770892836070247,-0.0770892836070247,-0.0770892836070247,-0.0770892836070248,-0.0770892836070246,-0.0770892836070248,-0.0770892836070247,-0.0770892836070248,-0.0770892836070247,-0.0770892836070246,-0.0770892836070247,-0.0770892836070248,-0.0770892836070247,-0.0770892836070246,-0.0770892836070246,-0.077089283607025,-0.0770892836070247,-0.0770892836070245,-0.0770892836070247,-0.0770892836070249,-0.0770892836070245,-0.0770892836070247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_mucubajiensis","Atelopus_mucubajiensis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,-0.222702374864738,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_pinangoi","Atelopus_pinangoi",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atelopus_planispina","Atelopus_planispina",2,1,NA,-0.0668107124594214,-0.0668107124594215,-0.0668107124594215,-0.0668107124594213,-0.0668107124594215,-0.0668107124594213,-0.0668107124594215,-0.0668107124594215,-0.0668107124594213,-0.0668107124594215,-0.0668107124594213,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594213,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594211,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594211,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,-0.0668107124594215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
