"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" -99 NA NA
"1975" -99 NA NA
"1976" -99 NA NA
"1977" -99 NA NA
"1978" -99 NA NA
"1979" -99 NA NA
"1980" -99 NA NA
"1981" -99 NA NA
"1982" -99 NA NA
"1983" -99 NA NA
"1984" -99 NA NA
"1985" -99 NA NA
"1986" -99 NA NA
"1987" -99 NA NA
"1988" -99 NA NA
"1989" -99 NA NA
"1990" -99 NA NA
"1991" 0.721110255092799 0.721110255092799 0.721110255092799
"1992" 0.597337639314683 0.520000000000001 0.686177414119303
"1993" 0.573620027818675 0.489188302228455 0.676870903207346
"1994" 0.583909728238647 0.441971372187875 0.799089897141598
"1995" 0.653321182221145 0.41853568939896 0.908007330295523
"1996" 0.739103332042142 0.40018229169643 1.1290667554749
"1997" 0.844106802326365 0.438817251549141 1.33690509809748
"1998" 0.956541521271686 0.434038749104844 1.65779208010916
"1999" 1.2238832334411 0.57940928036954 2.12112478784992
"2000" 1.60030312228176 0.769545001461721 2.86771721838273
"2001" 1.49983052608119 0.585138283979185 3.02338016576622
"2002" 1.74467707757401 0.680661803795166 3.51694540168247
"2003" 2.00654503728956 0.782825992290145 4.044822639601
"2004" 2.5337078630924 0.988491329742542 5.48152040365344
"2005" 1.42883635270264 0.419295757450398 4.78356344397794
"2006" 1.50902412835263 0.45268365812884 5.01279272681516
"2007" 2.56055472964674 0.401121729715566 10.9088665910582
"2008" 2.15479281934446 0.355761231569552 8.96641980889195
"2009" 1.83835932299417 0.316780035152881 8.27347086480609
"2010" 1.61454273736015 0.270273228200546 7.12715014846431
"2011" 1.47869573437119 0.247532543058184 6.48552253608969
"2012" 1.4120218512957 0.236670174409346 6.19309255120263
"2013" 1.38241423924872 0.235895722730369 6.06323430470397
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
