Binomial	ID	year	popvalue
Lontra_longicaudis	5780	1990	0.125
Pteronura_brasiliensis	18253	1991	48
Pteronura_brasiliensis	18253	1992	49
Nectomys_squamipes	8684	1992	7
Lontra_longicaudis	5780	1992	0.065
Nectomys_squamipes	18534	1993	8.859617
Pteronura_brasiliensis	18253	1993	44
Pteronura_brasiliensis	11296	1993	0
Nectomys_squamipes	8684	1993	7
Nectomys_squamipes	18534	1994	6.021325
Pteronura_brasiliensis	18253	1994	42
Nectomys_squamipes	8684	1994	3
Lontra_longicaudis	5780	1994	0.065
Pteronura_brasiliensis	18253	1995	43
Nectomys_squamipes	8684	1995	5
Pteronura_brasiliensis	18253	1996	48
Nectomys_squamipes	8684	1996	8
Pteronura_brasiliensis	11296	1997	2
Nectomys_squamipes	8684	1997	8
Nectomys_squamipes	8757	1998	1
Nectomys_squamipes	8684	1998	2
Pteronura_brasiliensis	18253	1999	64
Inia_geoffrensis	11086	1999	5.75
Inia_geoffrensis	11085	1999	1.9
Inia_geoffrensis	11074	1999	0.23
Nectomys_squamipes	8757	1999	1.5
Nectomys_squamipes	8684	1999	4
Pteronura_brasiliensis	18253	2000	78
Inia_geoffrensis	11086	2000	4.84
Inia_geoffrensis	11085	2000	1.8
Inia_geoffrensis	11074	2000	0.55
Pteronura_brasiliensis	18253	2001	81
Pteronura_brasiliensis	11296	2001	19
Inia_geoffrensis	11086	2001	5.04
Inia_geoffrensis	11085	2001	1.6
Inia_geoffrensis	11074	2001	0.16
Pteronura_brasiliensis	18253	2002	82
Pteronura_brasiliensis	18253	2003	82
Nectomys_squamipes	8717	2003	5
Pteronura_brasiliensis	18253	2004	88
Pteronura_brasiliensis	11296	2004	41
Pteronura_brasiliensis	10511	2004	0.656
Nectomys_squamipes	8717	2004	7
Pteronura_brasiliensis	18253	2005	87
Pteronura_brasiliensis	10511	2005	0.067
Nectomys_squamipes	8717	2005	7
Sotalia_fluviatilis	25507	2006	3.3756
Inia_geoffrensis	25505	2006	5.1816
Pteronura_brasiliensis	18253	2006	81
Pteronura_brasiliensis	10511	2006	0.065
Nectomys_squamipes	8717	2006	8
Sotalia_fluviatilis	25507	2007	2.2528
Inia_geoffrensis	25505	2007	3.2728
Pteronura_brasiliensis	10511	2007	0.452
Sotalia_fluviatilis	25507	2008	2.7186
Inia_geoffrensis	25505	2008	5.528
Sotalia_fluviatilis	25507	2009	0.9269
Inia_geoffrensis	25505	2009	3.2346
Sotalia_fluviatilis	25507	2010	1.4095
Inia_geoffrensis	25505	2010	3.0984
Sotalia_fluviatilis	25507	2011	0.8887
Inia_geoffrensis	25505	2011	1.8251
Sotalia_fluviatilis	25507	2012	0.903
Inia_geoffrensis	25505	2012	3.8462
Sotalia_fluviatilis	25507	2013	1.4023
Inia_geoffrensis	25505	2013	3.2083
