population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
5780,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.1419983281826,-0.1419983281826,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18253,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0215652528870955,-0.0177917206216269,-0.00807026346879214,0.00799754770199734,0.0271871177531595,0.0436423937918797,0.0522868986198044,0.0521195642581864,0.0440327368993008,0.032304297475654,0.0208405713756596,0.0109625519715897,0.00246927571591504,-0.0042671558552978,-0.00796767650637853,-1,-1,-1,-1,-1,-1,-1
11296,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.257116574985361,0.257116574985362,0.257116574985362,0.257116574985361,0.234928816126174,0.234928816126174,0.234928816126174,0.234928816126174,0.110505161770471,0.110505161770471,0.110505161770471,-1,-1,-1,-1,-1,-1,-1,-1,-1
10511,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.990829036674834,-0.0131614460579708,0.842225078168526,-1,-1,-1,-1,-1,-1
8684,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.034995004560801,-0.0349950045607204,-0.0349950045606765,-0.0349950045608283,-0.0349950045612144,-0.0349950045616793,-0.0349950045619789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18534,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.167722878992223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8757,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.176091259055681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8717,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.146128035678238,0,0.0579919469776867,-1,-1,-1,-1,-1,-1,-1
11086,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.074822483045218,0.0175851748011129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11085,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0234810958495228,-0.0511525224473813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11074,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.378634853476651,-0.536242706838319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25505,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0305867572684958,-0.0305867572681313,-0.030586757266978,-0.0305867572646471,-0.0305867572613512,-0.0305867572581047,-0.0305867572561747
25507,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.122724683867768,-0.119270329353342,-0.107363478182023,-0.0821749557605914,-0.0457546934088883,-0.00948804774693996,0.0121803191698943
