Binomial	ID	year	popvalue
Phoenicopterus_roseus	11136	1950	1500
Anser_anser	7384	1950	0
Platalea_leucorodia	7382	1950	0
Phalacrocorax_carbo	7376	1950	0
Bubulcus_ibis	7375	1950	0
Ardea_alba	7373	1950	0
Plegadis_falcinellus	6927	1950	0
Ardea_alba	6924	1950	0
Tringa_totanus	1903	1950	100
Calidris_pugnax	1795	1950	40
Limosa_limosa	1743	1950	50
Aythya_marila	1605	1950	20
Phoenicopterus_roseus	11136	1951	2000
Thalasseus_sandvicensis	7402	1951	2
Anser_anser	7384	1951	0
Platalea_leucorodia	7382	1951	0
Phalacrocorax_carbo	7376	1951	0
Bubulcus_ibis	7375	1951	0
Ardea_alba	7373	1951	0
Plegadis_falcinellus	6927	1951	0
Ardea_alba	6924	1951	0
Platalea_leucorodia	6828	1951	0
Podiceps_cristatus	6665	1951	1
Phoenicopterus_roseus	11136	1952	1800
Anser_anser	7384	1952	0
Platalea_leucorodia	7382	1952	0
Phalacrocorax_carbo	7376	1952	0
Bubulcus_ibis	7375	1952	0
Ardea_alba	7373	1952	0
Platalea_leucorodia	7242	1952	70
Ardeola_ralloides	7240	1952	220
Egretta_garzetta	7239	1952	50
Phalacrocorax_carbo	7234	1952	540
Ardeola_ralloides	7071	1952	200
Ardea_cinerea	7070	1952	200
Plegadis_falcinellus	6927	1952	0
Ardea_alba	6924	1952	0
Ardea_cinerea	6907	1952	60
Platalea_leucorodia	6828	1952	0
Ciconia_ciconia	1276	1952	222
Ardea_cinerea	1223	1952	652
Anser_anser	1213	1952	25000
Phoenicopterus_roseus	11136	1953	2350
Anser_anser	7384	1953	0
Platalea_leucorodia	7382	1953	0
Phalacrocorax_carbo	7376	1953	0
Bubulcus_ibis	7375	1953	0
Ardea_alba	7373	1953	0
Plegadis_falcinellus	6927	1953	0
Ardea_alba	6924	1953	0
Platalea_leucorodia	6828	1953	0
Phoenicopterus_roseus	11136	1954	2500
Anser_anser	7384	1954	0
Platalea_leucorodia	7382	1954	0
Phalacrocorax_carbo	7376	1954	0
Bubulcus_ibis	7375	1954	0
Ardea_alba	7373	1954	0
Nycticorax_nycticorax	7015	1954	930
Cygnus_olor	7014	1954	15
Plegadis_falcinellus	6927	1954	0
