ID,min_year,max_year
309,1991,2000
466,1988,1999
467,1988,1999
1167,1960,1977
1168,1960,1977
1169,1975,1998
1170,1975,1998
1171,1974,2002
1172,1974,2002
1173,1975,1995
1174,1991,2000
1175,1991,2000
1176,1974,2002
1177,1975,1995
1178,1993,2002
1179,1974,2002
1180,1974,2002
1181,1975,1995
1182,1993,2002
1183,1991,2000
1184,1982,1992
1185,1975,1995
1186,1991,2000
1187,1974,2002
1188,1974,2002
1189,1993,2002
1190,1975,1995
1191,1974,2002
1192,1991,2000
1193,1974,2002
1194,1974,2002
1195,1975,1995
1196,1975,1995
1197,1992,2001
1198,1975,1998
1199,1970,1994
1200,1990,1995
1201,1974,2002
1202,1974,2002
1203,1993,2002
1204,1990,1995
1205,1990,1995
1206,1980,1995
1207,1980,1995
1208,1971,1985
1209,1985,1995
1210,1985,1995
1211,1970,1995
1212,1970,1995
1213,1952,1991
1214,1985,1995
1215,1980,1995
1216,1980,1995
1217,1985,1995
1218,1980,1995
1219,1985,1995
1220,1970,1990
1221,1971,1989
1222,1968,1991
1223,1952,1992
1224,1971,2002
1225,1962,2007
1226,1965,1994
1227,1980,1998
1228,1975,2002
1229,1973,1993
1230,1978,1995
1231,1988,1990
1232,1974,2002
1233,1991,2000
1234,1960,1985
1235,1974,2002
1236,1974,2002
1237,1993,2002
1238,1963,1981
1239,1954,1979
1240,1975,1998
1241,1974,2002
1242,1990,1995
1243,1974,2002
1244,1974,2002
1245,1975,1995
1246,1982,1994
1247,1982,1994
1248,1967,1988
1249,1960,1994
1250,1960,1997
1251,1965,1997
1252,1970,2000
1253,1979,1997
1254,1954,1997
1255,1970,1999
1256,1979,1994
1257,1980,1994
1258,1979,1994
1259,1979,1994
1260,1971,2005
1261,1979,1994
1262,1979,1994
1263,1979,1994
1264,1981,1994
1265,1979,1994
1266,1979,1994
1267,1979,1994
1268,1979,1994
1269,1974,2002
1270,1990,1995
1271,1974,2002
1272,1974,2002
1273,1975,1995
1274,1962,2004
1275,1974,2002
1276,1952,1995
1277,1957,1995
1278,1995,2004
1279,1974,1994
1280,1984,2005
1281,1974,2002
1282,1974,2002
1283,1974,2002
1284,1974,2002
1285,1990,1995
1286,1974,2002
1287,1955,2002
1288,1974,2002
1289,1993,2002
1290,1975,2002
1291,1963,1982
1292,1960,1980
1293,1975,1998
1294,1975,1998
1295,1969,1995
1296,1974,2002
1297,1991,2000
1298,1974,2002
1299,1974,2002
1300,1993,2002
1301,1975,1998
1302,1981,1998
1303,1962,2000
1304,1965,2000
1305,1984,1987
1306,1989,1995
1307,1976,1989
1308,1974,2002
1309,1974,2002
1310,1974,2002
1311,1990,1995
1312,1954,1980
1313,1963,1981
1314,1974,2002
1315,1974,2002
1316,1979,2002
1317,1990,1995
1318,1973,1991
1319,1993,2002
1320,1985,2002
1321,1974,2002
1322,1990,1995
1323,1976,1997
1324,1993,2002
1325,1966,1999
1326,1977,1995
1327,1993,2001
1328,1993,2000
1329,1990,2002
1331,1971,2005
1332,1987,1997
1333,1984,2005
1334,1955,1997
1335,1965,1997
1336,1975,1998
1337,1983,1990
1339,1975,1990
1340,1971,1991
1341,1985,1996
1342,1985,1996
1343,1985,1996
1344,1993,2000
1345,1991,2000
1346,1991,2000
1347,1991,2000
1348,1991,2000
1349,1991,2000
1350,1992,2000
1351,1991,2000
1352,1985,1996
1605,1950,1992
1650,1992,2001
1651,1991,2000
1677,1988,1999
1732,1991,2000
1733,1991,2000
1734,1971,1991
1735,1991,2000
1736,1991,2000
1737,1991,2000
1738,1982,1999
1739,1991,2000
1740,1993,2000
1741,1991,2000
1742,1991,2000
1743,1950,1990
1744,1991,2000
1746,1993,2001
1747,1982,1999
1748,1991,2000
1749,1958,1989
1750,1972,1992
1778,1991,2000
1779,1970,1995
1780,1986,2005
1781,1986,2005
1782,1986,2005
1783,1986,2005
1784,1986,2003
1785,1986,2003
1786,1986,2005
1787,1980,1990
1788,1986,2005
1789,1975,1994
1794,1988,1999
1795,1950,1990
1796,1991,2000
1797,1985,1996
1891,1980,2002
1892,1991,2000
1893,1974,2002
1894,1980,1990
1895,1991,2000
1896,1982,1999
1897,1974,2002
1898,1988,1999
1899,1972,1992
1900,1993,2002
1901,1984,1999
1902,1982,1999
1903,1950,1990
1904,1991,2000
2477,1996,2003
2478,1987,1999
2479,1974,1998
2480,1996,2005
2481,1987,1999
2482,1974,1998
2483,1996,2005
2484,1987,1999
2485,1974,1998
2486,1996,2005
2487,1997,2003
2488,1987,1999
2489,1974,1998
2492,1996,2005
2493,1987,1999
2494,1974,1998
2495,1996,2005
2496,1987,1999
2497,1974,1998
2501,1970,1990
2502,1973,2004
2503,1987,1999
2504,1996,2005
2505,1997,2003
2506,1987,1999
2507,1996,2005
2508,1996,2005
2509,1996,2005
2510,1996,2005
2511,1987,1999
2512,1974,1998
2513,1976,2003
2515,1996,2001
2516,1987,1999
2517,1974,1998
2521,1996,2003
2522,1996,2003
2523,1974,1998
2524,1996,2003
2525,1974,1998
2526,1974,1998
2547,1995,2004
2548,1992,2000
2550,1987,1999
2552,1994,2004
2661,1996,2005
2663,1989,2002
2664,1995,1999
2665,1993,2000
2698,1997,2003
2699,1987,1999
3518,1984,2014
4604,1968,2002
4605,1967,2002
4606,1987,2002
4609,1967,2002
4652,1988,2000
4653,1994,2000
4654,1992,2000
5082,2002,2005
5083,1960,2006
5084,2002,2004
5093,1997,2004
5102,1997,2004
5103,1997,2004
5104,1997,2004
5105,1997,2004
5106,1997,2002
5108,1997,2004
5110,1997,2004
5133,2005,2006
5135,1973,2004
5144,1975,2005
5147,1974,2004
5148,1974,2004
5153,1990,2004
5155,1990,2004
5157,1990,2004
5171,1990,2006
5172,1990,2006
5186,1997,2004
5187,1997,2004
5188,1997,2004
5189,1997,2004
5294,1988,2000
5295,1988,2000
5296,1988,2000
5298,1988,2000
5300,1988,2000
5301,1988,2000
5302,1988,2000
5303,1988,2000
5460,1994,2006
5461,1994,2006
5499,1996,1997
5957,1963,1981
5958,1954,1980
5959,1963,1981
5960,1954,1980
5961,1963,1981
5962,1954,1980
5963,1963,1981
5971,1963,1981
6013,1962,1975
6036,1971,1992
6037,1968,1992
6038,1980,1992
