Binomial	ID	year	popvalue
Myodes_rufocanus	5831	1950	15
Equus_zebra	82	1950	50000
Myodes_rufocanus	5831	1951	0
Myodes_rufocanus	5831	1952	1
Ardea_cinerea	1223	1952	652
Anser_anser	1213	1952	25000
Myodes_rufocanus	5831	1953	5
Myodes_rufocanus	5831	1954	10
Botaurus_stellaris	1254	1954	80
Aythya_fuligula	1239	1954	35
Myodes_rufocanus	5831	1955	14
Myodes_rufocanus	5831	1956	5
Aythya_fuligula	1239	1956	33
Myodes_rufocanus	5831	1957	0
Aythya_fuligula	1239	1957	18
Myodes_rufocanus	5831	1958	2
Aythya_fuligula	1239	1958	32
Myodes_rufocanus	5831	1959	9
Equus_burchellii	80	1959	180
Connochaetes_taurinus	55	1959	250
Aepyceros_melampus	32	1959	600
Myodes_rufocanus	5831	1960	6
Aythya_nyroca	1250	1960	500
Aythya_nyroca	1249	1960	175
Aythya_ferina	1234	1960	90
Myodes_rufocanus	5831	1961	0
Aythya_ferina	1234	1961	95
Equus_burchellii	80	1961	115
Connochaetes_taurinus	55	1961	250
Aepyceros_melampus	32	1961	451
Myodes_rufocanus	5831	1962	2
Aythya_ferina	1234	1962	105
Ardea_cinerea	1225	1962	2600
Hucho_hucho	25616	1963	12.98
Myodes_rufocanus	5831	1963	12
Aythya_fuligula	1239	1963	53
Aythya_fuligula	1238	1963	157
Aythya_ferina	1234	1963	50
Morone_americana	9531	1964	129.5
Myodes_rufocanus	5831	1964	12
Aythya_fuligula	1239	1964	19
Aythya_fuligula	1238	1964	160
Aythya_ferina	1234	1964	60
Morone_americana	9531	1965	142.6
Clupea_harengus	6201	1965	43358
Myodes_rufocanus	5831	1965	0
Aythya_nyroca	1251	1965	75000
Aythya_fuligula	1239	1965	51
Aythya_ferina	1234	1965	100
Ardea_purpurea	1226	1965	1000
Hippotragus_equinus	101	1965	700
Giraffa_camelopardalis	92	1965	2500
Equus_burchellii	80	1965	115
Connochaetes_taurinus	55	1965	7
Aepyceros_melampus	32	1965	285
Aepyceros_melampus	31	1965	25000
Morone_americana	9531	1966	166.7
Clupea_harengus	6201	1966	53612
Myodes_rufocanus	5831	1966	2
Aythya_fuligula	1239	1966	47
Aythya_fuligula	1238	1966	233
Aythya_ferina	1234	1966	120
Ardea_cinerea	1223	1966	178
Morone_americana	9531	1967	81.2
Coregonus_autumnalis	9483	1967	28
Clupea_harengus	6201	1967	66875
Myodes_rufocanus	5831	1967	2
Aythya_nyroca	1248	1967	18000
Aythya_ferina	1234	1967	130
Ardea_cinerea	1225	1967	1900
Equus_burchellii	80	1967	100
Connochaetes_taurinus	55	1967	2
Aepyceros_melampus	32	1967	380
Acipenser_gueldenstaedtii	27339	1968	113.2
Hucho_hucho	25616	1968	0.36
Nycticorax_nycticorax	23105	1968	215
Morone_americana	9531	1968	54.9
Coregonus_autumnalis	9483	1968	30
Clupea_harengus	6201	1968	60581
Myodes_rufocanus	5831	1968	5
Aythya_fuligula	1238	1968	228
Aythya_ferina	1234	1968	175
Ardea_cinerea	1225	1968	2032
Anser_anser	1222	1968	30000
Acipenser_gueldenstaedtii	27339	1969	94
Nycticorax_nycticorax	23105	1969	1190
Morone_americana	9531	1969	138.4
Coregonus_autumnalis	9483	1969	28
Clupea_harengus	6201	1969	61818
Myodes_rufocanus	5831	1969	13
Aythya_fuligula	1239	1969	38
Aythya_fuligula	1238	1969	188
Aythya_ferina	1234	1969	140
Ardea_cinerea	1223	1969	297
Acipenser_gueldenstaedtii	27339	1970	74
Nycticorax_nycticorax	23105	1970	514
Amblyraja_radiata	19906	1970	2.921789
Amblyraja_radiata	19905	1970	13.614899
Amblyraja_radiata	19904	1970	4.37868
Amblyraja_radiata	19903	1970	1.296613
Amblyraja_radiata	19901	1970	0.9
Amblyraja_radiata	19900	1970	6.596044
Amblyraja_radiata	19898	1970	3.198444
Amblyraja_radiata	19897	1970	7.075789
Amblyraja_radiata	19896	1970	2.307692
Amblyraja_radiata	19895	1970	2.071429
Morone_americana	9531	1970	47.4
Coregonus_autumnalis	9483	1970	42
Myodes_glareolus	6283	1970	5.9035
Myocastor_coypus	6281	1970	1.12917
Dermochelys_coriacea	6212	1970	70
Clupea_harengus	6201	1970	81959
Myodes_rufocanus	6197	1970	20.69
Myodes_rufocanus	5831	1970	3
Larus_canus	2595	1970	21.3
Larus_canus	2594	1970	105.3
Larus_canus	2592	1970	89.9
Larus_canus	2591	1970	122.5
Larus_canus	2587	1970	52.5
Larus_canus	2586	1970	302.7
Larus_argentatus	2579	1970	206.8
Larus_argentatus	2578	1970	10
Larus_argentatus	2577	1970	258.2
Larus_argentatus	2576	1970	60
Larus_argentatus	2575	1970	260
Larus_argentatus	2574	1970	213.7
Larus_argentatus	2572	1970	42.6
Larus_argentatus	2571	1970	34.6
Larus_argentatus	2570	1970	155.5
Larus_argentatus	2569	1970	158
Larus_argentatus	2568	1970	123.8
Larus_argentatus	2567	1970	587
Larus_argentatus	2566	1970	122
Larus_argentatus	2565	1970	310.1
Larus_argentatus	2564	1970	9.9
Larus_argentatus	2563	1970	3.6
Larus_argentatus	2562	1970	176.5
Solea_solea	2542	1970	50.7
Reinhardtius_hippoglossoides	2540	1970	312.354
Pollachius_virens	2539	1970	1288.238
Pollachius_virens	2538	1970	1242.746
Melanogrammus_aeglefinus	2535	1970	898942
Melanogrammus_aeglefinus	2534	1970	309.815
Gadus_morhua	2532	1970	2057698
Clupea_harengus	2530	1970	30
Clupea_harengus	2529	1970	374.783
Botaurus_stellaris	1255	1970	494
Botaurus_stellaris	1252	1970	72
Aythya_ferina	1234	1970	100
Anser_anser	1220	1970	154
Anser_anser	1212	1970	60000
Equus_burchellii	80	1970	75
Connochaetes_taurinus	55	1970	0
Aepyceros_melampus	32	1970	451
Nycticorax_nycticorax	23105	1971	1412
Amblyraja_radiata	19906	1971	3.605797
Amblyraja_radiata	19905	1971	12.664422
Amblyraja_radiata	19904	1971	17.049798
Amblyraja_radiata	19903	1971	2.808617
Amblyraja_radiata	19901	1971	1.45
Amblyraja_radiata	19898	1971	4.625
Amblyraja_radiata	19897	1971	7.105263
Amblyraja_radiata	19896	1971	1.555556
Amblyraja_radiata	19895	1971	1.302326
Morone_americana	9531	1971	69.4
Coregonus_autumnalis	9483	1971	31
Myodes_glareolus	6283	1971	0.142
Myocastor_coypus	6281	1971	1.59583
Dermochelys_coriacea	6212	1971	240
Clupea_harengus	6201	1971	85159
Myodes_rufocanus	6197	1971	20.23
Myodes_rufocanus	5831	1971	0
Larus_canus	2595	1971	21.9
Larus_canus	2594	1971	104.6
Larus_canus	2592	1971	100.4
Larus_canus	2591	1971	119
Larus_canus	2587	1971	43.7
Larus_canus	2586	1971	279.5
Larus_argentatus	2579	1971	205.7
Larus_argentatus	2578	1971	10
Larus_argentatus	2577	1971	279
Larus_argentatus	2576	1971	60
Larus_argentatus	2575	1971	261
Larus_argentatus	2574	1971	243
Larus_argentatus	2572	1971	42
Larus_argentatus	2571	1971	37.2
Larus_argentatus	2570	1971	157.3
Larus_argentatus	2569	1971	163.2
Larus_argentatus	2568	1971	121.6
Larus_argentatus	2567	1971	623.1
Larus_argentatus	2566	1971	113
Larus_argentatus	2565	1971	301.4
Larus_argentatus	2564	1971	15.5
Larus_argentatus	2563	1971	4
Larus_argentatus	2562	1971	186.6
Solea_solea	2542	1971	43.7
Reinhardtius_hippoglossoides	2540	1971	242.814
Pollachius_virens	2539	1971	1282.669
Pollachius_virens	2538	1971	1210.774
Melanogrammus_aeglefinus	2535	1971	418674
Melanogrammus_aeglefinus	2534	1971	377.234
Gadus_morhua	2532	1971	1610969
Clupea_harengus	2530	1971	8
Clupea_harengus	2529	1971	266.209
Botaurus_stellaris	1260	1971	12
Botaurus_stellaris	1252	1971	69
Aythya_fuligula	1239	1971	28
Aythya_fuligula	1238	1971	209
Aythya_ferina	1234	1971	230
Ardea_cinerea	1224	1971	0.31
Anser_anser	1221	1971	8000
Acipenser_gueldenstaedtii	27339	1972	71
