ID,min_year,max_year
1090,1995,2000
1091,1995,2000
1092,1995,2000
1093,1995,2000
1094,1995,2000
1095,1995,2000
1096,1995,2000
1097,1995,2000
1098,1995,2000
1099,1995,2000
1100,1995,2000
1101,1995,2000
1102,1995,2000
1103,1995,2000
1104,1995,2000
1105,1995,2000
1106,1980,1990
1107,1962,1984
1108,1970,1984
1109,1995,2000
1110,1950,1981
1111,1950,1981
1112,1995,2000
1113,1995,2000
1114,1995,2000
1115,1995,2000
1116,1995,2000
1117,1995,2000
1118,1995,2000
1119,1995,2000
1120,1972,1992
1121,1995,2000
1122,1995,2000
1123,1995,2000
1124,1995,2000
1125,1995,2000
1126,1995,2000
1127,1995,2000
1128,1995,2000
1129,1973,1988
1130,1995,2000
1131,1995,2000
1132,1964,1978
1133,1995,2000
1134,1995,2000
1135,1967,1990
1136,1995,2000
1137,1995,2000
1138,1995,2000
1139,1995,2000
1140,1972,1988
1141,1995,2000
1142,1995,2000
1143,1995,2000
1144,1995,2000
2331,1989,2004
2332,1982,2002
2333,1979,2002
2334,1997,2002
2335,1998,2002
2336,1976,1997
2337,1978,2003
2338,1988,1994
2339,1970,2003
2340,1995,2003
2341,1970,1993
2342,1988,1994
2343,1988,1994
2344,1988,1994
2345,1987,1991
2346,1989,2004
2347,1976,1997
2348,1978,2003
2349,1991,1996
2350,1998,2002
2351,1993,2003
2352,1997,2003
2353,1991,2003
2354,1995,2003
2355,1989,2004
2396,1982,1995
2397,1987,1995
2398,1987,1995
2399,1997,2002
2400,1986,2004
2401,1987,2003
2402,1997,2003
2403,1992,2004
2404,1991,1996
2405,1994,2003
2406,1986,2000
2407,1986,2003
2408,1992,2003
2409,1995,2003
2410,1995,2003
2411,1991,2003
2412,1991,2003
2413,1994,2003
2414,1995,2003
2415,1990,2003
2416,1996,2003
2417,1983,2003
2418,1993,2003
2419,1992,2003
2420,1993,2003
2421,1995,2003
2422,1981,2003
2423,1993,2003
2424,1985,2003
2425,1997,2003
2426,1991,2003
2427,1996,2003
2428,1997,2003
2429,1994,2003
2430,1995,2003
2431,1997,2003
2432,1991,2003
2433,1988,1994
2434,1988,1994
2435,1995,2003
2436,1992,2003
2437,1986,2003
2438,1995,2003
2439,1986,2004
2440,1990,2003
2441,1982,2000
2442,1987,2000
2443,1987,1995
2444,1991,2003
2445,1994,2003
2446,1987,2003
2447,1987,2003
2448,1988,2001
2449,1987,2003
2450,1986,2003
2451,1995,2003
2452,1991,2003
2453,1991,2003
2454,1994,2003
2455,1995,2003
2456,1995,2003
2457,1990,2003
2458,1983,2003
2459,1993,2003
2460,1992,2003
2461,1993,2003
2462,1981,2003
2463,1985,2003
2464,1991,2003
2465,1996,2003
2466,1997,2003
2467,1995,2003
2468,1997,2003
2469,1991,2003
2470,1991,2003
2471,1991,2003
2472,1991,2003
2473,1995,2003
2474,1985,1990
2475,1982,1995
2476,1987,1995
5015,1995,1997
5019,1995,1997
5076,1994,1996
5077,1994,1996
5078,1994,1996
5079,1994,1996
5727,1992,1996
5728,1992,1996
5730,1992,1996
6087,1976,1986
6088,1975,1987
6091,1960,1985
6093,1974,1986
6094,1962,1982
6095,1961,1985
6096,1963,1983
6097,1974,1985
6103,1961,1977
6104,1961,1977
6105,1961,1977
6107,1973,1989
6108,1950,1973
6109,1968,1976
6115,1966,1975
6116,1966,1975
6177,1994,1996
6178,1994,1996
6179,1994,1996
6194,1994,1996
6203,1991,2002
6204,1991,2002
6247,1994,1996
6251,1994,1996
6259,1994,1996
6351,1994,1996
6482,1989,2006
6483,1986,2006
7368,2001,2007
7432,1990,2006
7433,1990,2006
7434,1990,2005
7435,1990,2006
7706,1981,1993
7707,1984,1993
7745,1991,2000
7746,1991,2000
7747,1968,2004
7776,2000,2006
7777,2000,2006
7778,2000,2006
7779,2000,2006
7838,1950,2005
8183,1986,2002
8405,1979,2008
8431,1975,2001
8567,2001,2004
8568,2001,2004
8569,1997,2004
8570,2001,2004
8571,2001,2004
9248,1995,2007
9249,1995,2007
9250,1995,2007
9251,1995,2007
9252,1995,2007
9253,1995,2007
9374,1993,2002
9379,1993,2002
9381,1993,2002
9382,1993,2002
9416,2001,2002
9417,2001,2002
9418,2001,2002
9419,2001,2002
9420,2001,2002
9421,2001,2002
9422,2001,2002
9423,2001,2002
9424,2001,2002
9425,2001,2002
9426,2001,2002
9427,2001,2002
9428,2001,2002
9429,2001,2002
9430,2001,2002
9431,2001,2002
9432,2001,2002
9433,2001,2002
9434,2001,2002
9435,2001,2002
9436,2001,2002
9437,2001,2002
9438,2001,2002
9439,2001,2002
9440,2001,2002
9441,2001,2002
9442,2001,2002
9443,2001,2002
9444,2001,2002
9445,2001,2002
9446,2001,2002
9447,2001,2002
9448,2001,2002
9449,2001,2002
9450,2001,2002
9451,2001,2002
9452,2001,2002
9453,2001,2002
9454,2001,2002
9455,2001,2002
9456,2001,2002
9457,2001,2002
9458,2001,2002
9459,2001,2002
9460,2001,2002
9461,2001,2002
9462,2001,2002
9463,2001,2002
9464,2001,2002
9558,2001,2002
9559,2001,2002
9562,2001,2002
9587,1974,1997
9588,1974,1997
9591,1974,1997
9596,1978,1984
9597,1967,1987
9598,1983,2004
9603,1988,1989
19816,1982,2015
19826,2011,2014
19827,2011,2014
19830,2011,2014
19833,2011,2014
19834,2011,2014
19835,2011,2014
19836,2011,2014
19837,2011,2014
19838,2011,2014
19839,2011,2014
19840,2011,2014
19841,2011,2014
19842,2011,2014
19843,2011,2014
19844,2011,2014
22922,1993,2017
22923,1991,2009
22924,1991,2009
22925,1991,2009
22926,1991,2009
22927,1991,2009
22928,1991,2009
22929,1991,2009
22930,1991,2009
22931,1991,2009
22932,1991,2009
22933,1991,2009
22934,1991,2009
22935,1991,2009
22936,1991,2009
22937,1991,2009
22938,1991,2009
22939,1991,2009
22940,1991,2009
22941,1991,2009
22942,1991,2009
22943,1991,2009
22944,1991,2009
22964,2002,2012
22965,2002,2012
22966,2002,2012
22967,2002,2012
22968,2002,2012
22969,1984,1994
22970,1984,1994
22971,1984,1994
22972,1984,1994
22973,1984,1994
22974,1984,1994
22975,1984,1994
23060,2001,2004
23078,1996,2010
23079,1996,1998
23142,1984,2011
23143,1984,2011
23144,1984,2011
23145,1984,2011
23146,1984,2011
23147,1996,2011
23148,1996,2011
23149,1984,2011
23152,2007,2009
23271,1989,2005
23272,1989,2005
23273,1989,2005
23274,1989,2005
23275,1987,2017
23276,1987,2017
23277,1987,2017
23278,1987,2017
25347,1994,2010
25609,1993,2008
25614,2013,2015
25615,2009,2016
25616,1963,1989
25624,1993,2014
25625,1993,2014
25626,1993,2014
25627,1993,2014
25629,1993,2014
25633,2006,2014
25634,2005,2014
25645,2002,2014
25646,2002,2014
25648,2002,2014
25649,1999,2014
25650,2001,2014
25652,2002,2014
25653,2002,2014
25654,2002,2014
25655,1996,2014
25656,1998,2014
26504,1994,2013
26512,2008,2013
26513,2011,2013
26514,2011,2013
26515,2008,2013
26516,2008,2013
26517,2011,2013
26518,2011,2013
26519,2011,2013
26520,2008,2013
26521,2008,2013
26522,2011,2012
