"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Abramis_ballerus","Abramis_ballerus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0859831022211338,-0.0859831022211339,-0.0859831022211338,-0.0859831022211339,-0.0859831022211339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abramis_brama","Abramis_brama",30,1,NA,NA,NA,NA,NA,NA,0.0617176259610003,0.0721043757780691,0.0858652614540973,0.0922120055668387,0.0850513105793311,0.0653694890366767,0.0377949443485788,0.00808930436849709,-0.0167223622781256,-0.0301174523707159,NA,NA,NA,NA,NA,0,0,0,-0.5,0.310420538193522,0.0761182456583862,0.22327268913478,0.199221546131045,0.199221546131045,0.231043749010747,0.231043749010747,0.231043749010747,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,0.143889186704966,NA,NA,0.262670232060105,0.759725143362308,-0.373355869723079,NA,NA,NA
"Acipenser_gueldenstaedtii","Acipenser_gueldenstaedtii",26,1,-0.00898668550595061,-0.00898668550595039,-0.00616030870481832,0.0357155522665344,-0.0247645544070807,-0.0247645544070807,-0.0247645544070805,-0.0247645544070807,-0.0226738915924936,-0.0226738915924938,-0.0226738915924938,-0.0226738915924938,-0.0226738915924938,-0.0107683664320815,-0.0107683664320817,-0.0107683664320817,-0.0107683664320815,0.00511542406334997,-0.0165009664498015,-0.0165009664498015,-0.0165009664498015,-0.0848630382489561,-0.0848630382489559,-0.0848630382489559,0.00884799377221035,0.00884799377221035,0.00884799377221035,0.00884799377221035,0.103655015430825,-0.0389965125548444,-0.342902895873191,0.173151326991941,-0.285114822553255,0.381551844113412,0.0925710300115667,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_nudiventris","Acipenser_nudiventris",9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156685110192361,-0.137004985792928,-0.100420824862508,-0.0576366319905168,-0.0202583725083141,0.00872699175023373,0.027243811306926,0.0365117926281049,0.0398273870877488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_persicus","Acipenser_persicus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0680399942186416,-0.0680399942186416,-0.0680399942186416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_ruthenus","Acipenser_ruthenus",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.731098940612648,0.131224215130065,0.107742719121371,0.763183354392791,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_schrenckii","Acipenser_schrenckii",3,1,NA,NA,NA,NA,NA,-0.00481857688544851,-0.00481857688544851,-0.00481857688544807,-0.00481857688544851,-0.00481857688544851,-0.00481857688544807,-0.00481857688544851,-0.00481857688544851,-0.00481857688544807,-0.00481857688544851,-0.00481857688544851,-0.00481857688544807,-0.00481857688544851,-0.00481857688544851,-0.00481857688544829,-0.00481857688544851,-0.00481857688544829,-0.00481857688544829,-0.0320179480281837,-0.0320179480281835,-0.0320179480281835,-0.0320179480281835,-0.0320179480281837,-0.0320179480281835,-0.0320179480281835,-0.0320179480281837,-0.0320179480281835,-0.0320179480281835,-0.0320179480281837,-0.0320179480281835,-0.0320179480281835,-0.0320179480281837,-0.0320179480281835,-0.0320179480281835,-0.0320179480281835,-0.0320179480281835,NA,NA,NA,NA,NA,NA
"Acipenser_sinensis","Acipenser_sinensis",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0442689646975682,-0.0442689646975949,-0.0273706706331156,-0.0273706706320926,-0.0273706706302195,-0.0273706706277849,-0.0273706706247988,-0.0273706706211315,-0.0273706706170125,-0.0273706706133406,-0.0273706706112545,-0.0442689646982397,-0.0442689646982859,-0.0442689646983294,-0.0442689646983734,-0.0442689646984231,-0.0442689646984888,-0.0442689646985737,-0.044268964698678,-0.044268964698797,-0.0442689646989316,-0.0442689646990795,-0.0442689646992434,-0.0442689646994054,-0.0442689646995484,-0.0442689646996515,-0.044268964699727,-0.044268964699794,-0.0442689646998695,-0.0442689646999468,-0.0442689646999987,-0.0442689647000198,-0.0442689647000205,NA,NA
"Acipenser_stellatus","Acipenser_stellatus",26,1,-0.0237123249640689,-0.0237123249640692,-0.0498514565961132,-0.0498514565961132,0.0127102721499388,0.012710272149939,0.0127102721499388,0.0127102721499388,-0.023627651403308,-0.023627651403308,-0.023627651403308,-0.023627651403308,-0.0236276514033082,-0.0182120450195364,-0.0182120450195364,-0.0182120450195364,-0.0182120450195364,-0.031070059228288,-0.0141790239356543,-0.0141790239356543,-0.0141790239356543,-0.148366767199285,-0.148366767199285,-0.148366767199285,-0.0172702297858247,-0.0172702297858247,-0.0172702297858247,-0.0172702297858249,0.0754210971743181,0.0151913144968605,-0.406064609298206,-0.255766270013222,-0.0798773918224285,-0.126952381887353,0.826909239418543,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alburnoides_bipunctatus","Alburnoides_bipunctatus",20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0586265724144731,0.0586265724144731,0.0586265724144731,0.0625875893722346,0.0625875893722346,0.0625875893722346,0.0625875893722346,0.00178503459301555,0.230356762541795,0.013343978973163,-0.0141443269107466,-1,1,0.983745918605574,-0.957938654999289,-0.373580662812593,NA,NA,NA,NA
