ID,min_year,max_year
816,1980,1990
1145,1982,1988
1146,1990,1999
1147,1980,1990
1148,1983,1989
1149,1981,1986
1150,1981,1986
1151,1981,1986
1152,1981,1986
1153,1982,1986
1154,1981,1984
1155,1982,1988
1156,1982,1988
1157,1982,1993
1158,1975,1997
1159,1975,1995
1160,1973,1997
1161,1975,1997
1162,1970,1997
1163,1970,1995
1164,1980,1987
1165,1979,1988
1166,1979,1988
1364,1981,1999
1365,1986,1998
1366,1955,1997
1367,1985,1996
4884,1965,1984
4885,1965,1982
5508,1971,2001
5509,1971,2001
5510,1971,2001
5512,1971,2001
6180,1979,1981
6181,1987,1989
6182,1987,1989
6183,1987,1989
6184,1987,1989
6185,1987,1995
6383,1999,2004
6386,1999,2004
6960,1992,1997
7113,1989,2003
7352,2000,2005
8813,1989,1995
8814,1992,1995
8815,1989,1995
8816,1991,1995
8840,1988,1995
9078,1986,1995
9079,1986,1995
9080,1986,1995
9081,1986,1995
9082,1986,1995
9083,1986,1995
9084,1986,1992
9091,1985,1993
9092,1983,1993
9093,1983,1993
9094,1983,1993
11274,1986,2003
11497,1979,2000
11986,1995,2008
12012,1997,2007
17754,2006,2008
18894,2000,2014
18895,1997,2014
18896,2001,2014
18897,1997,2014
19528,1980,2013
19529,1980,2013
22905,1977,2014
22906,1977,2012
22920,2011,2014
22983,1993,2001
22984,1993,2001
22985,1993,2001
22986,1993,2001
22987,1993,2001
22988,1993,2001
22989,1993,2001
22990,1993,2001
22991,1993,2001
22992,1993,2001
22993,1993,2001
22994,1993,2001
22995,1993,2001
23066,1992,2000
23067,1996,2000
23068,1992,2000
23069,1999,2000
23070,1997,2000
23071,1997,2000
23072,1995,2000
23073,1993,2000
23074,1998,2000
23075,1997,2013
23076,1997,2013
23174,1994,2013
23268,2007,2013
