population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1366,1,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,0.102059991327963,0.102059991327962,-0.602059991327962,0.243038048686294,-0.146128035678238,0,-0.698970004336019,0,0,0,0.301029995663981,0.301029995663981,-0.301029995663981,-0.301029995663981,0.698970004336019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1364,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1367,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.00488292113281386,0.00488292113281386,0.00488292113281386,0.00488292113281386,-0.116441697539312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1365,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.0197953115119063,-0.0197953115119061,-0.0197953115119063,-0.0197953115119061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4885,1,-0.0796689252912914,-0.112336994390382,-0.12243430161164,-0.083664375900149,-0.0166059494728334,0.0269675989074714,0.0155208285903286,-0.0351678322691229,-0.0848212847642194,-0.108384716596664,-0.109765983556084,-0.105496325557385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4884,1,0.0356309943683968,0.0486781788188202,0.0168252862203306,-0.0111571236949324,-0.0170298859250597,-0.0121648869603104,-0.000607979633357125,0.0226882672054232,0.0447094879143108,0.037099355705897,-0.00678197864557473,-0.0586117476362495,-0.0887842423990037,-0.0967303705273868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18897,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0476947124171618,-0.0121166863911322,-0.0860310449705983,-0.116112860431081,-0.0937757962506034,-0.0503461448030988,0.000360419670676349,0.0723450773022811,0.151047409578268,0.157416195789887,0.00756882601237363,-0.279782156358676,-0.554151960276913,-0.638190289596064,-0.479587496097434,-0.204890122167173,-0.0132133413210408
12012,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0234077040049265,-0.0410913199076819,-0.0680564341350953,-0.086717781396408,-0.0811978605181927,-0.0469561229537017,0.00729709637545062,0.0647963261997206,0.109340041289739,0.132321260785293,-1,-1,-1,-1,-1,-1,-1
1163,1,-0.0127744251178106,-0.0127744251178106,-0.0127744251178106,-0.0127744251178106,-0.0127744251178106,0.0367535272033468,0.0367535272033468,0.0367535272033468,0.0367535272033468,0.0367535272033463,-0.011498109727234,-0.0114981097272344,-0.0114981097272344,-0.0114981097272344,-0.011498109727234,-0.0146682024385529,-0.0146682024385525,-0.0146682024385529,-0.0146682024385525,-0.0146682024385529,-0.000635168434689692,-0.000635168434690137,-0.000635168434689692,-0.000635168434690137,-0.000635168434689692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1162,1,-0.0492181509368748,-0.0301678616109435,0.00131921692103809,0.0282728403631314,0.0383329794224396,0.0377765567184984,0.0374061670757815,0.0300076996635799,0.00672166185521039,-0.0071073699910591,0.0248622192753802,0.0750320797166748,0.0525680365814924,-0.0718690450966348,-0.181806003077573,-0.135001208782105,0.0368040386800099,0.137775646715474,0.0532290074167245,-0.0953479432169182,-0.11218139722225,0.012629687828642,0.106516394006593,0.0611090501576159,-0.0402732754687798,-0.0747320599362471,-0.0515638803137861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
