Binomial	ID	year	popvalue
Castor_fiber	11886	1950	7
Castor_fiber	11886	1951	9
Castor_fiber	11886	1952	11
Castor_fiber	11886	1954	15
Castor_fiber	11887	1955	275
Castor_fiber	11887	1956	275
Castor_fiber	11886	1956	20
Castor_fiber	11888	1957	48
Castor_fiber	11886	1957	28
Castor_fiber	5317	1957	10
Castor_fiber	11886	1958	16
Castor_fiber	11887	1959	358
Castor_fiber	11886	1959	14
Castor_fiber	11886	1960	17
Castor_fiber	11888	1961	72
Castor_fiber	11887	1961	530
Castor_fiber	11886	1962	15
Castor_fiber	11886	1963	16
Arvicola_amphibius	5819	1963	7.5
Castor_fiber	11886	1964	19
Arvicola_amphibius	5819	1964	4
Castor_fiber	11887	1965	858
Castor_fiber	11886	1965	21
Arvicola_amphibius	5820	1965	35.8
Arvicola_amphibius	5819	1965	1.9
Castor_fiber	11886	1966	20
Arvicola_amphibius	5820	1966	22
Arvicola_amphibius	5819	1966	2.9
Castor_fiber	5327	1966	270
Arvicola_amphibius	5820	1967	9.3
Arvicola_amphibius	5819	1967	3.4
Castor_fiber	11886	1968	40
Arvicola_amphibius	5820	1968	7.8
Arvicola_amphibius	5819	1968	2.8
Castor_fiber	11886	1969	45
Arvicola_amphibius	5820	1969	17.8
Arvicola_amphibius	5819	1969	2.9
Desmana_moschata	23532	1970	656
Castor_fiber	11887	1970	1775
Castor_fiber	11886	1970	40
Neovison_vison	7353	1970	0
Arvicola_amphibius	5820	1970	18.8
Arvicola_amphibius	5819	1970	2.6
Castor_fiber	5317	1970	50
Desmana_moschata	23532	1971	495
Castor_fiber	11887	1971	2275
Castor_fiber	11886	1971	40
Neovison_vison	7353	1971	0
Arvicola_amphibius	5820	1971	5.6
Arvicola_amphibius	5819	1971	1.8
Pusa_hispida	1362	1971	250
Desmana_moschata	23532	1972	100
Castor_fiber	11886	1972	38
Neovison_vison	7353	1972	0
Arvicola_amphibius	5820	1972	7.3
Arvicola_amphibius	5819	1972	1.8
Castor_fiber	5316	1972	14000
Desmana_moschata	23532	1973	160
Castor_fiber	11889	1973	670
Castor_fiber	11888	1973	149
Castor_fiber	11886	1973	38
Neovison_vison	7353	1973	0
Arvicola_amphibius	5820	1973	7.1
Arvicola_amphibius	5819	1973	1.1
Castor_fiber	5320	1973	1400
Neomys_fodiens	1360	1973	0.21
Neomys_fodiens	1359	1973	0.37
Desmana_moschata	23532	1974	306
Castor_fiber	11888	1974	156
Castor_fiber	11887	1974	2500
Castor_fiber	11886	1974	40
Neovison_vison	7353	1974	0
Arvicola_amphibius	5820	1974	28.5
Arvicola_amphibius	5819	1974	5.5
Castor_fiber	5327	1974	1000
Neomys_fodiens	1360	1974	0.36
Neomys_fodiens	1359	1974	0.01
Desmana_moschata	23532	1975	541
Castor_fiber	11887	1975	3025
Neovison_vison	7353	1975	0
Arvicola_amphibius	5820	1975	99.3
Arvicola_amphibius	5819	1975	5.4
Neomys_fodiens	1360	1975	0.19
Neomys_fodiens	1359	1975	0.01
Desmana_moschata	1356	1975	54000
Desmana_moschata	23532	1976	667
Castor_fiber	11887	1976	2925
Castor_fiber	11886	1976	40
Neovison_vison	7353	1976	0
Arvicola_amphibius	5820	1976	34.1
Arvicola_amphibius	5819	1976	1.8
Neomys_fodiens	1360	1976	0.3
Neomys_fodiens	1359	1976	0.47
Castor_fiber	1354	1976	0.06
Castor_fiber	1353	1976	0.1
Desmana_moschata	23532	1977	785
Neovison_vison	7353	1977	0
Arvicola_amphibius	5820	1977	8.8
Arvicola_amphibius	5819	1977	1.4
Lutra_lutra	5192	1977	57
Lutra_lutra	5191	1977	21
Lutra_lutra	5190	1977	6
Neomys_fodiens	1360	1977	0.01
Neomys_fodiens	1359	1977	0.01
Desmana_moschata	23532	1978	711
Castor_fiber	11888	1978	235
Castor_fiber	11886	1978	40
Neovison_vison	7353	1978	0
Arvicola_amphibius	5820	1978	4.4
Arvicola_amphibius	5819	1978	1.7
Neomys_fodiens	1360	1978	0.2
Neomys_fodiens	1359	1978	0.01
Desmana_moschata	23532	1979	569
Castor_fiber	11886	1979	43
Neovison_vison	7353	1979	0
Arvicola_amphibius	5820	1979	0.3
Arvicola_amphibius	5819	1979	2.4
Pusa_hispida	1363	1979	11000
Neomys_fodiens	1360	1979	0.2
Neomys_fodiens	1359	1979	0.58
Desmana_moschata	23532	1980	820
Castor_fiber	11887	1980	3900
Castor_fiber	11886	1980	30
Neovison_vison	7353	1980	0
Arvicola_amphibius	5820	1980	0.2
Arvicola_amphibius	5819	1980	3.4
Castor_fiber	5317	1980	450
Neomys_fodiens	1360	1980	0.78
Neomys_fodiens	1359	1980	1.37
Lipotes_vexillifer	1358	1980	400
Desmana_moschata	23532	1981	342
Castor_fiber	11887	1981	3775
Castor_fiber	11886	1981	32
Neovison_vison	7353	1981	0
Arvicola_amphibius	5819	1981	6.7
Neomys_fodiens	1360	1981	0.5
Neomys_fodiens	1359	1981	0.6
Desmana_moschata	23532	1982	526
Castor_fiber	11887	1982	4575
Castor_fiber	11886	1982	28
Neovison_vison	7353	1982	0
Arvicola_amphibius	5819	1982	3.4
Lutra_lutra	5710	1982	14
Neomys_fodiens	1360	1982	0.03
Neomys_fodiens	1359	1982	0.1
Desmana_moschata	23532	1983	278
Castor_fiber	11888	1983	551
Castor_fiber	11887	1983	4575
Castor_fiber	11886	1983	27
Neovison_vison	7353	1983	0
Arvicola_amphibius	5819	1983	1.6
Lutra_lutra	5710	1983	14.6
Pusa_hispida	1362	1983	125
Neomys_fodiens	1360	1983	0.75
Neomys_fodiens	1359	1983	0.19
Desmana_moschata	23532	1984	175
Castor_fiber	11887	1984	5025
Castor_fiber	11886	1984	28
Lutra_lutra	8323	1984	100
Neovison_vison	7353	1984	0
Arvicola_amphibius	5819	1984	1.4
Lutra_lutra	5192	1984	65
Lutra_lutra	5191	1984	39
Lutra_lutra	5190	1984	10
Desmana_moschata	23532	1985	295
Castor_fiber	11887	1985	5025
Castor_fiber	11886	1985	40
Lutra_lutra	8323	1985	107
Neovison_vison	7353	1985	0
Lutra_lutra	6426	1985	16
Arvicola_amphibius	5819	1985	1.4
Castor_canadensis	5319	1985	3000
Castor_fiber	5318	1985	500
Lipotes_vexillifer	1358	1985	156
Desmana_moschata	1356	1985	39000
Desmana_moschata	23532	1986	610
Castor_fiber	11887	1986	5125
Castor_fiber	11886	1986	36
Lutra_lutra	8323	1986	113
Neovison_vison	7353	1986	0
Lutra_lutra	6426	1986	16
Arvicola_amphibius	5819	1986	2
Lipotes_vexillifer	1358	1986	300
Castor_fiber	1354	1986	0.17
Desmana_moschata	23532	1987	1005
Castor_fiber	11887	1987	5525
Castor_fiber	11886	1987	40
Lutra_lutra	8323	1987	121
Neovison_vison	7353	1987	0
Lutra_lutra	6426	1987	17
Arvicola_amphibius	5819	1987	4.2
Lutra_lutra	5710	1987	9.8
Castor_fiber	5327	1987	2900
Castor_fiber	5326	1987	15000
Castor_fiber	1353	1987	0.22
Desmana_moschata	23532	1988	967
Castor_fiber	11888	1988	648
Castor_fiber	11887	1988	8025
Castor_fiber	11886	1988	46
Neophocaena_phocaenoides	11090	1988	2700
Lutra_lutra	8323	1988	129
Neovison_vison	7353	1988	0
Lutra_lutra	6426	1988	20
Arvicola_amphibius	5819	1988	2.4
Lutra_lutra	5712	1988	11.9
Lutra_lutra	5710	1988	9
Castor_fiber	1355	1988	0
Desmana_moschata	23532	1989	357
Castor_fiber	11887	1989	9025
Castor_fiber	11886	1989	44
Castor_fiber	11878	1989	6
Neophocaena_phocaenoides	11067	1989	0.1625
Neophocaena_phocaenoides	11066	1989	0.0711
Neophocaena_phocaenoides	11065	1989	0.559
