Binomial	ID	year	popvalue
Larus_canus	1706	1950	1800
Uria_aalge	1910	1954	2000
Uria_lomvia	1928	1954	950
Uria_aalge	1910	1956	1200
Uria_lomvia	1928	1956	250
Uria_aalge	1910	1958	2400
Uria_lomvia	1928	1958	400
Rissa_tridactyla	8011	1958	5000
Sterna_paradisaea	1879	1959	100
Uria_aalge	1910	1959	1800
Uria_lomvia	1928	1959	750
Rissa_tridactyla	8011	1959	3000
Morus_bassanus	8150	1959	500
Larus_smithsonianus	1695	1960	1500
Larus_canus	1709	1960	480
Stercorarius_parasiticus	1847	1960	4
Sterna_paradisaea	1877	1960	9000
Sterna_paradisaea	1879	1960	500
Uria_aalge	1910	1960	1700
Uria_lomvia	1928	1960	800
Rissa_tridactyla	8011	1960	4000
Fratercula_arctica	8129	1960	100
Fratercula_arctica	8130	1960	271.4
Pagophila_eburnea	1758	1961	200
Uria_aalge	1910	1961	2700
Uria_lomvia	1928	1961	1500
Rissa_tridactyla	8011	1961	8000
Fratercula_arctica	8128	1961	100
Fratercula_arctica	8130	1961	315.1
Larus_canus	1706	1962	2000
Uria_aalge	1910	1962	2700
Uria_lomvia	1928	1962	1000
Rissa_tridactyla	8011	1962	2000
Fratercula_arctica	8128	1962	101.1
Larus_canus	1706	1963	5000
Uria_aalge	1910	1963	3200
Uria_lomvia	1928	1963	800
Rissa_tridactyla	8011	1963	4000
Fratercula_arctica	8128	1963	70.8
Somateria_mollissima	8192	1963	3361
Larus_canus	1706	1964	4800
Uria_aalge	1907	1964	220000
Uria_aalge	1910	1964	1400
Uria_lomvia	1926	1964	100
Uria_lomvia	1928	1964	700
Rissa_tridactyla	8011	1964	4000
Fratercula_arctica	8128	1964	63.9
Larus_canus	1706	1965	4300
Phalaropus_fulicarius	1792	1965	50
Uria_aalge	1921	1965	12300
Rissa_tridactyla	8011	1965	6000
Fratercula_arctica	8128	1965	60.3
Alca_torda	1592	1966	1200
Larus_canus	1706	1966	5500
Uria_aalge	1907	1966	180000
Uria_aalge	1910	1966	2100
Uria_lomvia	1928	1966	950
Rissa_tridactyla	8011	1966	10500
Alca_torda	1591	1967	120
Larus_canus	1706	1967	5800
Larus_hyperboreus	1716	1967	220
Rissa_tridactyla	1813	1967	2200
Rissa_tridactyla	1832	1967	54000
Uria_aalge	1910	1967	2100
Uria_lomvia	1928	1967	900
Rissa_tridactyla	8011	1967	11500
Larus_canus	1706	1968	6500
Uria_aalge	1910	1968	2200
Uria_lomvia	1928	1968	1100
Rissa_tridactyla	8011	1968	8500
Fratercula_arctica	8128	1968	25.5
Fratercula_arctica	8130	1968	239.5
Clangula_hyemalis	13370	1968	21
Alca_torda	1590	1969	750
Larus_smithsonianus	1695	1969	4500
Larus_canus	1706	1969	8000
Larus_canus	1709	1969	210
Sterna_paradisaea	1879	1969	3200
Uria_aalge	1910	1969	2400
Uria_lomvia	1928	1969	1000
Rissa_tridactyla	8011	1969	12000
Clangula_hyemalis	13370	1969	21
Larus_canus	1706	1970	8000
Larus_canus	1709	1970	430
Rissa_tridactyla	1814	1970	1e+05
Sterna_paradisaea	1879	1970	1400
Uria_aalge	1905	1970	310000
Uria_aalge	1910	1970	3000
Uria_lomvia	1928	1970	1150
Rissa_tridactyla	8011	1970	18000
Fratercula_arctica	8128	1970	23.3
Fratercula_arctica	8129	1970	128.8
Haliaeetus_albicilla	8276	1970	40
Clangula_hyemalis	13370	1970	24
Larus_canus	1706	1971	8000
Sterna_paradisaea	1879	1971	500
Uria_aalge	1910	1971	2800
Uria_lomvia	1928	1971	1200
Rissa_tridactyla	8011	1971	16000
Haliaeetus_albicilla	8276	1971	41
Clangula_hyemalis	13370	1971	29
Larus_canus	1706	1972	8000
Sterna_paradisaea	1879	1972	600
Uria_aalge	1910	1972	4100
Uria_lomvia	1928	1972	1900
Rissa_tridactyla	8011	1972	17000
Haliaeetus_albicilla	8276	1972	40
Larus_canus	1706	1973	8000
Sterna_paradisaea	1879	1973	150
Uria_aalge	1910	1973	4700
Uria_lomvia	1928	1973	2000
Rissa_tridactyla	8011	1973	18000
Haliaeetus_albicilla	8276	1973	39
Larus_canus	1706	1974	9500
Sterna_paradisaea	1879	1974	250
Uria_aalge	1907	1974	140000
Uria_aalge	1910	1974	5200
Uria_aalge	1921	1974	9000
Uria_lomvia	1927	1974	30900
Uria_lomvia	1928	1974	1900
Rissa_tridactyla	8011	1974	21000
Calidris_pygmaea	8168	1974	95
Haliaeetus_albicilla	8276	1974	38
Pagophila_eburnea	13310	1974	339.78
Larus_canus	1706	1975	7500
Larus_canus	1709	1975	200
Sterna_paradisaea	1879	1975	150
Uria_aalge	1910	1975	5500
Uria_lomvia	1928	1975	1900
Rissa_tridactyla	8011	1975	23000
Cepphus_grylle	8167	1975	18
Haliaeetus_albicilla	8276	1975	38
Pagophila_eburnea	13310	1975	300.45
Larus_canus	1706	1976	8500
Larus_canus	1709	1976	220
Sterna_paradisaea	1879	1976	400
Uria_aalge	1910	1976	6100
Uria_lomvia	1928	1976	2100
Rissa_tridactyla	8011	1976	24000
Cepphus_grylle	8167	1976	21
Haliaeetus_albicilla	8276	1976	37
Pagophila_eburnea	13310	1976	300.13
Larus_canus	1706	1977	8500
Sterna_paradisaea	1879	1977	250
Rissa_tridactyla	8011	1977	12000
Fratercula_arctica	8128	1977	8.8
Cepphus_grylle	8167	1977	29
Haliaeetus_albicilla	8276	1977	36
Pagophila_eburnea	13310	1977	351.3
Larus_canus	1706	1978	8500
Larus_canus	1709	1978	100
Sterna_paradisaea	1879	1978	200
Uria_aalge	1910	1978	6400
Uria_lomvia	1928	1978	2050
Rissa_tridactyla	8011	1978	13500
Cepphus_grylle	8167	1978	35
Haliaeetus_albicilla	8276	1978	35
Larus_canus	1706	1979	7500
Larus_canus	1709	1979	80
Stercorarius_parasiticus	1847	1979	7
Sterna_paradisaea	1879	1979	450
Uria_aalge	1910	1979	4800
Uria_lomvia	1928	1979	1400
Rissa_tridactyla	8011	1979	17000
Fratercula_arctica	8128	1979	5.6
Cepphus_grylle	8167	1979	49
Haliaeetus_albicilla	8276	1979	34
Phalaropus_fulicarius	8367	1979	40
Larus_canus	1706	1980	6500
Larus_canus	1709	1980	50
Phalaropus_fulicarius	1793	1980	22
Sterna_paradisaea	1879	1980	300
Uria_aalge	1910	1980	6000
Uria_lomvia	1928	1980	900
Fratercula_arctica	2555	1980	59.3092
Rissa_tridactyla	2670	1980	127.7106
Uria_aalge	2704	1980	180.5875
Rissa_tridactyla	8011	1980	18000
Fratercula_arctica	8128	1980	7.9
Cepphus_grylle	8167	1980	75
Haliaeetus_albicilla	8276	1980	37
Sterna_paradisaea	8345	1980	25
Phalaropus_fulicarius	8367	1980	11
Larus_smithsonianus	1695	1981	3800
Larus_canus	1706	1981	6300
Larus_canus	1709	1981	80
Rissa_tridactyla	1826	1981	5000
Sterna_paradisaea	1879	1981	2000
Uria_aalge	1910	1981	6050
Uria_lomvia	1928	1981	1100
Fratercula_arctica	2555	1981	72.2841
Rissa_tridactyla	2670	1981	122.213
Uria_aalge	2704	1981	189.0495
Rissa_tridactyla	8011	1981	20000
Fratercula_arctica	8128	1981	8
Cepphus_grylle	8167	1981	110
Haliaeetus_albicilla	8276	1981	42
Somateria_mollissima	12011	1981	2993
Polysticta_stelleri	12257	1981	6131
Larus_smithsonianus	1695	1982	2000
Larus_canus	1706	1982	6000
Larus_canus	1709	1982	80
Sterna_paradisaea	1879	1982	1000
Uria_aalge	1910	1982	6800
Uria_lomvia	1928	1982	1500
Fratercula_arctica	2555	1982	73.7867
Rissa_tridactyla	2670	1982	117.4209
Uria_aalge	2704	1982	200.1869
Rissa_tridactyla	8011	1982	21000
Fratercula_arctica	8128	1982	10
Cepphus_grylle	8167	1982	175
Haliaeetus_albicilla	8276	1982	46
Somateria_mollissima	12011	1982	4947
Polysticta_stelleri	12257	1982	4147
Larus_smithsonianus	1695	1983	2200
Larus_canus	1706	1983	6800
Larus_canus	1709	1983	130
Sterna_paradisaea	1877	1983	10000
Sterna_paradisaea	1879	1983	500
Uria_aalge	1910	1983	4900
Uria_lomvia	1926	1983	450
Uria_lomvia	1928	1983	800
Fratercula_arctica	2555	1983	73.7792
Rissa_tridactyla	2670	1983	145.732
Uria_aalge	2704	1983	204.8234
Rissa_tridactyla	8011	1983	20000
Cepphus_grylle	8167	1983	185
Haliaeetus_albicilla	8276	1983	50
Somateria_mollissima	12011	1983	4909
Polysticta_stelleri	12257	1983	4574
