ID,min_year,max_year
1590,1969,1993
1591,1967,1988
1592,1966,1985
1656,1950,1989
1695,1960,1993
1706,1950,1989
1709,1960,1993
1716,1967,1992
1758,1961,1995
1792,1965,1996
1793,1980,1999
1800,1985,1995
1813,1967,1996
1814,1970,2000
1815,1992,1992
1821,1960,1980
1826,1981,1991
1832,1967,1992
1847,1960,1995
1877,1960,1992
1879,1959,1992
1905,1970,1992
1907,1964,1999
1908,1964,1992
1910,1954,1999
1921,1965,1989
1925,1992,1994
1926,1964,1996
1927,1974,1995
1928,1954,1993
1929,1985,1989
2115,1972,1998
2125,1974,2016
2146,1971,1995
2154,1977,1999
2499,1989,1996
2519,1989,1996
2520,1996,2005
2545,1996,2008
2555,1980,2008
2617,1996,2003
2662,1989,2002
2669,1991,2008
2670,1980,2008
2671,1989,2002
2700,1985,1989
2703,1984,2008
2704,1980,2008
8001,1994,2008
8004,1994,2008
8006,1994,2008
8007,1994,2008
8011,1958,1999
8028,1995,2008
8031,1995,2008
8069,1986,2005
8070,1986,2005
8071,1986,2005
8072,1986,2005
8073,1986,2005
8087,1981,1991
8088,1981,1991
8095,1988,2007
8101,1988,2007
8108,1996,2007
8111,1996,2008
8115,1996,2007
8116,1996,2007
8117,1996,2007
8124,1993,2005
8126,1980,1999
8127,1959,1995
8128,1961,1995
8129,1960,1995
8130,1960,1995
8134,1993,2005
8141,1993,2005
8142,1993,2005
8143,1993,2005
8144,1993,2005
8150,1959,1999
8165,1997,2005
8167,1975,2002
8168,1974,2009
8169,1970,2002
8192,1963,2000
8193,1957,2005
8194,1954,2005
8195,1954,2005
8196,1957,2005
8197,1957,2005
8198,1957,2005
8199,1954,2005
8201,2004,2007
8202,1985,2007
8203,1976,2008
8204,1975,2008
8205,1980,2008
8219,1997,2007
8220,1997,2007
8225,1998,2007
8231,2005,2007
8236,1996,2008
8238,1996,2008
8244,1996,2008
8245,1996,2008
8276,1970,2007
8345,1980,2003
8367,1979,2003
8406,1987,2006
12011,1981,2000
12050,1997,2012
12225,2002,2003
12257,1981,2003
12948,2003,2007
12951,2004,2007
13097,1992,2005
13098,1992,2005
13100,1992,2005
13101,1992,2005
13102,1992,2005
13103,1993,2005
13104,1993,2005
13228,1975,2005
13240,1985,2005
13310,1974,2006
13335,1970,2012
13370,1968,1971
13378,1984,2000
13389,1994,1995
13391,1994,1995
13392,1975,2005
13413,1975,2005
13431,1995,1997
13435,1975,2005
13440,1980,2004
13441,1977,2010
13531,1974,2014
13715,1973,2014
13753,1976,2014
14133,1973,2014
18106,1970,2014
20100,2007,2012
20242,2007,2012
20243,2007,2012
20244,2007,2012
20245,2007,2012
20312,2007,2012
21337,1978,2010
21350,2007,2012
21605,2007,2012
21684,2007,2012
22122,2008,2011
22140,2007,2012
22412,2007,2012
22413,2007,2012
22602,2007,2012
22603,2007,2012
22619,2007,2012
22620,2007,2012
22621,2008,2012
22622,2007,2012
22726,2007,2012
23486,1970,2000
23487,1970,2000
23488,1970,2000
23499,1992,2000
23501,1982,2000
23523,1970,2000
23547,1970,2000
23576,1970,2000
23626,1970,2000
23654,1970,1999
23656,1987,2000
23670,1981,2000
