"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Alca_torda","Alca_torda",23,1,0.00800807973655182,0.00800807973655167,0.00800807973655152,0.00800807973655182,0.00800807973655182,0.00800807973655152,0.00800807973655152,0.00800807973655182,0.00800807973655167,0.00800807973655167,0.00800807973655167,0.00800807973655182,0.00800807973655167,0.00800807973655182,0.00800807973655152,0.0220176785972379,0.009659033841613,0.009659033841613,0.0050137886511803,0.00501378865118052,0.0050137886511803,0.00501378865118052,0.00501378865118052,-0.0150582556696377,0.0131857027416613,0.0131857027416618,0.0330274309019296,0.0279872243671242,0.0115090544156091,-0.0514245745294963,-0.0818415392394996,-0.0924447679168244,-0.0750292033632471,-0.0473669458429474,-0.0419217867383413,-0.0991063151298244,-0.212659636538436,-0.294193956334527,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria_interpres","Arenaria_interpres",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.596899996189062,0,-1,1,0,NA,NA,NA,NA
"Calidris_alba","Calidris_alba",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1744777792485,-1,0,1,0.47070299285343,NA,NA,NA,NA
"Calidris_alpina","Calidris_alpina",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109757404745214,0.00109757410053635,0.00109757418640188,0.00109757426618806,0.00109757431211821,0.00109757432455426,0.00109757432273483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calidris_bairdii","Calidris_bairdii",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,-1,0,0,NA,NA,NA,NA
"Calidris_canutus","Calidris_canutus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0457574905606751,0.113943352306837,-0.26884531229258,0.301029995663981,-0.191885526238913,NA,NA,NA,NA
"Calidris_maritima","Calidris_maritima",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.295492080248464,0.768881766561541,-1,1,0,NA,NA,NA,NA
"Calidris_ptilocnemis","Calidris_ptilocnemis",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0588951898630752,-0.056481157253045,-0.0510724742153781,-0.0435829638575362,-0.0365777302537502,-0.0321386843428315,-0.0296603514790128,-0.0263097231556042,-0.019822542847415,-0.0103760913053783,0.000397686041477829,0.0113895366684367,0.0221096176065516,0.031181389175698,0.0362983211987529,NA,NA,NA,NA
"Calidris_pygmaea","Calidris_pygmaea",7,1,-0.0149100392099895,-0.0149100392099894,-0.0149100392099895,-0.0149100392099895,-0.0187859266336035,-0.0187859266336033,-0.0187859266336034,-0.0187859266336034,-0.0187859266336035,-0.0187859266336033,-0.0187859266336034,-0.0187859266336034,-0.0187859266336035,-0.0187859266336033,-0.0187859266336035,-0.0187859266336035,-0.0187859266336033,-0.0214449743594088,-0.0214449743594086,-0.0214449743594086,-0.0214449743594086,-0.0214449743594087,-0.0214449743594086,-0.0214449743594086,-0.0214449743594086,-0.0214449743594086,-0.0214449743594087,-0.0214449743594086,-0.0214449743594086,-0.0214449743594086,-0.0214449743594088,-0.0214449743594086,-0.0679815091083342,-0.0679815091083342,-0.0679815091083342,-0.0679815091083342,-0.0679815091083341,-0.649807153183723,-0.649807153183723,NA,NA,NA,NA,NA,NA,NA
"Cepphus_grylle","Cepphus_grylle",33,1,NA,NA,0.0751212510061869,0.0751212510061867,0.0751212510061867,0.085780644236634,0.0871737994896942,0.0950544322457814,0.11071564773511,0.125437108389097,0.126108098356875,0.107624676448229,0.0783861198338154,0.0530226873971152,0.0404174891471487,0.038687134563273,0.0399740388826288,0.0384114828090747,0.0337793814773111,0.0292564457193427,-0.0299526354242021,-0.0307077539636216,-0.032177318573128,-0.0350125027329977,-0.0376370362682006,-0.0381893546590217,-0.0361921524121331,-0.0234281074012062,-0.00844976526688046,0.00185676918859934,0.0126314920935522,0.0193008866602733,-0.00665568899415314,-0.00665568899415314,-0.00665568899415314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
