Binomial	ID	year	popvalue
Melanogrammus_aeglefinus	25466	1950	377.419
Melanogrammus_aeglefinus	25466	1951	429.032
Melanogrammus_aeglefinus	25466	1952	422.58
Melanogrammus_aeglefinus	25466	1953	680.645
Melanogrammus_aeglefinus	25466	1954	754.838
Gadus_morhua	1423	1955	941965
Melanogrammus_aeglefinus	25466	1955	729.032
Gadus_morhua	1423	1956	796300
Melanogrammus_aeglefinus	25466	1956	625.806
Gadus_morhua	1423	1957	776248
Melanogrammus_aeglefinus	25466	1957	435.483
Gadus_morhua	1423	1958	876319
Melanogrammus_aeglefinus	25466	1958	312.903
Gadus_morhua	1423	1959	854810
Melanogrammus_aeglefinus	25466	1959	335.483
Gadus_morhua	1423	1960	709896
Pollachius_virens	1529	1960	461852
Melanogrammus_aeglefinus	25466	1960	422.58
Gadus_morhua	1423	1961	467785
Pollachius_virens	1529	1961	455887
Melanogrammus_aeglefinus	25466	1961	403.225
Gadus_morhua	1423	1962	569580
Pollachius_virens	1526	1962	101000
Pollachius_virens	1529	1962	460008
Melanogrammus_aeglefinus	25466	1962	374.193
Gadus_morhua	1423	1963	508276
Pollachius_virens	1526	1963	107000
Pollachius_virens	1529	1963	455431
Melanogrammus_aeglefinus	25466	1963	358.064
Gadus_morhua	1423	1964	451490
Pollachius_virens	1526	1964	114000
Pollachius_virens	1529	1964	477825
Melanogrammus_aeglefinus	25466	1964	367.741
Gadus_morhua	1423	1965	317830
Pollachius_virens	1526	1965	150000
Pollachius_virens	1529	1965	515555
Melanogrammus_aeglefinus	25466	1965	367.741
Gadus_morhua	1423	1966	277489
Pollachius_virens	1526	1966	212000
Pollachius_virens	1529	1966	477825
Melanogrammus_aeglefinus	25466	1966	422.58
Gadus_morhua	1423	1967	256712
Pollachius_virens	1526	1967	280000
Pollachius_virens	1529	1967	490902
Coregonus_autumnalis	9483	1967	28
Melanogrammus_aeglefinus	25466	1967	445.161
Gadus_morhua	1423	1968	221770
Pollachius_virens	1526	1968	336000
Pollachius_virens	1529	1968	471654
Coregonus_autumnalis	9483	1968	30
Melanogrammus_aeglefinus	25466	1968	403.225
Gadus_morhua	1423	1969	313747
Pollachius_virens	1526	1969	374000
Pollachius_virens	1529	1969	511959
Reinhardtius_hippoglossoides	1536	1969	90.3
Coregonus_autumnalis	9483	1969	28
Melanogrammus_aeglefinus	25466	1969	300
Gadus_morhua	1423	1970	331145
Pollachius_virens	1526	1970	384000
Pollachius_virens	1529	1970	565802
Reinhardtius_hippoglossoides	1536	1970	94.5
Coregonus_autumnalis	9483	1970	42
Melanogrammus_aeglefinus	25466	1970	277.419
Gadus_morhua	1423	1971	242594
Pollachius_virens	1526	1971	370000
Pollachius_virens	1529	1971	554599
Reinhardtius_hippoglossoides	1536	1971	129.6
Coregonus_autumnalis	9483	1971	31
Melanogrammus_aeglefinus	25466	1971	245.161
Gadus_morhua	1423	1972	221857
Pollachius_virens	1526	1972	327000
Pollachius_virens	1529	1972	538208
Reinhardtius_hippoglossoides	1536	1972	170.1
Coregonus_autumnalis	9483	1972	48
Melanogrammus_aeglefinus	25466	1972	603.225
Gadus_morhua	1423	1973	245599
Pollachius_virens	1526	1973	296000
Pollachius_virens	1529	1973	537132
Reinhardtius_hippoglossoides	1536	1973	184.4
Mallotus_villosus	2326	1973	33
Coregonus_autumnalis	9483	1973	70
Melanogrammus_aeglefinus	25466	1973	667.741
Gadus_morhua	1423	1974	187381
Pollachius_virens	1526	1974	283498
Pollachius_virens	1529	1974	491885
Reinhardtius_hippoglossoides	1536	1974	230.2
Coregonus_autumnalis	9483	1974	47
Melanogrammus_aeglefinus	25466	1974	512.903
Gadus_morhua	1423	1975	168763
Pollachius_virens	1526	1975	257009
Pollachius_virens	1529	1975	398714
Reinhardtius_hippoglossoides	1536	1975	232.6
Coregonus_autumnalis	9483	1975	41
Melanogrammus_aeglefinus	25466	1975	374.193
Gadus_morhua	1423	1976	139078
Pollachius_virens	1526	1976	216605
Pollachius_virens	1529	1976	282943
Reinhardtius_hippoglossoides	1536	1976	221.3
Mallotus_villosus	2326	1976	253
Coregonus_autumnalis	9483	1976	32
Melanogrammus_aeglefinus	25466	1976	283.87
Gadus_morhua	1423	1977	199435
Pollachius_virens	1526	1977	173177
Pollachius_virens	1529	1977	211293
Reinhardtius_hippoglossoides	1536	1977	225.6
Mallotus_villosus	2326	1977	22
Coregonus_autumnalis	9483	1977	55
Melanogrammus_aeglefinus	25466	1977	203.225
Gadus_morhua	1423	1978	213114
Mallotus_villosus	1471	1978	6e+05
Pollachius_virens	1526	1978	149783
Pollachius_virens	1529	1978	190613
Reinhardtius_hippoglossoides	1536	1978	221.4
Coregonus_autumnalis	9483	1978	17
Melanogrammus_aeglefinus	25466	1978	196.774
Gadus_morhua	1423	1979	304938
Mallotus_villosus	1471	1979	6e+05
Pollachius_virens	1526	1979	14582
Pollachius_virens	1529	1979	172129
Reinhardtius_hippoglossoides	1536	1979	209.5
Melanogrammus_aeglefinus	2327	1979	74036
Coregonus_autumnalis	9483	1979	16
Melanogrammus_aeglefinus	25466	1979	203.225
Gadus_morhua	1423	1980	357768
Mallotus_villosus	1471	1980	3e+05
Pollachius_virens	1526	1980	163460
Pollachius_virens	1529	1980	152512
Reinhardtius_hippoglossoides	1536	1980	153.6
Melanogrammus_aeglefinus	2327	1980	94381
