Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Melanogrammus_aeglefinus,1,0.143417000341166,0.190921349420178,0.106220213798196,-0.0695449379009707,-0.185402726517112,-0.16723396852152,-0.0821159039329749,-0.0145882250594545,0.0157310492371625,0.0379385335318612,-0.0523299183790908,-0.1561091711942,-0.149598491033725,-0.00586820971192041,0.138648058108302,0.141679586143145,0.02904904764001,-0.0594935848062616,-0.0555470398992669,-0.00589472609509967,0.0426207733058098,0.0958485555705416,0.139117576991035,0.112575425350909,0.00523046022313937,-0.0993376615002908,-0.123373422869254,-0.0856571583519258,-0.0424104002242826,0.00565733094216784,0.0798407596812241,0.140014608746821,0.120098580234796,0.0364809563807576,-0.033498325587223,-0.0149997031213251,0.0626815339812308,0.0936626734035468,0.0398859044406703,-0.034775919217322,-0.0612113994076167,-0.0457664291939155,-0.0407377199737304,-0.0158269862191798,-0.0159629932110383,-0.029646419673067
Brevoortia_tyrannus,1,-0.0593181295029492,0.0681397166880267,0.210381767644176,0.293503070994468,0.263899985670063,0.161750961339156,0.079854046477168,0.0559579225099123,0.0487687803740817,0.0207783283052083,-0.00635774904088748,0.000246181915933175,0.026463839034343,0.0389104882929994,0.041547693506419,0.0590371197217805,0.0910919585835102,0.0565383556809409,-0.0103183259843846,-0.051403299039958,-0.0227702371212599,0.0460151059318825,0.0775343208363508,0.0343564535582976,-0.0379423022962024,-0.0659474224537673,-0.0328733029148942,0.00978823408157936,0.0230477157832647,-0.0185785637326275,-0.0202510972911574,0.0446586063942886,0.107096316374416,0.10203348923391,0.0553877105888629,0.031932521723756,0.0276224307800179,-0.02554078270584,-0.143941779449622,-0.244432803576732,NA,NA,NA,NA,NA,NA
Mallotus_villosus,1,0.407799114690949,0.51194439857434,0.432013112871603,0.0669000443489029,0.0391030964789496,0.00492967876426736,-0.0467132975443768,-0.0910552755778176,-0.114889821090917,-0.10092472317681,-0.0373129798942203,-0.0224345914304963,-0.0548923626498093,-0.143739342131556,-0.227552670932352,-0.214000526386421,-0.0667982398167749,0.149965826972926,0.311280652497436,0.330472361165753,0.191804456845878,-0.0342315718071239,-0.219570995734725,-0.255629387414595,-0.141078131243212,0.0111364850352482,0.173915276342371,0.168894200963355,0.139012326307065,0.112211670290466,0.029985206690383,-0.126996638868225,-0.260487873975238,-0.160552619440543,-0.129876662900119,-0.0849475506504077,-0.0473512369779628,0.326796751757677,0.0659225729323618,0.0902097925260112,0.0232080299032464,-0.0181569815827327,-0.0404794689258985,-0.0505808840457291,NA,NA
Gadus_morhua,1,-0.047514045037309,-0.0142957566151058,0.0106078273422541,-0.00993070053478773,-0.0389618054106164,-0.029917888244237,0.00490590177039918,0.0216798507912799,0.00406427249204189,-0.0345564090591228,-0.0762424480406096,-0.0952307870992275,-0.153629904967186,-0.0456156684615978,0.110460584850875,0.21754408589517,0.182790084574211,0.0165179085359538,-0.162095026845196,-0.237955592423876,-0.204655341223119,-0.141436501271133,-0.106224757149941,-0.0853362863683789,-0.04679889185247,-0.000608395549253219,0.0228773653527313,0.0292111645092821,0.0508405626118087,0.0858653544194585,0.0944040825338615,0.0725952398759862,0.0795349529867371,0.145819647441537,0.194081004785704,0.123790207795204,-0.031642946648961,-0.11702770578112,-0.0558040461389802,0.042761393116647,0.0415753399548411,0.038543217092688,0.00434719938404982,NA,NA,NA
Pollachius_virens,1,0.000792964836683119,-0.0166208014304825,-0.0275056011310397,-0.0507010075713752,-0.0891682872720638,-0.117312180081977,-0.111227410940566,-0.0776420378257523,-0.0410956278492711,-0.0129047514303497,0.0119722338546491,0.0320731296303851,0.0314580697150944,0.00152044793259698,-0.0382899037837623,-0.0520631193514189,-0.022762124455971,0.0260658436462142,0.0487084295156994,0.0229900924436897,-0.0230357242131678,-0.0382705438494346,-0.00564580278925098,0.03782654562501,0.0462114876168056,0.0195995363949955,-0.00178327047838112,0.0071565728250067,0.0290909623961806,0.0370095665613328,0.0255076491323593,0.0249823118655725,0.0290879949940951,0.0275087480683813,0.0148108837750812,-0.00335393016791515,-0.0211612456473704,-0.0377082275372631,-0.0489897809896395,-0.0619490296997685,-0.0416931684413548,-0.00512928613468855,-0.00693866978098523,-0.0255753969156176,NA,NA
Coregonus_autumnalis,1,0.0895851805994876,0.148970542771704,0.0419435219169746,-0.0922965419331365,-0.069608184552983,0.019756291435387,-0.0554275372696804,-0.247961939490209,-0.220454859414138,0.154562870693118,0.534689640932804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reinhardtius_hippoglossoides,1,0.091396485582766,0.100133615460285,0.085274351465447,0.0505823293090821,0.0181621972922454,0.00277128288008743,-0.00393606088461329,-0.0204685159479463,-0.0497736396252666,-0.0722262415906165,-0.0665836429859898,-0.0345085075916005,0.000356212792826049,0.0175910131069745,0.0196732215858875,0.0238074849446814,0.037830840700809,0.0512307690845231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromesistius_poutassou,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.122353715792499,-0.0630719065963286,0.0103702952986859,0.0396313729124467,0.0101431700324133,-0.0447442241326144,-0.0793925905511612,-0.0633933382364207,0.00470709113584888,0.0865339048478884,0.117679136071747,0.0645043146424324,-0.0263667361336806,-0.0617835515067853,-0.0020707402126563,0.0901592893099981,0.121489869677169,0.0755573839780208,0.0226944683572547,0.0247583953216761,0.06251975836149,0.0728175386717647,0.032752370163573,-0.0227108899325428,-0.0583114969851639,-0.0787052002526218,-0.0987648051325722,-0.100754590821644,-0.0522312079196841,0.0365713550032396,0.105050030381224,NA,NA,NA,NA
Hippoglossoides_platessoides,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.059419341198736,-0.0618472087179027,-0.068809277110323,-0.081499069124956,-0.0984684661862838,-0.115977467164604,-0.129994883558161,-0.138371124978176,-0.141630131379253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osmerus_mordax,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727541257028557,-0.0295776701692781,-0.0295776701692781,0.359371288000553,0.458814945827803,0.169909365272142,0.0109714370994554,-0.00469512120837989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleginus_gracilis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639336110291355,-0.247190130080584,-0.247190130080584,-0.332673277159446,0.49282533511368,-0.0655959503396544,-0.247784483710756,-0.159700842867512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
