ID,min_year,max_year
1380,1986,2002
1390,1950,1998
1397,1986,2010
1423,1955,2012
1457,1982,1991
1469,1973,1996
1471,1978,2009
1526,1962,2009
1529,1960,2014
1536,1969,1988
2326,1973,2014
2327,1979,2012
2528,1986,2013
2532,1970,2013
2533,1973,2003
2534,1970,2004
6090,1955,1980
7999,2006,2008
8010,2007,2008
8074,1986,2011
9483,1967,1981
9574,1985,1993
9576,1985,1993
9577,1985,1993
9580,1985,1993
11117,1982,2010
19207,1987,2011
19248,1981,2012
23394,1998,2011
23396,2003,2010
23405,2003,2012
23413,2001,2012
23414,2003,2012
23444,2003,2008
23455,2000,2011
25466,1950,2016
