Binomial	ID	year	popvalue
Balaenoptera_physalus	1945	1970	7043
Ursus_maritimus	8084	1972	354.81
Ursus_maritimus	8084	1973	714.96
Ursus_maritimus	8084	1974	691.45
Pusa_hispida	23460	1975	12.9
Pusa_hispida	23456	1975	20
Erignathus_barbatus	23417	1975	3
Ursus_maritimus	8084	1975	1220.17
Pagophilus_groenlandicus	23450	1976	551.3
Ursus_maritimus	8084	1976	1220.08
Odobenus_rosmarus	14866	1977	290
Odobenus_rosmarus	14865	1977	565
Ursus_maritimus	8084	1977	1001.07
Ursus_maritimus	2233	1977	5625
Ursus_maritimus	8084	1978	901.17
Balaena_mysticetus	2187	1978	3350
Balaena_mysticetus	2186	1978	4765
Pusa_hispida	23460	1979	25.3
Ursus_maritimus	8084	1979	1391.03
Pusa_hispida	23460	1980	13.5
Delphinapterus_leucas	23407	1980	1.57
Delphinapterus_leucas	2193	1980	1352
Balaena_mysticetus	2187	1980	2740
Balaena_mysticetus	2186	1980	3885
Ursus_maritimus	4544	1981	500
Balaena_mysticetus	2187	1981	3327
Balaena_mysticetus	2186	1981	4467
Megaptera_novaeangliae	15142	1982	181
Ursus_maritimus	4633	1982	4.1
Pusa_hispida	4545	1982	42
Ursus_maritimus	4544	1982	850
Balaena_mysticetus	2187	1982	4600
Balaena_mysticetus	2186	1982	7395
Megaptera_novaeangliae	15142	1983	236
Ursus_maritimus	4633	1983	9.9
Ursus_maritimus	4544	1983	900
Balaena_mysticetus	2187	1983	4380
Balaena_mysticetus	2186	1983	6573
Ursus_maritimus	13304	1984	153.28
Ursus_maritimus	4633	1984	6.5
Pusa_hispida	4545	1984	15
Ursus_maritimus	4544	1984	1275
Monodon_monoceros	4320	1984	1355
Pusa_hispida	23458	1985	16.3
Ursus_maritimus	13304	1985	104.73
Delphinapterus_leucas	13273	1985	4310.7
Ursus_maritimus	8084	1985	860.77
Ursus_maritimus	8081	1985	580
Ursus_maritimus	4633	1985	5.1
Delphinapterus_leucas	4559	1985	4200
Pusa_hispida	4545	1985	8
Ursus_maritimus	4544	1985	1500
Delphinapterus_leucas	4319	1985	3849
Balaena_mysticetus	2187	1985	3200
Balaena_mysticetus	2186	1985	5762
Balaenoptera_physalus	1945	1985	7174
Ursus_maritimus	13304	1986	117.56
Enhydra_lutris	9806	1986	1.46
Enhydra_lutris	9805	1986	14042
Enhydra_lutris	9804	1986	2238
Enhydra_lutris	9803	1986	4236
Ursus_maritimus	8084	1986	836.88
Ursus_maritimus	8081	1986	710
Ursus_maritimus	8062	1986	1800
Ursus_maritimus	4633	1986	2.9
Pusa_hispida	4545	1986	20
Ursus_maritimus	4544	1986	975
Balaena_mysticetus	2187	1986	4000
Balaena_mysticetus	2186	1986	8917
Physeter_catodon	2015	1986	5
Phocoena_phocoena	2014	1986	56
Orcinus_orca	2012	1986	3
Megaptera_novaeangliae	2009	1986	16
Hyperoodon_ampullatus	2007	1986	1
Globicephala_melas	1951	1986	5
Balaenoptera_physalus	1947	1986	8
Balaenoptera_musculus	1944	1986	1
Balaenoptera_borealis	1943	1986	0
Balaenoptera_acutorostrata	1941	1986	140
Ursus_maritimus	13304	1987	306.56
Ursus_maritimus	8084	1987	902.98
Ursus_maritimus	8076	1987	1215
Ursus_maritimus	4633	1987	3.4
Ursus_maritimus	4544	1987	1050
Balaena_mysticetus	2187	1987	3600
Balaena_mysticetus	2186	1987	5298
Physeter_catodon	2015	1987	1
Phocoena_phocoena	2014	1987	30
Orcinus_orca	2012	1987	0
Megaptera_novaeangliae	2009	1987	4
Hyperoodon_ampullatus	2007	1987	0
Globicephala_melas	1951	1987	2
Balaenoptera_physalus	1947	1987	0
Balaenoptera_musculus	1944	1987	10
Balaenoptera_borealis	1943	1987	0
Balaenoptera_acutorostrata	1941	1987	168
Pusa_hispida	23460	1988	14.075
Pusa_hispida	23456	1988	35
Odobenus_rosmarus	22036	1988	13859
Ursus_maritimus	13304	1988	308.7
Ursus_maritimus	8076	1988	1188
Ursus_maritimus	4633	1988	2.9
Ursus_maritimus	4544	1988	1200
Ursus_maritimus	2233	1988	4000
Balaena_mysticetus	2187	1988	4850
Balaena_mysticetus	2186	1988	6928
Pusa_hispida	23460	1989	13.76
Odobenus_rosmarus	22036	1989	14892
Ursus_maritimus	13304	1989	297.4
Enhydra_lutris	9807	1989	1.73
Enhydra_lutris	9806	1989	2.46
Ursus_maritimus	8084	1989	366.82
Ursus_maritimus	8076	1989	1294
Ursus_maritimus	4633	1989	2.2
Ursus_maritimus	4544	1989	1275
Balaenoptera_acutorostrata	2365	1989	64422
Pusa_hispida	23460	1990	16.93
Ursus_maritimus	13304	1990	178.93
Ursus_maritimus	8076	1990	1068
Ursus_maritimus	4633	1990	4.9
Ursus_maritimus	4544	1990	1050
Delphinapterus_leucas	2193	1990	1200
Pagophilus_groenlandicus	23450	1991	600
Ursus_maritimus	13304	1991	151.15
Ursus_maritimus	8084	1991	255.55
Ursus_maritimus	8076	1991	1037
Ursus_maritimus	4633	1991	4.4
Ursus_maritimus	4544	1991	1000
Ursus_maritimus	13304	1992	162.44
Ursus_maritimus	8084	1992	184.03
Ursus_maritimus	8076	1992	970
Ursus_maritimus	4633	1992	5.1
Ursus_maritimus	4544	1992	975
Pusa_hispida	23460	1993	31.882
Ursus_maritimus	13304	1993	124.58
Delphinapterus_leucas	13273	1993	2751.24
Ursus_maritimus	13245	1993	13
Ursus_maritimus	13244	1993	51
Ursus_maritimus	8152	1993	1400
Ursus_maritimus	8084	1993	425.11
Ursus_maritimus	8076	1993	1233
Ursus_maritimus	8062	1993	1800
Ursus_maritimus	4544	1993	1150
Delphinapterus_leucas	4319	1993	2137
Balaena_mysticetus	2186	1993	8167
Pusa_hispida	23456	1994	35
Ursus_maritimus	13304	1994	109.62
Ursus_maritimus	13244	1994	91
Ursus_maritimus	8084	1994	257.5
Ursus_maritimus	8076	1994	1028
Ursus_maritimus	4633	1994	3.3
Ursus_maritimus	4544	1994	1100
Pusa_hispida	17829	1995	1.219
Ursus_maritimus	13304	1995	106.57
Ursus_maritimus	13245	1995	36
Ursus_maritimus	13244	1995	134
Ursus_maritimus	8076	1995	1237
Ursus_maritimus	4544	1995	1275
Balaenoptera_acutorostrata	2365	1995	111580
Physeter_catodon	2015	1995	4
Phocoena_phocoena	2014	1995	48
Orcinus_orca	2012	1995	4
Megaptera_novaeangliae	2009	1995	89
Hyperoodon_ampullatus	2007	1995	1
Globicephala_melas	1951	1995	9
Balaenoptera_physalus	1947	1995	11
Balaenoptera_musculus	1944	1995	1
Balaenoptera_borealis	1943	1995	0
Balaenoptera_acutorostrata	1941	1995	193
Pusa_hispida	23458	1996	26.5
Pusa_hispida	17829	1996	0.992
Ursus_maritimus	13304	1996	135.27
Ursus_maritimus	13245	1996	19
Ursus_maritimus	13244	1996	155
Ursus_maritimus	8076	1996	1039
Ursus_maritimus	4544	1996	1125
Pusa_hispida	17829	1997	0.677
Ursus_maritimus	13304	1997	167.33
Ursus_maritimus	13245	1997	24
Ursus_maritimus	13244	1997	184
Ursus_maritimus	8076	1997	1056
Ursus_maritimus	4544	1997	1250
Odobenus_rosmarus	14866	1998	179
Odobenus_rosmarus	14865	1998	200
Ursus_maritimus	13304	1998	160.31
Ursus_maritimus	8151	1998	2074
Ursus_maritimus	8076	1998	971
Delphinapterus_leucas	2193	1998	1171
Delphinapterus_leucas	20419	1999	2270
Pusa_hispida	17829	1999	0.445
Odobenus_rosmarus	14866	1999	110
Odobenus_rosmarus	14865	1999	441
Ursus_maritimus	13304	1999	140.46
Ursus_maritimus	8076	1999	1143
Balaenoptera_acutorostrata	2365	1999	79461
Pagophilus_groenlandicus	23450	2000	1800
Pusa_hispida	17829	2000	0.606
Odobenus_rosmarus	14866	2000	204
Odobenus_rosmarus	14865	2000	149
Ursus_maritimus	13304	2000	81.53
Enhydra_lutris	9804	2000	4354
Enhydra_lutris	9803	2000	374
Ursus_maritimus	8084	2000	786.76
Ursus_maritimus	8076	2000	876
Monodon_monoceros	4320	2000	1780
Delphinapterus_leucas	23407	2001	3
Odobenus_rosmarus	14866	2001	185
Odobenus_rosmarus	14865	2001	44
Ursus_maritimus	13304	2001	118.17
Delphinapterus_leucas	13273	2001	2929.53
Enhydra_lutris	9807	2001	1.52
Enhydra_lutris	9806	2001	0.54
Enhydra_lutris	9805	2001	1005
Ursus_maritimus	8076	2001	1144
Ursus_maritimus	8062	2001	1800
Delphinapterus_leucas	4319	2001	2453
Balaena_mysticetus	2186	2001	10545
Physeter_catodon	2015	2001	4
Phocoena_phocoena	2014	2001	13
Orcinus_orca	2012	2001	4
Megaptera_novaeangliae	2009	2001	158
Hyperoodon_ampullatus	2007	2001	0
Globicephala_melas	1951	2001	1
Balaenoptera_physalus	1947	2001	11
Balaenoptera_musculus	1944	2001	9
Balaenoptera_borealis	1943	2001	4
Balaenoptera_acutorostrata	1941	2001	201
Pusa_hispida	27354	2002	480
Pusa_hispida	27353	2002	1131
Pusa_hispida	27352	2002	1148
Pusa_hispida	23456	2002	35
Ursus_maritimus	13304	2002	86.41
Ursus_maritimus	8076	2002	968
Pusa_hispida	27354	2003	362
Pusa_hispida	27353	2003	774
Pusa_hispida	27352	2003	499
Pusa_hispida	23460	2003	19.62
Erignathus_barbatus	23417	2003	6.3
Odobenus_rosmarus	14866	2003	114
Odobenus_rosmarus	14865	2003	137
Ursus_maritimus	13304	2003	158.47
Ursus_maritimus	8084	2003	1302.53
Ursus_maritimus	8081	2003	680
Ursus_maritimus	8076	2003	967
Pusa_hispida	23458	2004	33.8
Odobenus_rosmarus	14866	2004	171
Odobenus_rosmarus	14865	2004	74
Ursus_maritimus	13304	2004	117.25
Delphinapterus_leucas	13273	2004	4281.58
Ursus_maritimus	8152	2004	1650
Ursus_maritimus	8151	2004	1600
Ursus_maritimus	8084	2004	1093.06
Ursus_maritimus	8081	2004	695
Ursus_maritimus	8076	2004	872
Delphinapterus_leucas	4559	2004	3100
Delphinapterus_leucas	23407	2005	8
Odobenus_rosmarus	14866	2005	19
Odobenus_rosmarus	14865	2005	17
Odobenus_rosmarus	14864	2005	766
Ursus_maritimus	8084	2005	1229.84
Ursus_maritimus	8081	2005	675
Balaenoptera_acutorostrata	2365	2005	78500
Delphinapterus_leucas	23407	2006	5.5
Odobenus_rosmarus	14866	2006	94
Odobenus_rosmarus	14865	2006	308
Odobenus_rosmarus	14864	2006	1198
Ursus_maritimus	8062	2006	1526
Delphinapterus_leucas	23407	2007	4.5
Pusa_hispida	17829	2007	0.917
Odobenus_rosmarus	14866	2007	101
Odobenus_rosmarus	14865	2007	515
Odobenus_rosmarus	14864	2007	1639
Balaena_mysticetus	12449	2007	1.81
Pusa_hispida	17829	2008	0.439
Odobenus_rosmarus	14866	2008	404
Odobenus_rosmarus	14865	2008	308
Odobenus_rosmarus	14864	2008	955
Delphinapterus_leucas	13273	2008	2673.21
Balaena_mysticetus	12449	2008	2.62
Pagophilus_groenlandicus	23450	2009	1000
Eschrichtius_robustus	23350	2009	0.0089
Delphinapterus_leucas	20419	2009	849
Odobenus_rosmarus	14866	2009	388
Odobenus_rosmarus	14865	2009	557
Balaena_mysticetus	12449	2009	0.66
Eschrichtius_robustus	23350	2010	0.004
Odobenus_rosmarus	22035	2010	10435
Pusa_hispida	17829	2010	0.727
Pagophilus_groenlandicus	23450	2011	1600
