ID,min_year,max_year
1941,1986,2001
1943,1986,2001
1944,1986,2001
1945,1970,1985
1947,1986,2001
1951,1986,2001
2007,1986,2001
2009,1986,2001
2012,1986,2001
2014,1986,2001
2015,1986,2001
2186,1978,2001
2187,1978,1988
2193,1980,1998
2233,1977,1988
2365,1989,2005
4319,1985,2001
4320,1984,2000
4544,1981,1997
4545,1982,1986
4559,1985,2004
4633,1982,1994
8062,1986,2006
8076,1987,2004
8081,1985,2005
8084,1972,2005
8151,1998,2004
8152,1993,2004
9803,1986,2000
9804,1986,2000
9805,1986,2001
9806,1986,2001
9807,1989,2001
12449,2007,2009
13244,1993,1997
13245,1993,1997
13273,1985,2008
13304,1984,2004
14864,2005,2008
14865,1977,2009
14866,1977,2009
15142,1982,1983
17829,1995,2010
20419,1999,2014
22035,2010,2011
22036,1988,1989
23350,2009,2012
23407,1980,2012
23417,1975,2012
23450,1976,2011
23456,1975,2012
23458,1985,2004
23460,1975,2012
27352,2002,2003
27353,2002,2003
27354,2002,2003
