population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1945,1,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1947,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8084,1,-1,-1,0.115159716941181,0.105333948836309,0.0853445261150214,0.0591102872942924,0.0335863922322162,0.0151836617816739,0.00625181249007856,0.00308009853619984,-0.00144336717462901,-0.00893750241157187,-0.0194023071746328,-0.0328377814638081,-0.0492439252790966,-0.0682333341335428,-0.0871536247251834,-0.0999363176466455,-0.100398593527652,-0.0876494243484593,-0.0632047520463002,-0.029366440179901,0.00474510595625821,0.0312899659560202,0.0490299472196569,0.0617499065053391,0.0704464255887873,0.0751195044699822,0.07576914314894,0.0723953416256471,0.0654339497260632,0.0566283667539444,0.046414442535244,0.0358487069147277,0.0294507109083857,-1,-1,-1,-1,-1,-1,-1,-1,-1
2233,1,-1,-1,-1,-1,-1,-1,-1,-0.0134602304959488,-0.0134602304959492,-0.0134602304959488,-0.0134602304959488,-0.0134602304959488,-0.0134602304959488,-0.0134602304959488,-0.0134602304959492,-0.0134602304959488,-0.0134602304959488,-0.0134602304959488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4544,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136937491452826,0.110348166422458,0.066063452675122,0.0233026735931698,-0.00280440413554173,-0.0109220102538155,-0.0103185259334397,-0.0103313173644302,-0.0125122238235704,-0.0116458231450949,-0.00332586818475322,0.00988939627111485,0.019805797141855,0.0200703214677391,0.0124516950485831,0.00529401945381736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4633,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.067069495828963,-0.000904521439144546,-0.0930888056760728,-0.141153630659221,-0.110236063003949,-0.0245902613777044,0.0579653766821545,0.0914379040010579,0.0678041061610969,0.0108960852881901,-0.0453404150272527,-0.0758272891529984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13304,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0807106110425777,0.0807039862762302,0.217435666850135,0.152632042331491,-0.0491473173363821,-0.170197587519229,-0.121107067624219,-0.0263659651065278,-0.0212542658135209,-0.0659710531024946,-0.0337501062056096,0.0751725379271417,0.116886600850775,0.0119794979934342,-0.125285848302243,-0.130217555349768,-0.0062209651543188,0.0872731385788581,0.0554111181324211,-0.019550213715835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8081,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0878303551561381,-0.00110290800075541,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,-0.00110290800075541,-0.00110290800075497,-0.00110290800075541,0.00947589188387754,-0.0126810317590889,-1,-1,-1,-1,-1,-1,-1,-1,-1
8062,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143435942968888,-0.0143435942968888,-0.0143435942968888,-0.0143435942968893,-0.0143435942968888,-1,-1,-1,-1,-1,-1,-1,-1
8076,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00600644044492249,-0.00600644044490783,-0.00600644044464316,-0.00600644044398502,-0.00600644044312748,-0.0060064404425022,-0.00600644044243914,-0.00600644044294452,-0.00600644044377852,-0.00600644044471244,-0.00600644044564635,-0.0060064404465896,-0.0060064404475626,-0.00600644044855114,-0.00600644044948506,-0.00600644045022181,-0.00600644045061394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13245,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.221179574230225,0.221179574230225,-0.277548899814458,0.101457640758777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13244,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.251471216223157,0.168063406043714,0.0632268998054837,0.074486124839245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8152,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00648690077596958,0.00648690077597003,0.00648690077597003,0.00648690077596958,0.00648690077597003,0.00648690077596958,0.00648690077597003,0.00648690077596958,0.00648690077597003,0.00648690077596958,0.00648690077597003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
