ID,min_year,max_year
445,1985,1995
1073,1970,2014
1074,1968,1998
1582,1970,2000
1583,1986,2005
1584,1986,2003
1585,1986,2005
1586,1970,2000
1587,1950,1994
1588,1970,2000
1589,1986,2005
1593,1974,1994
1594,1967,1990
1600,1980,1990
1601,1950,1990
1602,1950,1990
1603,1950,1990
1617,1988,1999
1618,1980,1990
1619,1988,1999
1620,1980,1990
1621,1988,1999
1622,1950,1990
1623,1991,2000
1624,1988,1999
1625,1980,1990
1626,1988,1999
1627,1988,1999
1628,1980,1990
1629,1980,1991
1630,1970,2000
1631,1970,2000
1632,1970,2000
1633,1970,2000
1634,1970,2000
1635,1970,2000
1636,1970,2000
1637,1985,2005
1638,1983,2005
1639,1970,1996
1640,1970,2000
1641,1970,2000
1642,1970,2000
1643,1983,1999
1644,1982,1999
1645,1970,2000
1646,1970,2000
1647,1982,1999
1648,1991,2000
1652,1970,2000
1653,1970,2000
1654,1970,2000
1655,1970,2000
1657,1979,1998
1658,1998,2003
1659,1999,2003
1660,1999,2003
1661,1993,2003
1662,1970,2000
1663,1970,2000
1664,1970,2000
1665,1970,2000
1666,1986,2005
1667,1986,2003
1668,1986,2005
1669,1986,2005
1670,1970,2000
1671,1970,2000
1672,1970,2000
1673,1986,2005
1674,1970,2000
1675,1970,2000
1676,1986,2005
1678,1982,1999
1679,1950,1990
1680,1980,1990
1681,1950,1990
1682,1991,2000
1683,1950,1990
1684,1960,1992
1685,1950,1992
1686,1980,1994
1687,1970,2000
1688,1970,2000
1689,1970,2000
1690,1970,2000
1691,1970,2000
1692,1970,2000
1693,1970,2000
1694,1980,1990
1696,1950,1999
1697,1970,1995
1698,1991,2000
1699,1970,1998
1700,1968,1998
1701,1966,1997
1702,1970,2000
1703,1970,2000
1704,1970,2000
1705,1970,2000
1707,1991,2000
1708,1950,1999
1710,1975,1998
1711,1994,2003
1712,1980,1990
1713,1980,1990
1714,1950,1999
1715,1970,1995
1717,1970,2016
1718,1980,1990
1719,1985,1997
1720,1982,1997
1721,1970,2000
1722,1970,2000
1723,1975,1998
1724,1980,1990
1725,1950,1999
1726,1950,1990
1727,1991,2000
1728,1950,1990
1729,1971,1991
1730,1988,1999
1731,1980,1990
1745,1992,2001
1751,1986,2003
1752,1986,2003
1753,1986,2005
1754,1970,2000
1755,1970,2000
1756,1970,2000
1759,1970,2000
1760,1970,2000
1761,1950,1978
1762,1970,2000
1763,1970,2000
1764,1970,2000
1765,1970,2000
1766,1986,2005
1767,1970,2000
1768,1986,2005
1769,1986,2005
1770,1986,2005
1771,1970,2000
1772,1970,2000
1773,1970,2000
1774,1970,2000
1775,1975,1998
1798,1969,1996
1799,1978,1992
1801,1970,2000
1802,1970,2000
1803,1970,2000
1804,1970,2000
1805,1970,2000
1806,1970,2000
1807,1970,2000
1808,1970,2000
1809,1970,1995
1810,1983,1999
1811,1976,1992
1812,1991,2000
1816,1970,2000
1817,1970,2000
1818,1970,2000
1819,1950,1999
1820,1970,2000
1822,1986,2005
1823,1970,2000
1824,1986,2005
1825,1985,2003
1827,1986,2005
1828,1986,2005
1829,1981,2004
1830,1986,2005
1831,1970,2000
1833,1986,2005
1834,1970,2000
1835,1970,1995
1836,1992,2001
1837,1970,2000
1838,1970,2000
1839,1982,1999
1840,1988,2003
1841,1970,2000
1842,1980,1990
1846,1976,1994
1848,1970,2000
1849,1970,2000
1850,1960,1995
1851,1991,2000
1852,1970,2000
1853,1970,1995
1854,1970,2000
1855,1982,1999
1856,1970,2000
1857,1950,1994
1858,1992,2005
1859,1970,2000
1860,1970,2000
1861,1992,2005
1862,1992,2005
1863,1968,1998
1864,1992,2005
1865,1969,1989
1866,1992,2005
1867,1991,2000
1868,1970,1995
1869,1982,1999
1870,1975,1998
1871,1970,2000
1872,1991,2000
1873,1970,2000
1874,1970,1995
1875,1970,2000
1876,1970,2000
1878,1982,1999
1880,1970,2000
1881,1970,2000
1882,1970,2000
1883,1991,2000
1884,1970,2000
1885,1970,1995
1886,1970,2000
1887,1950,1999
