Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Raja_clavata,1,-0.0234446453879222,-0.0226751357128672,-0.0217565479259312,-0.0206935528536145,-0.0194957359141017,-0.0181827549895193,-0.0167772308343546,-0.0153689909088728,-0.0140603849520966,-0.012918964881441,-0.0119564390425784,-0.0111664825388123,-0.0105339850446096,-0.0100481421740457,-0.00968016742486277,0.0788238697091611,-0.0447828952628631,-0.0447222986657492,-0.0401924731831193,-0.0402228098377678,-0.0493897961463662,0.0185117167174826,0.0183856807526262,0.0182364657808785,-0.00143737334205126,-0.0978315303991534,0.082528189306001,-0.0169790145952386,0.0104757887047381,0.0103741692591138,-0.0429109068769999,0.0349628006736213,0.0441210890611537,0.013490396768946,-0.0148084949134217,-0.0148274914495392,-0.0149722546346558,-0.0152931721293701,-0.0157171031847381,-0.0161006548073046,-0.0163411831389069,-0.0164460563421529,-0.0164894874716657,NA,NA,NA,NA
Thunnus_alalunga,1,-0.0200766360429356,-0.0165835386659148,-0.00664732873689022,0.0118016885908854,0.0297840182802926,0.024273955566823,-0.0107401424377485,-0.0457309327248803,-0.0471207556025521,-0.0165752909654708,0.0177539897066907,0.0372849524963526,0.0403084259079027,0.0245382648939758,-0.00985897050275986,-0.0412853522494894,-0.038878784200727,-0.0022388866368388,0.0320104124855791,0.0339097648305575,0.0130582018173242,-0.00342852722239861,-0.00855578698643189,-0.0143544185131086,-0.0256634134850828,-0.0352040044243274,-0.0397097297572029,-0.0418709929247534,-0.0364024202577613,-0.0121339354227739,0.0265223597697593,0.0541187883109995,0.0496677395449576,0.0205312330321687,-0.00708297497004695,-0.0171148292001417,-0.0154126958961847,0.00165151568672961,0.00385129528748962,0.00495598840502698,0.00511758641863569,NA,NA,NA,NA,NA,NA
Hippoglossus_hippoglossus,1,-0.00451256752213075,-0.0118033570245394,-0.00448779676590556,0.0037603560099279,0.0157745963434103,0.0280162578373885,0.0374988952940798,0.0371552452598361,0.039182983800893,0.0495874107562156,-0.00289596065395658,-0.00255351245974477,-0.0305157002035418,-0.0231962250254909,-0.030114058427671,-0.0490957606015186,0.016717518306726,-0.0481094018922178,0.0372149793093215,-0.0577814911151841,-0.0779247571786638,-0.0214890983808653,-0.0842303262383324,-0.0524607506103044,0.0615450214715723,0.127184301976853,0.110158373519749,0.0762457938258225,0.0558149476690271,0.0674892950508876,0.0706830076622087,0.0523649975674523,0.0302089456272943,0.0274474501263136,0.0439659690461783,0.0600539396760847,0.0624094056588203,0.0600993346872849,0.0596898625351636,0.0634760712605626,0.0619883393623817,0.041848077242878,0.00642367332022601,0.0171377771714536,0.0590805091248653,0.0936661047256218,NA
Sebastes_fasciatus,1,-0.0341480645937295,-0.0528249433399761,-0.0615281738915145,-0.0545408028681429,-0.0404749398831123,-0.034991195321596,-0.0439869681934404,-0.0605627546339003,-0.0385061834845309,-0.0449493005033735,-0.0491883631403729,-0.050753667840313,-0.0517670643687289,-0.0548196172935342,-0.0555878771048866,-0.0437799649170544,-0.0169127526836769,0.0110116918740585,0.0213789270361076,0.0104483797001379,-0.00791155863884552,-0.00218390843782185,0.000457619053314595,0.00796950318049616,0.0185453242996269,0.031656117074167,0.0432847040152672,0.0461948215560276,0.0375934850081205,0.0240362693918537,0.0160177678131543,0.0180884294038899,0.0255758788367968,0.0304997395850684,0.0292866498346676,0.0245740985043508,0.0210070829093879,0.002489428289615,0.00227400260991676,-0.000939810966177346,NA,NA,NA,NA,NA,NA,NA
Gadus_morhua,1,-0.0492657557031218,-0.0350649049131469,-0.0380031954556226,-0.0370466019403662,-0.0282677212773631,-0.0111801868024444,0.0147656949368525,0.0397410875815552,0.0378081767972101,0.0593809772703931,0.0333868627382909,0.0142361567172271,-0.00189832883783674,-0.00748952787000559,-0.00988195483368392,-0.0190433567598884,-0.048090848182089,0.00113245160057959,-0.0320157101321336,-0.0532403490553383,-0.0989898242363704,-0.121463696794801,-0.108496484540879,-0.0702381501897541,-0.0165658646448722,0.00743235154424019,-0.0104570722324587,-0.0260741390288886,-0.0331873549928387,-0.0182268279306084,-0.0130061969849193,-0.0143262775851888,-0.0251471863643327,-0.023043908216126,0.00700371548644683,0.0312263616884141,0.0523837847758016,0.0154132137710296,-0.0017502475416994,0.000321042097168546,0.0277742437254627,0.0321583809703398,0.0363133465639882,0.0393066340718358,0.022301357123047,-0.0398323343825859,NA
Melanogrammus_aeglefinus,1,-0.0572330222830583,-0.0774603788658306,-0.0489320782173323,-0.0243842512650629,-0.00599212475354926,0.0163418841317527,0.0328116964084292,0.0559135901864752,0.0595916481010253,0.0685729128787125,0.0654468369833905,0.0452176597625376,0.016721986555693,-0.00348571518165222,-0.0125039393731502,-0.0327229589890655,-0.0654773873201064,-0.0868508439286618,-0.104562778541965,-0.107770551920198,-0.109010128274096,-0.0748201535131354,-0.0323530812670711,-0.000199467116134998,0.0705115185155524,0.0839407950853045,0.063760119451187,0.00844013293329702,-0.0304510376364628,-0.00829777293707757,0.0506049560168966,0.0740090965499957,0.038454835248113,-0.00829301004834049,-0.0186697619444523,0.000929448424479455,0.0106972928719438,-0.000415016728580933,-0.0139063440531343,-0.0155051564338058,-0.00727729246037199,-0.000259825185530915,-0.0478271030986945,-0.0701670061360516,0.0471585673909914,0.0580028667016902,NA
Brevoortia_tyrannus,1,-0.0938801552687017,-0.0417525606254232,-0.000806171305870655,0.00569596213862403,-0.0250667106316746,-0.0309050305787546,-0.00430700698987264,0.0199805602854545,0.0174372656389026,0.0169314158743211,0.0305720284437098,0.05130173444983,0.0569652670516256,0.0462949449140406,0.0422843823397554,0.0566589508864004,0.0652915078449492,0.0672150373722606,0.0378898013071488,0.00897168394328648,-0.00167653619033043,0.00135659326238446,0.0122665059404088,0.0164819834680808,0.0103529813606694,-0.0150688527536058,0.109699462037201,0.0531143695619504,0.03159772337416,0.000997933518081806,0.0129499017426454,0.027075366364654,0.0324410926057794,0.0290820949535496,0.0171858655430379,-0.00187396855232862,-0.017471739752596,-0.000536740831964977,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scomber_scombrus,1,-0.0975025763835597,-0.069743963443922,-0.0677460282767007,0.00785496303912225,0.0519764003503293,-0.0752455919890162,0.081007232429049,-0.00989958843618422,-0.0338774189263228,-0.0700535668032081,-0.031938198298771,0.0994189204198627,0.0313341552519983,0.0806888673873637,0.0999671525731117,-0.0477172191983288,-0.0279840812080103,-0.0183275351867227,0.00107473041198423,0.0180677098918339,0.023653443765676,0.0233683593114478,0.0278686957364649,0.0243797284182247,-0.0400226657853199,0.0847943751961273,0.0138883507045905,-0.00254480043334009,-0.103601800226518,0.0150125998168694,-0.0112649455651616,0.0523488335175135,0.00607865668930509,0.00654426907719938,-0.0565223667951857,-0.115034007250948,-0.16551512622336,-0.0604661529058503,-0.0837579607646894,-0.0273594206403362,0.0249409168316677,0.0267152611872257,0.0268780676822072,0.0263852943591658,0.0259885195242908,0.0258594968659664,NA
Sprattus_sprattus,1,0.00485654846801348,0.0323180586854623,0.0378883003386394,0.0167044438265815,-0.0218394564496613,-0.0215079761070801,-0.0259302660837949,-0.0620376584005632,-0.109573345438312,-0.113007753373362,-0.0444641655089177,0.0601379002467563,0.121635594446953,0.121926759366822,0.0571965852193939,0.0120277687925437,-0.012139542153518,-0.0129830617433185,-0.00146170082425034,0.0139309299364104,0.00424295973601381,0.0213477643124896,0.0494171448107784,0.0432934097718674,0.0501869571482396,0.052686523005187,-0.188416938827124,0.131348464859555,-0.108083622958451,0.336262904895548,-0.101230206145351,0.0906632470119851,0.0115231167858424,0.010295234665733,0.120443843241783,-0.116415108211878,-0.145679509092948,0.262686181461173,0.0771866903413322,0.0583618938763802,0.0273891228013442,0.415427510634272,NA,NA,NA,NA,NA
Merluccius_bilinearis,1,-0.00653821157119541,0.0392441713372299,0.0602590075848843,0.0612650056967678,0.0228348314738576,0.0119980847189818,0.0150969331405632,0.0259204028851422,0.0376164583583683,0.0423829535054945,0.0519218633421401,0.0685475262988862,0.0695158187093603,0.0610805987423685,0.0370914583596379,-0.00559722999144718,-0.0172031128277493,-0.0720317505207207,-0.110979860368798,-0.114069772725577,-0.141295708655879,-0.0462168419346359,-0.0421520571582963,-0.0867157897519637,-0.0130373233108455,-0.0167128738968534,-0.0122156057033531,-0.00776809989408643,-0.00601424724946645,-0.00875866294687343,-0.0113240181267116,-0.019829893636814,-0.0265413188215815,-0.0294828703528049,-0.020742432976039,0.0217184825122254,0.0416854121728015,0.053091198929554,0.0570762112284083,0.0885303039985444,0.0877025050332805,0.0844876664037333,0.0775663386179928,0.0661517710305706,0.0532933081290793,0.0450089958164365,NA
