ID,min_year,max_year
1368,1976,1990
1369,1974,1990
1370,1976,1990
1371,1980,1990
1372,1976,2009
1373,1970,1993
1374,1970,2000
1375,1971,1993
1376,1970,1993
1377,1975,1993
1379,1955,1995
1381,1970,1993
1382,1974,1993
1383,1974,1987
1384,1973,2004
1385,1991,2007
1386,1974,2008
1387,1974,1989
1388,1958,2002
1389,1967,1994
1391,1950,1989
1392,1970,1989
1393,1967,1989
1394,1977,2007
1395,1978,2000
1396,1950,1996
1398,1970,1990
1399,1970,1990
1400,1960,2007
1401,1967,1990
1402,1978,1990
1403,1973,1986
1404,1950,1989
1405,1972,1990
1406,1950,1996
1407,1950,2007
1408,1977,1987
1413,1967,1994
1414,1970,2012
1415,1966,2012
1416,1971,1994
1417,1978,2001
1418,1955,1992
1419,1985,1998
1420,1950,2009
1421,1978,2011
1422,1970,2004
1424,1968,2010
1425,1971,2008
1426,1963,2010
1427,1984,2013
1428,1961,2012
1429,1971,2012
1430,1962,1992
1431,1988,2010
1432,1959,1993
1433,1974,1993
1434,1974,1997
1435,1959,1993
1436,1950,2011
1437,1958,2007
1438,1950,1994
1439,1982,2011
1440,1978,1998
1441,1983,2007
1442,1983,2000
1443,1983,2000
1444,1950,2014
1445,1963,1994
1446,1970,2000
1447,1978,1991
1448,1987,2011
1449,1987,2011
1450,1987,2011
1451,1970,1993
1452,1965,1986
1453,1980,1990
1454,1980,2007
1455,1978,1999
1456,1983,2005
1460,1986,2010
1461,1984,2005
1462,1986,2011
1463,1977,2000
1464,1986,1995
1465,1986,1994
1466,1986,1991
1470,1979,1997
1472,1980,1996
1473,1970,2000
1474,1970,1999
1475,1961,1995
1476,1970,1998
1477,1962,1990
1478,1957,2012
1479,1978,2012
1480,1992,2011
1481,1993,2012
1482,1950,1987
1483,1962,1988
1484,1970,1997
1485,1950,1998
1486,1960,1991
1487,1950,1993
1488,1950,2014
1489,1985,1994
1490,1963,2012
1491,1982,1991
1492,1982,2012
1493,1971,1994
1494,1965,1992
1495,1976,1990
1496,1972,1992
1497,1965,1991
1498,1971,1993
1499,1955,1987
1500,1976,1990
1501,1955,1987
1502,1970,2003
1505,1982,2010
1506,1960,1985
1507,1978,2008
1509,1981,2013
1510,1972,1991
1511,1983,1998
1512,1982,1990
1513,1970,1993
1514,1971,1993
1515,1973,2007
1516,1968,1986
1517,1973,1996
1518,1973,1996
1519,1977,2008
1520,1978,2006
1521,1980,2010
1522,1980,2010
1523,1964,2008
1524,1957,2010
1525,1961,2012
1527,1963,1994
1528,1974,2008
1530,1967,2012
1531,1980,1998
1532,1970,1993
1533,1970,2010
1534,1975,1999
1535,1970,1994
1537,1964,2009
1538,1978,2010
1541,1970,1995
1542,1962,1997
1543,1972,1990
1544,1972,2008
1545,1971,1993
1546,1990,2000
1547,1969,1990
1548,1980,1989
1549,1986,2010
1550,1970,1993
1551,1970,2011
1552,1982,2011
1553,1969,2010
1554,1971,2011
1555,1984,2010
1556,1984,2008
1557,1957,2010
1558,1970,1990
1559,1970,1993
1560,1974,2011
1561,1970,1990
1562,1951,1993
1563,1984,1993
1569,1972,1993
1570,1985,1994
1571,1982,1996
1572,1975,1993
1573,1976,1993
1574,1974,1994
1575,1970,1994
1576,1970,1994
1577,1984,2006
1578,1970,1986
1579,1970,1998
1580,1970,1998
1934,1989,2000
1935,1970,2000
1936,1972,1992
1937,1968,1997
2070,1970,1980
2325,1987,2011
2328,1960,2008
2329,1957,2008
2527,1983,2004
2529,1970,2003
2530,1970,2003
2531,1984,2003
2535,1970,2004
2536,1978,2004
2537,1981,2004
2538,1970,2004
2539,1970,2004
2540,1970,2002
2541,1972,2003
2542,1970,2004
2543,1982,2002
2544,1983,2011
4298,1970,2001
4409,1984,2003
4410,1986,2003
4411,1984,2003
4412,1978,1999
4413,1970,2002
4414,1967,2010
4415,1983,1993
4416,1993,2013
4417,1978,2004
4418,1973,1995
4419,1996,2004
4420,1973,1995
4421,1996,2013
4422,1972,1995
4423,1996,2004
4424,1972,1995
4425,1996,2012
4426,1971,2011
4482,1950,2009
4483,1950,2009
4484,1983,1995
4485,1983,2010
4487,1998,2010
4493,1962,2011
4494,1974,2010
4495,1990,2012
4496,1978,2007
4497,1985,2003
4498,1978,2009
4499,1982,2008
4501,1961,2005
4502,1978,2010
4505,1970,2010
4506,1965,2006
4507,1970,2009
4508,1996,2004
4509,1981,2005
4510,1981,2005
4511,1981,2005
4512,1987,2005
4513,1993,2007
4514,1993,2010
4515,1993,2010
4516,1971,2002
4548,1978,2009
4638,1974,1993
4639,1984,1991
4640,1976,1993
4641,1960,2011
4642,1971,1978
4643,1970,1993
4647,1991,1993
4648,1976,1992
4649,1977,1986
4650,1990,1992
4656,1970,1993
4657,1970,1993
4658,1970,1993
4659,1971,1993
4660,1975,1993
4661,1970,1993
4662,1971,1992
4663,1970,1993
4683,1970,1993
4684,1970,1993
4685,1971,1993
4686,1970,1993
4687,1974,1993
4688,1970,1993
4689,1970,1993
4924,1970,1993
4925,1970,1993
4927,1970,1993
5138,1972,2003
5232,1972,2003
5233,1972,2003
5234,1972,2003
5235,1972,2003
5236,1972,2003
5237,1974,2005
5238,1972,2003
5239,1970,2005
5240,1989,2005
5426,1990,1998
6086,1971,1995
6126,1965,1977
6127,1963,1977
6169,1986,1987
6170,1990,1991
6201,1965,2004
6228,1995,2010
