Binomial	ID	year	popvalue
Connochaetes_taurinus	5589	1958	189000
Connochaetes_taurinus	5589	1961	259000
Connochaetes_taurinus	5589	1963	355000
Connochaetes_taurinus	5589	1965	436000
Connochaetes_taurinus	5589	1967	480000
Ixobrychus_minutus	23164	1968	2000
Acinonyx_jubatus	28	1969	7
Acinonyx_jubatus	28	1970	9
Connochaetes_taurinus	5589	1971	690000
Acinonyx_jubatus	28	1971	10
Trigonoceps_occipitalis	27	1971	0.6
Torgos_tracheliotos	26	1971	0.5
Connochaetes_taurinus	5589	1972	776000
Gorilla_beringei	93	1972	274
Acinonyx_jubatus	28	1972	9
Acinonyx_jubatus	28	1973	11
Ixobrychus_minutus	23164	1974	1250
Acinonyx_jubatus	28	1974	20
Acinonyx_jubatus	28	1975	31
Acinonyx_jubatus	28	1976	34
Connochaetes_taurinus	5589	1977	1440000
Gorilla_beringei	93	1977	268
Acinonyx_jubatus	28	1977	37
Connochaetes_taurinus	5589	1978	1250000
Acinonyx_jubatus	28	1978	26
Calamus_calamus	15423	1979	0
Calamus_calamus	15422	1979	0
Ptychoramphus_aleuticus	2147	1979	240
Urile_penicillatus	2144	1979	16200
Acinonyx_jubatus	28	1979	27
Calamus_calamus	15423	1980	0.00032
Calamus_calamus	15422	1980	0.00018
Connochaetes_taurinus	5589	1980	1340000
Urile_penicillatus	2145	1980	554
Nannopterum_auritus	2138	1980	3296
Acinonyx_jubatus	28	1980	29
Calamus_calamus	15423	1981	0
Calamus_calamus	15422	1981	2e-04
Acanthopagrus_berda	5579	1981	0.05
Gorilla_beringei	93	1981	254
Acinonyx_jubatus	28	1981	38
Calamus_calamus	15423	1982	0
Calamus_calamus	15422	1982	0.00036
Connochaetes_taurinus	5589	1982	1210000
Acanthopagrus_berda	5579	1982	0.09
Acinonyx_jubatus	28	1982	43
Ardea_purpurea	23165	1983	2740
Ixobrychus_minutus	23164	1983	450
Calamus_calamus	15423	1983	0
Calamus_calamus	15422	1983	0.00051
Acanthopagrus_berda	5579	1983	0.06
Acinonyx_jubatus	28	1983	44
Calamus_calamus	15423	1984	0.00014
Calamus_calamus	15422	1984	6e-05
Connochaetes_taurinus	5589	1984	1340000
Acanthopagrus_berda	5579	1984	0.1
Acinonyx_jubatus	28	1984	44
Calamus_calamus	15423	1985	0
Calamus_calamus	15422	1985	0.00035
Acanthopagrus_berda	5579	1985	0.07
Acinonyx_jubatus	28	1985	57
Calamus_calamus	15423	1986	0
Calamus_calamus	15422	1986	0.00131
Oncorhynchus_tshawytscha	5811	1986	9065
Connochaetes_taurinus	5589	1986	1150000
Acanthopagrus_berda	5579	1986	0.1
Gorilla_beringei	93	1986	293
Acinonyx_jubatus	28	1986	50
Calamus_calamus	15423	1987	0
