ID,min_year,max_year
2017,1988,1996
2023,1988,1997
2024,1988,1998
2026,1980,2000
5464,1979,2016
5465,1988,1998
5466,1993,2016
5467,1989,2000
5468,1994,1998
5469,1979,1998
5470,1994,1998
5471,1979,2000
5472,1990,1998
5473,1990,1996
5474,1990,1996
5475,1994,1996
5478,1994,2000
5479,1990,1998
5480,1988,1996
5481,1988,1996
5482,1988,1996
5483,1988,1996
5484,1988,1996
5503,1993,2016
5701,1993,2000
5706,1993,2000
5708,1984,1995
8627,1993,2003
8628,1993,2003
9067,1984,2002
9068,1984,2002
9069,1984,2002
9070,1984,2002
9071,1984,2002
9072,1984,2002
11268,1995,2002
12490,1999,2006
15317,2004,2007
15318,2003,2007
23129,2002,2016
23130,1993,1999
23131,1993,1999
23132,1993,1999
23133,1993,2000
23134,1993,2000
23135,1993,2000
23136,1993,2000
23137,1993,2000
23138,1993,2000
23139,1988,2011
23140,1988,2011
23302,2006,2011
27178,2001,2008
27179,2010,2014
27180,2000,2001
27288,2002,2003
27289,1990,2004
