ID,min_year,max_year
1942,1989,1995
1946,1970,1985
1948,1970,1985
1949,1970,1985
1950,1977,1997
1952,1960,2001
1953,1960,2001
1954,1961,2001
1955,1970,2001
1956,1970,2001
1957,1960,2001
1958,1961,2001
1959,1961,2001
1960,1970,2001
1961,1984,2001
1962,1984,2001
1963,1960,2001
1964,1960,2001
1965,1956,2001
1966,1997,2001
1967,1984,2001
1968,1961,2001
1969,1960,2001
1970,1961,2001
1971,1984,1996
1972,1960,2001
1973,1960,2001
1974,1984,2001
1975,1979,2001
1976,1960,2001
1977,1960,2001
1978,1960,2001
1979,1984,2000
1980,1984,2001
1981,1961,2001
1982,1960,2001
1983,1984,2001
1984,1961,2001
1985,1984,2001
1986,1960,2001
1987,1961,2001
1988,1960,2001
1989,1960,2000
1990,1960,2001
1991,1984,2001
1992,1984,2001
1993,1984,2001
1994,1970,2001
1995,1961,2001
1996,1966,2001
1997,1984,2001
1998,1960,1998
1999,1970,2001
2000,1960,2001
2001,1960,2001
2002,1960,2001
2003,1960,2001
2004,1960,2001
2005,1977,1994
2006,1960,2000
2010,1955,2004
2013,1978,1983
2366,1998,2003
2367,1983,2002
4315,1991,1999
4318,1986,1992
4517,1960,2009
4557,1973,1985
4558,1988,2002
4645,1984,1998
4646,1985,1998
4729,1990,2004
4904,1988,2006
4905,1990,2010
4906,1994,2010
4907,1989,2010
4908,1991,2009
4909,1992,2008
4910,1988,2005
4911,1989,2005
4912,1988,2000
4913,1988,2005
4941,2000,2003
4942,2000,2003
4943,2000,2003
4944,2000,2003
4945,2000,2003
5655,1988,1998
5683,1999,2001
5872,1960,1978
5873,1960,1978
5874,1960,1978
5875,1960,1978
6073,1997,2004
6074,1997,2004
6453,1991,1998
8321,1976,2005
8322,1979,2007
9126,1968,2008
9179,1998,2002
9305,1978,1982
9307,1978,1981
9308,1978,1982
9309,1978,1982
10466,1995,1996
10468,2002,2006
10473,2002,2006
10474,2002,2006
10476,2002,2004
10488,1972,2004
10489,1993,1997
10496,1991,2006
10686,2000,2004
10687,2004,2005
10688,1989,2007
10689,1996,2006
10698,1990,1999
10722,2006,2007
10724,2006,2007
10726,2003,2005
10736,1998,2007
10741,1995,2007
10742,1995,2007
10743,2004,2007
10747,1995,1997
10749,1998,2007
10753,1995,2002
10801,2001,2005
10804,2001,2003
10807,1997,1998
10825,1999,2005
10847,2001,2002
10867,2003,2006
10869,1995,2007
10870,2001,2009
10871,1996,2006
10872,1996,2006
10873,1996,2006
10933,1990,2003
10934,2004,2007
11013,1979,2004
11025,1977,2003
11027,1985,2003
11029,1989,2004
11032,1979,2004
11034,1991,2000
11119,1999,2004
11120,1988,2004
11121,1989,1994
11122,1989,1994
11123,1989,1994
11502,1980,2010
11521,1978,2001
11523,1979,1995
11524,2000,2010
11527,2005,2011
11530,1982,2002
11534,2000,2005
11535,1990,2005
11536,1990,2005
11537,1990,2005
11540,1991,2004
11546,1990,2005
11548,1990,2005
12305,1988,2011
12306,1987,2008
12307,1987,2008
12438,1961,2010
12445,1960,2010
12504,1988,2011
12534,1988,2011
12538,1988,2011
12540,1988,2011
12546,1988,2011
12548,1988,2011
13262,1994,1997
13263,1994,1997
13294,1970,1978
13295,1970,1978
14553,1972,2012
15144,1978,1984
15146,1983,1986
15150,1978,1986
18029,2007,2011
18030,2009,2014
18033,2009,2014
18035,2009,2014
18039,2009,2012
18040,2009,2014
18041,2009,2014
18042,2009,2014
19073,1990,2013
19078,1990,2013
19080,1990,2013
22788,1992,1993
23355,2007,2016
