Binomial	ID	year	popvalue
Rhomboplites_aurorubens	19326	1950	10405
Scomberomorus_maculatus	19324	1950	6753
Seriola_dumerili	19320	1950	6260.39
Merluccius_capensis	19300	1950	191000
Merluccius_paradoxus	19297	1950	834000
Scomberomorus_maculatus	19200	1950	38211
Katsuwonus_pelamis	19171	1950	768026.51
Thunnus_thynnus	19169	1950	231625.49
Thunnus_albacares	19132	1950	997864.09
Thunnus_obesus	19129	1950	857563.75
Sardinops_sagax	10350	1950	0.834
Pristis_pectinata	9620	1950	8.1
Xiphias_gladius	1581	1950	108200
Lutjanus_campechanus	1467	1950	132412
Rhomboplites_aurorubens	19326	1951	10363
Scomberomorus_maculatus	19324	1951	7295
Seriola_dumerili	19320	1951	6240.88
Merluccius_capensis	19300	1951	176000
Merluccius_paradoxus	19297	1951	833000
Scomberomorus_maculatus	19200	1951	37291
Katsuwonus_pelamis	19171	1951	767936.72
Thunnus_thynnus	19169	1951	262643.99
Thunnus_albacares	19132	1951	1009053.33
Thunnus_obesus	19129	1951	856908.48
Sardinops_sagax	10350	1951	0.8077
Pristis_pectinata	9620	1951	7.2
Xiphias_gladius	1581	1951	110300
Lutjanus_campechanus	1467	1951	131178
Katsuwonus_pelamis	19371	1952	194191.85
Rhomboplites_aurorubens	19326	1952	10314
Scomberomorus_maculatus	19324	1952	7804
Seriola_dumerili	19320	1952	6217.27
Merluccius_capensis	19300	1952	154000
Merluccius_paradoxus	19297	1952	833000
Scomberomorus_maculatus	19200	1952	35234
Katsuwonus_pelamis	19171	1952	767934.76
Thunnus_thynnus	19169	1952	277510.99
Thunnus_albacares	19132	1952	1018687.83
Thunnus_obesus	19129	1952	855802.71
Sardinops_sagax	10350	1952	0.7259
Sardinops_sagax	10347	1952	6.4672
Pristis_pectinata	9620	1952	7.5
Xiphias_gladius	1581	1952	112600
Lutjanus_campechanus	1467	1952	129419
Katsuwonus_pelamis	19371	1953	193910.66
Rhomboplites_aurorubens	19326	1953	10256
Scomberomorus_maculatus	19324	1953	8059
Seriola_dumerili	19320	1953	6188.25
Merluccius_capensis	19300	1953	135000
Merluccius_paradoxus	19297	1953	832000
Scomberomorus_maculatus	19200	1953	33957
Katsuwonus_pelamis	19171	1953	767833.72
Thunnus_thynnus	19169	1953	280039.98
Thunnus_albacares	19132	1953	1028105.13
Thunnus_obesus	19129	1953	854790.12
Sardinops_sagax	10350	1953	0.6439
Sardinops_sagax	10347	1953	5.7075
Carcharhinus_leucas	9621	1953	0.00042
Pristis_pectinata	9620	1953	4.4
Xiphias_gladius	1581	1953	113800
Lutjanus_campechanus	1467	1953	127086
Katsuwonus_pelamis	19371	1954	193718.81
Rhomboplites_aurorubens	19326	1954	10192
Scomberomorus_maculatus	19324	1954	8415
Seriola_dumerili	19320	1954	6158.67
Merluccius_capensis	19300	1954	117000
Merluccius_paradoxus	19297	1954	831000
Scomberomorus_maculatus	19200	1954	33310
Katsuwonus_pelamis	19171	1954	767773.79
Thunnus_thynnus	19169	1954	289062.48
Thunnus_albacares	19132	1954	1032605
Thunnus_obesus	19129	1954	853377.85
Sardinops_sagax	10350	1954	0.5066
Sardinops_sagax	10347	1954	5.0469
Carcharhinus_leucas	9621	1954	0.00138
Pristis_pectinata	9620	1954	5.4
Xiphias_gladius	1581	1954	114400
Lutjanus_campechanus	1467	1954	124648
Katsuwonus_pelamis	19371	1955	193601.62
Rhomboplites_aurorubens	19326	1955	10122
Scomberomorus_maculatus	19324	1955	8708
Lutjanus_campechanus	19322	1955	34350.09659
Seriola_dumerili	19320	1955	6129.17
Merluccius_capensis	19300	1955	97000
Merluccius_paradoxus	19297	1955	828000
Scomberomorus_maculatus	19200	1955	32568
Katsuwonus_pelamis	19171	1955	767608.11
Thunnus_thynnus	19169	1955	287575.97
Thunnus_albacares	19132	1955	1039884.07
Thunnus_obesus	19129	1955	852477.73
Sardinops_sagax	10350	1955	0.6471
Sardinops_sagax	10347	1955	4.7492
