ID,min_year,max_year
1378,1964,1991
1411,1964,1981
1412,1984,1994
1467,1950,2011
1468,1962,1978
1503,1964,1983
1539,1977,1992
1565,1961,1995
1566,1970,1991
1567,1970,2009
1568,1966,1983
1581,1950,2009
2330,1983,1990
5697,1980,1995
5698,1980,1995
6471,1971,2004
7700,1987,2000
7965,1981,1983
8468,1976,2002
8469,1986,2002
8474,1981,2000
8475,1981,2000
8491,1992,2000
8521,1998,2003
8792,2003,2004
8796,1992,1993
8798,1998,1999
8801,1998,1999
8802,1998,1999
8803,1998,1999
8804,1998,1999
8805,1998,1999
8806,1998,1999
8807,1998,1999
8809,1998,1999
8837,1999,2003
8891,1994,1996
8892,1994,1996
8893,1994,1996
8894,1994,1996
8895,1994,1996
8896,1994,1996
8897,1994,1996
8898,1994,1996
8899,1994,1996
8900,1994,1996
8901,1994,1996
8902,1994,1996
8903,1994,1996
9136,1957,1977
9137,1957,1977
9138,1957,1977
9139,1957,1977
9232,1974,1999
9294,1999,2004
9391,1980,1981
9570,1973,2006
9595,1997,1999
9600,1997,1999
9601,1997,1999
9602,1997,1999
9604,1996,1999
9606,1996,1999
9608,1996,1999
9610,1996,1999
9611,1996,1999
9612,1989,1999
9613,1996,1999
9614,1996,1999
9615,1996,1999
9616,1996,1999
9617,1996,1999
9618,1996,1999
9619,1998,1999
9620,1950,1977
9621,1953,2005
9627,1996,1999
9628,1998,1999
9629,1996,1999
9630,1996,1999
9631,1996,1999
9632,1996,1999
9633,1996,1999
9634,1998,1999
9635,1996,1999
9636,1996,1999
9637,1996,1998
9642,1980,1981
10102,1972,1985
10347,1952,1988
10348,1990,2005
10349,1984,2005
10350,1950,1982
10351,1964,1982
10353,1984,2005
10667,1978,2006
10672,1978,2006
10676,2001,2005
10677,2001,2005
10678,2001,2002
10679,2001,2005
10680,2001,2005
10681,2001,2005
10682,2001,2005
10808,2001,2002
10809,2002,2005
10810,2001,2004
10811,2002,2005
10812,2001,2005
10813,2002,2005
10814,2001,2005
10815,2001,2005
10816,2001,2005
10817,2001,2005
10818,2001,2005
10819,2001,2005
10820,2001,2005
10821,2001,2005
10822,2001,2005
10823,2001,2005
10824,2001,2005
10826,2001,2004
10827,2001,2004
10828,2002,2005
10829,2001,2005
10830,2001,2005
10831,2001,2005
10859,1986,2001
10974,1977,1998
10975,1998,1999
10978,1998,1999
10979,1998,1999
10980,1998,1999
10984,1998,1999
10985,1998,1999
11115,1993,2005
11326,1978,1997
11333,1986,2002
11334,1992,2005
11337,1993,1998
11379,1993,1998
11384,1993,1998
11405,1964,1977
11531,1978,1990
11532,1978,1990
11533,1978,1990
11567,1989,2000
11568,1989,2000
11569,1989,2000
11570,1989,2000
11572,1989,2000
11573,1989,2000
11574,1989,2000
11575,1989,2000
11576,1989,2000
11577,1989,2000
11578,1987,1990
11579,1987,1990
11580,1988,1990
11581,1987,1990
11582,1988,1990
11584,1987,1990
11585,1988,1990
11586,1985,1990
11587,1985,1990
11588,1985,1989
11589,1988,1990
11592,1988,1990
11593,1988,1990
11594,1985,1990
11595,1985,1990
11597,1989,2006
11598,1989,2006
11599,1989,2006
11600,1989,2006
11601,1989,2006
11602,1989,2006
11622,1995,2005
11623,1995,2005
11624,1995,2005
11625,1995,2005
11626,1995,2005
11627,1995,2005
11628,1995,2005
11629,1995,2005
11630,1995,2005
