Binomial	ID	year	popvalue
Lepidochelys_kempii	2037	1966	6000
Eretmochelys_imbricata	2036	1967	10
Lepidochelys_kempii	2037	1967	5500
Lepidochelys_olivacea	15285	1967	2675
Chelonia_mydas	2022	1968	5000
Eretmochelys_imbricata	2036	1968	4
Lepidochelys_kempii	2037	1968	5100
Lepidochelys_olivacea	15285	1968	3290
Chelonia_mydas	2022	1969	2495
Eretmochelys_imbricata	2036	1969	10
Lepidochelys_kempii	2037	1969	4000
Lepidochelys_olivacea	15285	1969	1665
Chelonia_mydas	2022	1970	3115
Eretmochelys_imbricata	2036	1970	4
Lepidochelys_kempii	2037	1970	3000
Dermochelys_coriacea	6212	1970	70
Dermochelys_coriacea	6214	1970	250
Lepidochelys_olivacea	15285	1970	1750
Chelonia_mydas	2022	1971	5755
Chelonia_mydas	2027	1971	15143
Eretmochelys_imbricata	2036	1971	15
Lepidochelys_kempii	2037	1971	2000
Dermochelys_coriacea	6212	1971	240
Dermochelys_coriacea	6214	1971	250
Lepidochelys_olivacea	15285	1971	1595
Chelonia_mydas	2022	1972	6885
Chelonia_mydas	2027	1972	20293
Eretmochelys_imbricata	2036	1972	13
Lepidochelys_kempii	2037	1972	1800
Dermochelys_coriacea	6212	1972	220
Dermochelys_coriacea	6214	1972	400
Eretmochelys_imbricata	10412	1972	16
Dermochelys_coriacea	11248	1972	342
Lepidochelys_olivacea	15285	1972	1270
Chelonia_mydas	2022	1973	6600
Chelonia_mydas	2027	1973	10335
Eretmochelys_imbricata	2036	1973	8
Lepidochelys_kempii	2037	1973	1600
Dermochelys_coriacea	6212	1973	3000
Dermochelys_coriacea	6213	1973	250
Dermochelys_coriacea	6214	1973	600
Eretmochelys_imbricata	10412	1973	5
Dermochelys_coriacea	11248	1973	1370
Lepidochelys_olivacea	15285	1973	890
Chelonia_mydas	2022	1974	7465
Chelonia_mydas	2027	1974	15230
Eretmochelys_imbricata	2035	1974	177
Eretmochelys_imbricata	2036	1974	30
Lepidochelys_kempii	2037	1974	1500
Dermochelys_coriacea	6212	1974	1000
Dermochelys_coriacea	6213	1974	200
Dermochelys_coriacea	6214	1974	600
Caretta_caretta	8748	1974	46
Eretmochelys_imbricata	10412	1974	10
Dermochelys_coriacea	11248	1974	813
Lepidochelys_olivacea	15285	1974	1080
Chelonia_mydas	2022	1975	3610
Chelonia_mydas	2027	1975	17309
Eretmochelys_imbricata	2036	1975	12
Lepidochelys_kempii	2037	1975	1200
Dermochelys_coriacea	6212	1975	4000
Dermochelys_coriacea	6213	1975	600
Dermochelys_coriacea	6214	1975	1000
Caretta_caretta	8748	1975	51
Eretmochelys_imbricata	10412	1975	6
Dermochelys_coriacea	11248	1975	3241
Lepidochelys_olivacea	15285	1975	1070
Chelonia_mydas	2022	1976	8080
Chelonia_mydas	2027	1976	32419
Eretmochelys_imbricata	2036	1976	45
Lepidochelys_kempii	2037	1976	1100
Dermochelys_coriacea	6212	1976	1000
Dermochelys_coriacea	6213	1976	200
Dermochelys_coriacea	6214	1976	550
Caretta_caretta	8748	1976	40
Eretmochelys_imbricata	10412	1976	21
Dermochelys_coriacea	11248	1976	633
Lepidochelys_olivacea	15285	1976	1160
Chelonia_mydas	2022	1977	4955
Chelonia_mydas	2027	1977	8762
Eretmochelys_imbricata	2036	1977	7
Lepidochelys_kempii	2037	1977	1000
Chelonia_mydas	4822	1977	2000
Dermochelys_coriacea	6212	1977	14000
Dermochelys_coriacea	6213	1977	260
Dermochelys_coriacea	6214	1977	3000
Caretta_caretta	8748	1977	42
Eretmochelys_imbricata	10412	1977	11
Dermochelys_coriacea	11248	1977	13876
Lepidochelys_olivacea	15285	1977	1030
Lepidochelys_olivacea	15286	1977	31
Chelonia_mydas	2022	1978	8465
Chelonia_mydas	2027	1978	40127
Eretmochelys_imbricata	2036	1978	10
Lepidochelys_kempii	2037	1978	1000
Chelonia_mydas	4822	1978	1200
Dermochelys_coriacea	6212	1978	10000
Dermochelys_coriacea	6213	1978	500
Dermochelys_coriacea	6214	1978	1600
Caretta_caretta	8748	1978	51
Eretmochelys_imbricata	10412	1978	14
Dermochelys_coriacea	11248	1978	10149
Lepidochelys_olivacea	15285	1978	870
Lepidochelys_olivacea	15286	1978	101
Chelonia_mydas	2022	1979	4330
Chelonia_mydas	2027	1979	3982
Lepidochelys_kempii	2037	1979	1000
Dermochelys_coriacea	6212	1979	14000
Dermochelys_coriacea	6213	1979	1250
Dermochelys_coriacea	6214	1979	2450
Chelonia_mydas	7726	1979	41
Caretta_caretta	8748	1979	45
Eretmochelys_imbricata	10412	1979	13
Dermochelys_coriacea	11248	1979	13881
Lepidochelys_olivacea	15285	1979	795
Lepidochelys_olivacea	15286	1979	33
Chelonia_mydas	2022	1980	4510
Chelonia_mydas	2027	1980	40445
Eretmochelys_imbricata	2036	1980	26
Lepidochelys_kempii	2037	1980	800
Dermochelys_coriacea	6212	1980	4000
Dermochelys_coriacea	6213	1980	600
Dermochelys_coriacea	6214	1980	750
Chelonia_mydas	7726	1980	54
Caretta_caretta	8748	1980	36
Eretmochelys_imbricata	10412	1980	2
Dermochelys_coriacea	11248	1980	2975
Lepidochelys_olivacea	15285	1980	1020
Lepidochelys_olivacea	15286	1980	6
Chelonia_mydas	2022	1981	7410
Chelonia_mydas	2027	1981	12111
Eretmochelys_imbricata	2036	1981	25
Lepidochelys_kempii	2037	1981	900
Chelonia_mydas	4822	1981	700
Dermochelys_coriacea	6212	1981	5000
Dermochelys_coriacea	6213	1981	750
Dermochelys_coriacea	6214	1981	1100
Caretta_caretta	8748	1981	53
Eretmochelys_imbricata	10412	1981	6
Dermochelys_coriacea	11248	1981	4563
Lepidochelys_olivacea	15285	1981	1220
Caretta_caretta	2018	1982	8
Chelonia_mydas	2022	1982	4180
Chelonia_mydas	2027	1982	41189
Eretmochelys_imbricata	2036	1982	15
Lepidochelys_kempii	2037	1982	800
Chelonia_mydas	4822	1982	750
Dermochelys_coriacea	6212	1982	10000
Dermochelys_coriacea	6213	1982	1350
Dermochelys_coriacea	6214	1982	1900
Chelonia_mydas	7726	1982	187
Caretta_caretta	8748	1982	62
Dermochelys_coriacea	10401	1982	19
Eretmochelys_imbricata	10412	1982	9
Chelonia_mydas	11224	1982	48
Lepidochelys_olivacea	15285	1982	1045
Caretta_caretta	2018	1983	9.5
Chelonia_mydas	2022	1983	5547
Chelonia_mydas	2027	1983	33065
Eretmochelys_imbricata	2036	1983	17
Lepidochelys_kempii	2037	1983	750
Dermochelys_coriacea	6212	1983	15000
Dermochelys_coriacea	6213	1983	3000
Dermochelys_coriacea	6214	1983	2900
Chelonia_mydas	7726	1983	178
Caretta_caretta	8748	1983	47
Dermochelys_coriacea	10401	1983	20
Eretmochelys_imbricata	10412	1983	9
Chelonia_mydas	11224	1983	42
Dermochelys_coriacea	11248	1983	14452
Lepidochelys_olivacea	15285	1983	1212
Caretta_caretta	2018	1984	7.5
Chelonia_mydas	2022	1984	7546
Chelonia_mydas	2027	1984	29608
Eretmochelys_imbricata	2036	1984	19
Lepidochelys_kempii	2037	1984	800
Dermochelys_coriacea	6212	1984	27000
Dermochelys_coriacea	6213	1984	4850
Dermochelys_coriacea	6214	1984	2200
Chelonia_mydas	7726	1984	224
Dermochelys_coriacea	10401	1984	28
Eretmochelys_imbricata	10412	1984	3
Chelonia_mydas	11224	1984	41
Dermochelys_coriacea	11248	1984	27136
Dermochelys_coriacea	11259	1984	27
Lepidochelys_olivacea	15285	1984	940
Caretta_caretta	2018	1985	10
Chelonia_mydas	2022	1985	5125
Chelonia_mydas	2027	1985	24383
Eretmochelys_imbricata	2036	1985	31
Lepidochelys_kempii	2037	1985	700
Caretta_caretta	2370	1985	2400
Chelonia_mydas	6193	1985	100
Dermochelys_coriacea	6212	1985	37000
Dermochelys_coriacea	6213	1985	7000
Dermochelys_coriacea	6214	1985	6600
Chelonia_mydas	7726	1985	257
Dermochelys_coriacea	10401	1985	46
Eretmochelys_imbricata	10412	1985	4
Chelonia_mydas	11224	1985	287
Dermochelys_coriacea	11248	1985	35996
Dermochelys_coriacea	11259	1985	17
Lepidochelys_olivacea	15285	1985	670
Caretta_caretta	2018	1986	10.5
Chelonia_mydas	2022	1986	5879
Chelonia_mydas	2027	1986	75034
Eretmochelys_imbricata	2035	1986	68
Eretmochelys_imbricata	2036	1986	21
Lepidochelys_kempii	2037	1986	700
Caretta_caretta	2370	1986	3400
Dermochelys_coriacea	2371	1986	3
Chelonia_mydas	6193	1986	20
Dermochelys_coriacea	6212	1986	12000
Dermochelys_coriacea	6213	1986	2000
Dermochelys_coriacea	6214	1986	1400
Dermochelys_coriacea	6387	1986	8
Chelonia_mydas	7726	1986	248
Dermochelys_coriacea	10401	1986	18
Eretmochelys_imbricata	10412	1986	3
Chelonia_mydas	11224	1986	77
Dermochelys_coriacea	11248	1986	10638
Dermochelys_coriacea	11259	1986	15
Lepidochelys_kempii	11952	1986	0
Caretta_caretta	11968	1986	0
Caretta_caretta	11970	1986	0.0065
Chelonia_mydas	11971	1986	0
Lepidochelys_olivacea	15285	1986	540
Lepidochelys_olivacea	15286	1986	52
Caretta_caretta	2018	1987	9.7
Chelonia_mydas	2022	1987	6324
Chelonia_mydas	2027	1987	20509
Eretmochelys_imbricata	2032	1987	73
Eretmochelys_imbricata	2035	1987	66
Eretmochelys_imbricata	2036	1987	11
Lepidochelys_kempii	2037	1987	700
Caretta_caretta	2370	1987	1650
Dermochelys_coriacea	2371	1987	1
Chelonia_mydas	6193	1987	100
Dermochelys_coriacea	6212	1987	33000
Dermochelys_coriacea	6213	1987	5750
Dermochelys_coriacea	6214	1987	4100
Dermochelys_coriacea	6387	1987	9
Chelonia_mydas	7726	1987	229
Dermochelys_coriacea	10401	1987	29
Eretmochelys_imbricata	10412	1987	10
Chelonia_mydas	11224	1987	212
Eretmochelys_imbricata	11237	1987	21
Dermochelys_coriacea	11248	1987	35629
Dermochelys_coriacea	11259	1987	25
Lepidochelys_kempii	11952	1987	0
Caretta_caretta	11968	1987	0.0509
Lepidochelys_kempii	11969	1987	98.05
Caretta_caretta	11970	1987	0
Chelonia_mydas	11971	1987	0.0042
Lepidochelys_olivacea	15285	1987	659
Lepidochelys_olivacea	15286	1987	479
Caretta_caretta	2018	1988	8.8
Chelonia_mydas	2022	1988	6776
Chelonia_mydas	2027	1988	51421
Eretmochelys_imbricata	2032	1988	126
Eretmochelys_imbricata	2035	1988	59
Eretmochelys_imbricata	2036	1988	24
Lepidochelys_kempii	2037	1988	800
Caretta_caretta	2370	1988	2200
Dermochelys_coriacea	2371	1988	0
Chelonia_mydas	6193	1988	40
Dermochelys_coriacea	6212	1988	53000
Dermochelys_coriacea	6213	1988	9500
Dermochelys_coriacea	6214	1988	2400
Dermochelys_coriacea	6387	1988	2
Chelonia_mydas	7726	1988	194
Caretta_caretta	8907	1988	368.8894
Caretta_caretta	8908	1988	305.2152
Dermochelys_coriacea	10401	1988	47
Eretmochelys_imbricata	10412	1988	12
Chelonia_mydas	11224	1988	88
Eretmochelys_imbricata	11237	1988	37
Dermochelys_coriacea	11248	1988	52042
Dermochelys_coriacea	11259	1988	21
Caretta_caretta	11968	1988	0
Lepidochelys_kempii	11969	1988	187.03
Caretta_caretta	11970	1988	0.007
Chelonia_mydas	11971	1988	0
Lepidochelys_olivacea	15285	1988	569
Dermochelys_coriacea	15308	1988	23.17
Caretta_caretta	17781	1988	56
Caretta_caretta	2018	1989	9.5
Chelonia_mydas	2022	1989	7046
Chelonia_mydas	2027	1989	23151
Eretmochelys_imbricata	2032	1989	116
Eretmochelys_imbricata	2035	1989	126
Eretmochelys_imbricata	2036	1989	20
Lepidochelys_kempii	2037	1989	900
Caretta_caretta	2370	1989	3000
Dermochelys_coriacea	2371	1989	1
Caretta_caretta	4861	1989	177
Chelonia_mydas	6193	1989	30
Dermochelys_coriacea	6212	1989	20500
Dermochelys_coriacea	6213	1989	1300
Dermochelys_coriacea	6214	1989	1200
Caretta_caretta	7660	1989	3050
Chelonia_mydas	7726	1989	233
Caretta_caretta	8907	1989	355.3864
