ID,min_year,max_year
2018,1982,1993
2019,1971,1981
2020,1999,2003
2021,1998,2003
2022,1968,1989
2025,1982,1993
2027,1971,2005
2028,1968,1985
2030,1970,1989
2031,1981,1995
2032,1987,1998
2033,1987,1998
2034,1991,1997
2035,1974,1998
2036,1967,1992
2037,1966,2003
2038,1988,1999
2039,1968,1995
2370,1985,2003
2371,1986,2003
4733,1988,1999
4822,1977,2004
4861,1989,2003
4870,2003,2005
4871,2003,2005
5716,1995,2003
5724,1992,2000
6193,1985,2003
6212,1970,1997
6213,1973,1997
6214,1970,1997
6368,1992,2003
6370,1973,2004
6387,1986,2006
7660,1989,2003
7718,1995,2003
7723,1995,2003
7725,1995,2003
7726,1979,2001
7729,1990,2001
8748,1974,1983
8790,1990,1997
8905,1992,1996
8906,1997,2004
8907,1988,2003
8908,1988,2003
8946,1978,1995
9073,1991,2003
9074,1990,2003
9075,1992,1998
9076,1993,1998
10401,1982,2001
10412,1972,1991
11224,1982,2005
11236,2002,2010
11237,1987,2007
11238,1990,1999
11239,1989,1998
11243,1989,1997
11248,1972,1999
11252,1995,1999
11257,1990,1999
11259,1984,1999
11266,1999,2002
11420,2007,2009
11520,2006,2010
11522,2006,2010
11525,2007,2010
11526,2007,2010
11528,2007,2010
11529,2004,2006
11604,1995,2011
11605,1995,2012
11606,1998,2003
11609,1998,2005
11617,2003,2004
11618,1992,1999
11652,1993,2008
11938,1994,2008
11952,1986,1989
11968,1986,1988
11969,1987,1993
11970,1986,1993
11971,1986,1993
15223,1991,1992
15281,1999,2003
15284,1993,1994
15285,1967,1989
15286,1977,1987
15294,2000,2008
15297,2001,2005
15298,1991,2005
15300,1993,1994
15302,2003,2011
15308,1988,2003
15315,2001,2011
17781,1988,2001
17782,1998,2007
17783,1989,1991
17790,2006,2012
17792,2006,2012
17794,2006,2012
17795,2006,2012
18836,2004,2007
18839,2004,2007
18840,2004,2007
18841,2004,2007
18861,2006,2007
18864,2006,2007
18869,2006,2007
18870,2006,2007
23323,2004,2010
23324,2004,2010
