population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1939,1,0.00974000207146641,0.00293831017233614,-0.00227975467527042,-0.00543148768389834,-0.00611574512341573,-0.00466076577844099,-0.002475095415293,-0.00100847035887242,-0.000544550807215494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1940,1,0.0178422101796256,0.0162089475294351,0.016208947529436,0.0162089475294351,0.0162089475294351,0.0148013257352231,0.0202460692170057,0.0202460692170048,0.0202460692170048,0.0389636010699528,0.0343926291962404,0.0343926291962404,0.00520397676026096,0.00520397676026096,0.00520397676026185,0.00502287432765947,0.00502287432766035,0.00502287432765947,0.0138052125843409,0.0138052125843409,0.01297908987668,0.01297908987668,-0.00310560954873651,-0.0031056095487374,-0.0031056095487374,-0.00316184151078325,-0.00316184151078325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2008,1,-1,-1,-1,-1,0.148381236108817,0.148381236108685,0.148381236108527,0.148381236108477,0.148381236108569,0.14838123610872,0.148381236108832,0.148381236108893,0.148381236108946,0.148381236109013,0.148381236109063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15151,1,-1,-1,-1,-1,-1,-1,-1,-1,0.208568108365936,0.208568108365936,0.208568108365935,0.223802833821505,0.337892255775009,0.337892255775008,-0.0620387618968601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15148,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.855743750800933,0.260545876698854,-0.510170779694957,0.41845546046652,-0.240013935626008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5679,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0149481843410926,0.0149481843409656,0.0149481843408248,0.0149481843407577,0.0149481843406849,0.0149481843403474,0.0149481843395054,0.0149481843381136,0.0149481843363795,0.0149481843346715,0.0149481843333374,0.0149481843324475,0.0149481843320025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8546,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0462826537780883,-0.0384353556528954,0.00503632797338316,0.00431806866217554,0.0669467896306131,0.0287717425700249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18546,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00405878868495346,0.00405878868495346,0.00405878868495346,0.00405878868495302,0.00405878868495346,0.00405878868495346,0.00405878868495346,0.00405878868495346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.527945388129164,-0.405765346183994,0.985082210373397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11896,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0026959772358377,0.00632044982547808,0.00629228505168822,-0.00377510954490345,-0.0200433142104821,-0.0306471787501594,-0.0275231242758902,-0.0144467285178249,-0.00275161618355435,-0.000424263847186079,-0.00673100660930626,-0.0165143962667902,-0.0268274019739314,-0.0376820365816755,-0.0479931170501837,-0.0542891330163378,-1,-1,-1,-1,-1,-1
