"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Arctocephalus_pusillus","Arctocephalus_pusillus",43,1,0.013791106125546,0.00957362885088564,0.0069645964270828,0.0053887299227684,0.0050466012030097,0.00507027997839105,0.00888548690085633,0.00961879942906618,0.00985075920489464,0.0389636010699528,0.0343926291962404,0.0343926291962404,0.00520397676026096,0.00520397676026096,0.00520397676026185,0.00502287432765947,0.00502287432766035,0.00502287432765947,0.0138052125843409,0.0138052125843409,0.01297908987668,0.01297908987668,-0.00310560954873651,-0.0031056095487374,-0.0031056095487374,-0.00316184151078325,-0.00316184151078325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eubalaena_australis","Eubalaena_australis",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161192234518146,0.0161192234518932,0.0161192234520429,0.0161192234522542,0.0161192234525349,0.0161192234528909,0.0161192234532883,0.0161192234536371,0.0161192234538321,NA,NA,NA
"Megaptera_novaeangliae","Megaptera_novaeangliae",41,1,NA,NA,NA,NA,0.148381236108817,0.148381236108685,0.148381236108527,0.148381236108477,0.178474672237253,0.30691031990417,0.158110851378647,-0.0307596313559334,0.229919284172808,0.0653019351496746,0.03376355285085,0.0149481843395054,0.0149481843381136,0.0149481843363795,0.0149481843346715,0.0149481843333374,0.0149481843324475,0.0149481843320025,NA,NA,NA,NA,NA,NA,-0.0462826537780883,-0.0384353556528954,0.00503632797338316,0.00431806866217554,0.0669467896306131,0.0287717425700249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monachus_monachus","Monachus_monachus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0150954826689933,0.00692669359156639,0.00137217959934777,-0.463632764277128,-0.0245892732354518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otaria_flavescens","Otaria_flavescens",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00405878868495346,0.00405878868495346,0.00405878868495346,0.00405878868495302,0.00405878868495346,0.00405878868495346,0.00405878868495346,0.00405878868495346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physeter_catodon","Physeter_catodon",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0117046281532047,-0.0118948394730388,-0.0125017980856583,-0.0136634546701746,-0.0152384118076859,-0.0168455661056106,-0.0180918305619502,-0.0188260510421657,-0.0191603055434947,-0.0191955807881475
"Pseudorca_crassidens","Pseudorca_crassidens",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.527945388129164,-0.405765346183994,0.985082210373397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sotalia_fluviatilis","Sotalia_fluviatilis",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119653140146616,-0.00167528835869823,0.013800860521509,0.0157242394934696,0.020033420800712,0.0264279305278876,0.0328740434725356,0.0367472516950562,NA,NA,NA,NA,NA,NA
"Trichechus_manatus","Trichechus_manatus",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0753926968954555,-0.0753926968954559,0.0886374870420665,-0.256610855875568,0.0335108566011238,0.246672333341388,-0.0791812460476248,-0.00877392430750518,-0.0669467896306132,0.182930683585987,NA,NA,NA,NA,NA,NA,NA,NA
"Tursiops_truncatus","Tursiops_truncatus",23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0026959772358377,0.00632044982547808,0.00629228505168822,-0.00377510954490345,-0.0200433142104821,-0.0306471787501594,-0.0275231242758902,-0.0144467285178249,-0.00275161618355435,-0.000424263847186079,-0.00673100660930626,-0.0165143962667902,-0.0268274019739314,-0.0376820365816755,-0.0479931170501837,-0.0409255797408838,NA,NA,NA,NA,NA,NA
