Binomial	ID	year	popvalue
Raja_clavata	23332	1950	33333
Katsuwonus_pelamis	19171	1950	768026.51
Thunnus_obesus	19129	1950	857563.75
Anser_brachyrhynchus	12284	1950	10946
Haliaeetus_albicilla	8275	1950	93
Plegadis_falcinellus	6927	1950	0
Macaca_sylvanus	5839	1950	1.28
Thalasseus_sandvicensis	1887	1950	2500
Rissa_tridactyla	1819	1950	0
Larus_ridibundus	1725	1950	0
Larus_fuscus	1714	1950	1
Raja_clavata	23332	1951	32121
Katsuwonus_pelamis	19171	1951	767936.72
Thunnus_obesus	19129	1951	856908.48
Anser_brachyrhynchus	12284	1951	5949
Ovibos_moschatus	10392	1951	10
Haliaeetus_albicilla	8275	1951	97
Plegadis_falcinellus	6927	1951	0
Macaca_sylvanus	5839	1951	1.3
Clupea_pallasii	2049	1951	10602
Clupea_pallasii	2048	1951	13024
Clupea_pallasii	2044	1951	14505
Raja_clavata	23332	1952	30606
Katsuwonus_pelamis	19171	1952	767934.76
Thunnus_obesus	19129	1952	855802.71
Anser_brachyrhynchus	12284	1952	4883
Ovibos_moschatus	10392	1952	11
Haliaeetus_albicilla	8275	1952	100
Plegadis_falcinellus	6927	1952	0
Macaca_sylvanus	5839	1952	1.4
Clupea_pallasii	2049	1952	4172
Clupea_pallasii	2048	1952	23362
Clupea_pallasii	2044	1952	3654
Katsuwonus_pelamis	19171	1953	767833.72
Thunnus_obesus	19129	1953	854790.12
Anser_brachyrhynchus	12284	1953	9928
Ovibos_moschatus	10392	1953	13
Haliaeetus_albicilla	8275	1953	103
Plegadis_falcinellus	6927	1953	0
Macaca_sylvanus	5839	1953	1.41
Clupea_pallasii	2049	1953	26426
Clupea_pallasii	2048	1953	32631
Clupea_pallasii	2044	1953	9254
Raja_clavata	23332	1954	28788
Katsuwonus_pelamis	19171	1954	767773.79
Thunnus_obesus	19129	1954	853377.85
Anser_brachyrhynchus	12284	1954	3948
Ovibos_moschatus	10392	1954	13
Pygoscelis_papua	10288	1954	614
Haliaeetus_albicilla	8275	1954	107
Plegadis_falcinellus	6927	1954	0
Macaca_sylvanus	5839	1954	1.3
Clupea_pallasii	2049	1954	7624
Clupea_pallasii	2048	1954	20700
Clupea_pallasii	2044	1954	7674
Raja_clavata	23332	1955	26667
Katsuwonus_pelamis	19171	1955	767608.11
Thunnus_obesus	19129	1955	852477.73
Anser_brachyrhynchus	12284	1955	3951
Ovibos_moschatus	10392	1955	15
Haliaeetus_albicilla	8275	1955	109
Plegadis_falcinellus	6927	1955	0
Macaca_sylvanus	5839	1955	1.26
Clupea_pallasii	2049	1955	10549
Clupea_pallasii	2048	1955	41897
Clupea_pallasii	2044	1955	27152
Katsuwonus_pelamis	19171	1956	767472.19
Thunnus_obesus	19129	1956	850370.26
Anser_brachyrhynchus	12284	1956	4936
Ovibos_moschatus	10392	1956	15
Spheniscus_demersus	10346	1956	300
Spheniscus_demersus	10339	1956	4750
Pygoscelis_papua	10288	1956	599
Aerodramus_maximus	8519	1956	1e+06
Haliaeetus_albicilla	8275	1956	106
Branta_ruficollis	8163	1956	60000
Plegadis_falcinellus	6927	1956	0
Macaca_sylvanus	5839	1956	1.3
Harpadon_nehereus	2244	1956	7244
Clupea_pallasii	2049	1956	33522
Clupea_pallasii	2048	1956	19188
Clupea_pallasii	2044	1956	8289
Raja_clavata	23332	1957	25455
Katsuwonus_pelamis	19171	1957	767779.59
Thunnus_obesus	19129	1957	850648.71
Anser_brachyrhynchus	12284	1957	5964
Ovibos_moschatus	10392	1957	15
Pygoscelis_papua	10289	1957	500
Pygoscelis_papua	10288	1957	582
Haliaeetus_albicilla	8275	1957	102
Branta_ruficollis	8163	1957	40000
Plegadis_falcinellus	6927	1957	0
Macaca_sylvanus	5839	1957	1.26
Harpadon_nehereus	2244	1957	7089
Clupea_pallasii	2049	1957	11211
Clupea_pallasii	2048	1957	10540
Clupea_pallasii	2044	1957	3233
Raja_clavata	23332	1958	23939
Katsuwonus_pelamis	19171	1958	767978.4
Thunnus_obesus	19129	1958	846000.27
Anser_brachyrhynchus	12284	1958	8916
Ovibos_moschatus	10392	1958	15
Pygoscelis_papua	10288	1958	559
Haliaeetus_albicilla	8275	1958	94
Branta_ruficollis	8163	1958	2400
Plegadis_falcinellus	6927	1958	0
Ciconia_ciconia	6852	1958	340
Macaca_sylvanus	5839	1958	1.25
Harpadon_nehereus	2244	1958	4380
Clupea_pallasii	2049	1958	26967
Clupea_pallasii	2048	1958	7723
Clupea_pallasii	2044	1958	15239
Mergus_serrator	1749	1958	200
Raja_clavata	23332	1959	22424
Katsuwonus_pelamis	19171	1959	767978.84
