Binomial	ID	year	popvalue
Myodes_glareolus	5827	1956	4
Myodes_glareolus	5827	1957	14
Myodes_glareolus	5827	1958	13
Connochaetes_taurinus	5589	1958	189000
Myodes_glareolus	5827	1959	2
Myodes_glareolus	5827	1960	14
Myodes_glareolus	5827	1961	10
Connochaetes_taurinus	5589	1961	259000
Myodes_glareolus	5827	1962	10
Numenius_tahitiensis	12054	1963	7
Myodes_glareolus	5827	1963	22
Arvicola_amphibius	5819	1963	7.5
Connochaetes_taurinus	5589	1963	355000
Numenius_tahitiensis	12054	1964	23
Falco_peregrinus	11349	1964	23
Myodes_glareolus	5827	1964	11
Arvicola_amphibius	5819	1964	4
Pygoscelis_papua	11706	1965	1500
Falco_peregrinus	11349	1965	24
Myodes_glareolus	5827	1965	3
Arvicola_amphibius	5819	1965	1.9
Connochaetes_taurinus	5589	1965	436000
Falco_peregrinus	11349	1966	32
Myodes_glareolus	5827	1966	29
Arvicola_amphibius	5819	1966	2.9
Falco_peregrinus	11349	1967	21
Myodes_glareolus	5827	1967	25
Arvicola_amphibius	5819	1967	3.4
Connochaetes_taurinus	5589	1967	480000
Ixobrychus_minutus	23164	1968	2000
Anser_rossii	12078	1968	10
Falco_peregrinus	11349	1968	10
Myodes_glareolus	5827	1968	8
Arvicola_amphibius	5819	1968	2.8
Anser_rossii	12078	1969	67
Morus_bassanus	12017	1969	26
Falco_peregrinus	11349	1969	10
Aegypius_monachus	10514	1969	3
Lemmus_lemmus	5835	1969	0
Myodes_glareolus	5827	1969	16
Arvicola_amphibius	5819	1969	2.9
Acinonyx_jubatus	28	1969	7
Anser_rossii	12078	1970	63
Branta_bernicla	12024	1970	340
Morus_bassanus	12017	1970	29
Falco_peregrinus	11349	1970	12
Lemmus_lemmus	5835	1970	8
Myodes_glareolus	5827	1970	18
Arvicola_amphibius	5819	1970	2.6
Callionymus_lyra	4925	1970	2
Acinonyx_jubatus	28	1970	9
Branta_bernicla	12024	1971	160
Morus_bassanus	12017	1971	47
Falco_peregrinus	11349	1971	14
Lemmus_lemmus	5835	1971	0
Myodes_glareolus	5827	1971	2
Arvicola_amphibius	5819	1971	1.8
Connochaetes_taurinus	5589	1971	690000
Callionymus_lyra	4925	1971	2.5
Polysticta_stelleri	2146	1971	5e+05
