Binomial	ID	year	popvalue
Larus_glaucescens	23374	1950	3.109
Castor_fiber	11886	1950	7
Morus_bassanus	11173	1950	615
Haliaeetus_albicilla	10791	1950	150
Sebastes_alutus	2098	1950	116941
Scomber_japonicus	2093	1950	89.5
Sardinops_sagax	2087	1950	780
Parophrys_vetulus	2079	1950	4404
Chrysophrys_auratus	2078	1950	107432
Chrysophrys_auratus	2077	1950	63611
Hippoglossus_stenolepis	2065	1950	84152.27
Larus_glaucescens	23374	1951	3.156
Castor_fiber	11886	1951	9
Mirounga_leonina	2323	1951	1e+05
Sebastes_alutus	2098	1951	116365
Scomber_japonicus	2093	1951	72.1
Sardinops_sagax	2087	1951	277
Parophrys_vetulus	2079	1951	2959
Chrysophrys_auratus	2078	1951	107008
Chrysophrys_auratus	2077	1951	60848
Hippoglossus_stenolepis	2065	1951	85340.68
Engraulis_mordax	2059	1951	163
Larus_glaucescens	23374	1952	3.203
Castor_fiber	11886	1952	11
Sebastes_alutus	2098	1952	115845
Scomber_japonicus	2093	1952	32.9
Sardinops_sagax	2087	1952	136
Parophrys_vetulus	2079	1952	2670
Chrysophrys_auratus	2078	1952	106542
Chrysophrys_auratus	2077	1952	58611
Hippoglossus_stenolepis	2065	1952	87127.84
Engraulis_mordax	2059	1952	142
Larus_glaucescens	23374	1953	3.266
Thalassarche_melanophris	2317	1953	102
Sebastes_alutus	2098	1953	114240
Scomber_japonicus	2093	1953	10.6
Sardinops_sagax	2087	1953	202
Parophrys_vetulus	2079	1953	2273
Chrysophrys_auratus	2078	1953	106075
Chrysophrys_auratus	2077	1953	57245
Hippoglossus_stenolepis	2065	1953	85291.24
Engraulis_mordax	2059	1953	463
Larus_glaucescens	23374	1954	3.297
Castor_fiber	11886	1954	15
Sebastes_alutus	2098	1954	113690
Scomber_japonicus	2093	1954	38.6
Sardinops_sagax	2087	1954	239
Parophrys_vetulus	2079	1954	1981
Chrysophrys_auratus	2078	1954	104627
Chrysophrys_auratus	2077	1954	55805
Hippoglossus_stenolepis	2065	1954	89649.36
Engraulis_mordax	2059	1954	697
Larus_glaucescens	23374	1955	3.359
Phoebastria_albatrus	2118	1955	23
Sebastes_alutus	2098	1955	112865
Scomber_japonicus	2093	1955	80.7
Sardinops_sagax	2087	1955	170
Parophrys_vetulus	2079	1955	2296
Chrysophrys_auratus	2078	1955	103208
Chrysophrys_auratus	2077	1955	54554
Hippoglossus_stenolepis	2065	1955	89275.14
Engraulis_mordax	2059	1955	767
Larus_glaucescens	23374	1956	3.422
Castor_fiber	11886	1956	20
Sebastes_alutus	2098	1956	112876
Scomber_japonicus	2093	1956	95
Sardinops_sagax	2087	1956	108
Parophrys_vetulus	2079	1956	2311
Chrysophrys_auratus	2078	1956	101714
Chrysophrys_auratus	2077	1956	52998
Hippoglossus_stenolepis	2065	1956	92447.11
Gadus_macrocephalus	2063	1956	14141
Engraulis_mordax	2059	1956	440
Larus_glaucescens	23374	1957	3.438
Castor_fiber	11886	1957	28
Myodes_glareolus	5828	1957	2.81
Clupea_harengus	2329	1957	195006
Sebastes_alutus	2098	1957	111619
Scomber_japonicus	2093	1957	77.3
Sardinops_sagax	2087	1957	90
Parophrys_vetulus	2079	1957	2300
Chrysophrys_auratus	2078	1957	100140
Chrysophrys_auratus	2077	1957	50629
Hippoglossus_stenolepis	2065	1957	91171.61
Gadus_macrocephalus	2063	1957	19293
Engraulis_mordax	2059	1957	1063
Larus_glaucescens	23374	1958	3.484
Castor_fiber	11886	1958	16
Myodes_glareolus	5828	1958	2.5
Clupea_harengus	2329	1958	217271
Phoebastria_albatrus	2118	1958	15
Sebastes_alutus	2098	1958	110702
Scomber_japonicus	2093	1958	37
Sardinops_sagax	2087	1958	177
Parophrys_vetulus	2079	1958	2104
Chrysophrys_auratus	2078	1958	98111.8
Chrysophrys_auratus	2077	1958	47995
Hippoglossus_stenolepis	2065	1958	88710.42
Gadus_macrocephalus	2063	1958	25407
Engraulis_mordax	2059	1958	1342
Larus_glaucescens	23374	1959	3.547
Castor_fiber	11886	1959	14
Branta_leucopsis	11162	1959	1452
Branta_leucopsis	11160	1959	2675
Branta_leucopsis	11159	1959	2293
Ciconia_nigra	10903	1959	6
Myodes_glareolus	5828	1959	2.04
Clupea_harengus	2329	1959	234603
Pygoscelis_adeliae	2313	1959	1122
Sebastes_alutus	2098	1959	110190
Scomber_japonicus	2093	1959	33.6
Sardinops_sagax	2087	1959	122
Parophrys_vetulus	2079	1959	1974
Chrysophrys_auratus	2078	1959	96604.7
Chrysophrys_auratus	2077	1959	48852
Hippoglossus_stenolepis	2065	1959	86396.19
Gadus_macrocephalus	2063	1959	23552
Engraulis_mordax	2059	1959	1373
Loxodonta_africana	113	1959	380
Larus_glaucescens	23374	1960	3.578
Limosa_haemastica	12010	1960	60
Castor_fiber	11886	1960	17
Morus_bassanus	11173	1960	1062
Branta_leucopsis	11162	1960	1711
Haliaeetus_albicilla	10791	1960	40
Branta_bernicla	5977	1960	300
Branta_bernicla	5975	1960	200
Myodes_glareolus	5828	1960	1.88
Clupea_harengus	2329	1960	271870
Merlangius_merlangus	2328	1960	312900
Pygoscelis_adeliae	2313	1960	1323
Sebastes_alutus	2098	1960	110193
Scomber_japonicus	2093	1960	63
Sardinops_sagax	2087	1960	88
Reinhardtius_hippoglossoides	2086	1960	474088
Parophrys_vetulus	2079	1960	1728
Chrysophrys_auratus	2078	1960	94606.7
Chrysophrys_auratus	2077	1960	52192
Hippoglossus_stenolepis	2065	1960	82349.24
Gadus_macrocephalus	2063	1960	18999
Engraulis_mordax	2059	1960	1397
Larus_glaucescens	23374	1961	3.625
Sebastes_polyspinis	19180	1961	80880.4
Branta_bernicla	12550	1961	264493
Limosa_haemastica	12010	1961	22
Branta_leucopsis	11162	1961	2800
Branta_leucopsis	11160	1961	4331
Branta_leucopsis	11159	1961	3312
Myodes_glareolus	5828	1961	0.29
Clupea_harengus	2329	1961	271741
Merlangius_merlangus	2328	1961	374300
Pygoscelis_adeliae	2313	1961	1155
Pygoscelis_adeliae	2312	1961	3000
Pygoscelis_adeliae	2311	1961	4500
Pygoscelis_adeliae	2310	1961	3500
Pygoscelis_adeliae	2309	1961	4200
Pygoscelis_adeliae	2308	1961	300
Pygoscelis_adeliae	2307	1961	3000
Pygoscelis_adeliae	2306	1961	1200
Pygoscelis_adeliae	2304	1961	350
Pygoscelis_adeliae	2303	1961	3500
Pygoscelis_adeliae	2302	1961	500
Sebastes_alutus	2098	1961	108890
Sebastes_alutus	2097	1961	169617
Scomber_japonicus	2093	1961	81.3
Sardinops_sagax	2087	1961	54
Reinhardtius_hippoglossoides	2086	1961	448382
Parophrys_vetulus	2079	1961	1307
Chrysophrys_auratus	2078	1961	92545.5
Chrysophrys_auratus	2077	1961	55896
Hippoglossus_stenolepis	2065	1961	78342.21
Gadus_macrocephalus	2063	1961	15826
Engraulis_mordax	2059	1961	1051
Loxodonta_africana	113	1961	421
Larus_glaucescens	23374	1962	3.641
Sebastes_polyspinis	19180	1962	77617.4
Branta_bernicla	12550	1962	125362
Limosa_haemastica	12010	1962	45
Castor_fiber	11886	1962	15
Branta_leucopsis	11162	1962	2852
Branta_leucopsis	11160	1962	4841
Branta_leucopsis	11159	1962	3567
Capra_pyrenaica	10838	1962	2644
Branta_bernicla	5977	1962	700
Branta_bernicla	5975	1962	100
Myodes_glareolus	5828	1962	1.82
Clupea_harengus	2329	1962	261348
Merlangius_merlangus	2328	1962	282900
Sebastes_alutus	2098	1962	106332
Sebastes_alutus	2097	1962	190430
Scomber_japonicus	2093	1962	133.1
Sardinops_sagax	2087	1962	27
Reinhardtius_hippoglossoides	2086	1962	410807
Parophrys_vetulus	2079	1962	1101
Chrysophrys_auratus	2078	1962	90540.3
Chrysophrys_auratus	2077	1962	59809
Hippoglossus_stenolepis	2065	1962	74879.03
Gadus_macrocephalus	2063	1962	17877
