Binomial	ID	year	popvalue
Sebastes_pinniger	19366	1950	8021.415
Sebastes_melanops	19334	1950	27963
Seriola_dumerili	19320	1950	6260.39
Sebastes_entomelas	19283	1950	66731
Squalus_suckleyi	19282	1950	249397
Sebastes_diploproa	19281	1950	85765
Sebastolobus_alascanus	19280	1950	128574
Sebastes_jordani	19279	1950	195000
Eopsetta_jordani	19278	1950	9412
Sebastes_chlorostictus	19272	1950	2824.6
Thunnus_alalunga	19245	1950	127290
Hoplostethus_atlanticus	19244	1950	101877
Nemadactylus_macropterus	19238	1950	17772.9
Hyperoglyphe_antarctica	19236	1950	41194.6
Prunella_modularis	6050	1950	0
Picus_viridis	6046	1950	2
Pica_pica	6045	1950	1
Phylloscopus_trochilus	6044	1950	21
Sebastes_pinniger	19366	1951	7934.87
Sebastes_melanops	19334	1951	27922
Seriola_dumerili	19320	1951	6240.88
Sebastes_entomelas	19283	1951	66688
Squalus_suckleyi	19282	1951	245437
Sebastes_diploproa	19281	1951	85662
Sebastolobus_alascanus	19280	1951	128477
Sebastes_jordani	19279	1951	194000
Eopsetta_jordani	19278	1951	7856
Sebastes_chlorostictus	19272	1951	2800.1
Thunnus_alalunga	19245	1951	110930
Hoplostethus_atlanticus	19244	1951	101877
Nemadactylus_macropterus	19238	1951	17738.5
Hyperoglyphe_antarctica	19236	1951	41148.4
Prunella_modularis	6050	1951	0
Picus_viridis	6046	1951	2
Pica_pica	6045	1951	1
Phylloscopus_trochilus	6044	1951	16
Thunnus_maccoyii	2171	1951	696070
Kajikia_audax	19376	1952	27925
Thunnus_obesus	19375	1952	575000
Katsuwonus_pelamis	19371	1952	194191.85
Sebastes_pinniger	19366	1952	7920.19
Sebastes_melanops	19334	1952	27848
Seriola_dumerili	19320	1952	6217.27
Sebastes_entomelas	19283	1952	66572
Squalus_suckleyi	19282	1952	241949
Sebastes_diploproa	19281	1952	85502
Sebastolobus_alascanus	19280	1952	128269
Sebastes_jordani	19279	1952	184000
Eopsetta_jordani	19278	1952	7344
Sebastes_chlorostictus	19272	1952	2764.1
Thunnus_alalunga	19245	1952	99224
Hoplostethus_atlanticus	19244	1952	101877
Nemadactylus_macropterus	19238	1952	17725
Rexea_solandri	19237	1952	11450.2
Hyperoglyphe_antarctica	19236	1952	41110.1
Prunella_modularis	6050	1952	0
Picus_viridis	6046	1952	3
Pica_pica	6045	1952	1
Phylloscopus_trochilus	6044	1952	15
Sorex_cinereus	4587	1952	3
Thunnus_maccoyii	2171	1952	747250
Kajikia_audax	19376	1953	29113
Thunnus_obesus	19375	1953	585000
Katsuwonus_pelamis	19371	1953	193910.66
Sebastes_pinniger	19366	1953	7948.705
Sebastes_melanops	19334	1953	27825
Seriola_dumerili	19320	1953	6188.25
Sebastes_entomelas	19283	1953	66335
Squalus_suckleyi	19282	1953	241313
Sebastes_diploproa	19281	1953	85337
Sebastolobus_alascanus	19280	1953	128158
Sebastes_jordani	19279	1953	170000
Eopsetta_jordani	19278	1953	7030
Sebastes_chlorostictus	19272	1953	2744.8
Thunnus_alalunga	19245	1953	82647
Hoplostethus_atlanticus	19244	1953	101877
Nemadactylus_macropterus	19238	1953	17724
Rexea_solandri	19237	1953	11431.4
Hyperoglyphe_antarctica	19236	1953	41074.7
Prunella_modularis	6050	1953	0
Picus_viridis	6046	1953	2
Pica_pica	6045	1953	1
Phylloscopus_trochilus	6044	1953	15
Sorex_cinereus	4587	1953	5
Thunnus_maccoyii	2171	1953	783940
Kajikia_audax	19376	1954	28917
Thunnus_obesus	19375	1954	598000
Katsuwonus_pelamis	19371	1954	193718.81
Sebastes_pinniger	19366	1954	8123.45
Sebastes_melanops	19334	1954	27798
Seriola_dumerili	19320	1954	6158.67
Sebastes_entomelas	19283	1954	65892
Squalus_suckleyi	19282	1954	240915
Sebastes_diploproa	19281	1954	84914
Sebastolobus_alascanus	19280	1954	128131
Sebastes_jordani	19279	1954	154000
Eopsetta_jordani	19278	1954	7048
Sebastes_chlorostictus	19272	1954	2727.2
Thunnus_alalunga	19245	1954	70186
Hoplostethus_atlanticus	19244	1954	101877
Nemadactylus_macropterus	19238	1954	17726.9
