ID,min_year,max_year
1409,1951,1991
1410,1951,2010
2040,1960,2001
2041,1950,2011
2042,1971,1997
2043,1976,2008
2044,1951,1991
2045,1976,1994
2046,1959,1988
2047,1951,1991
2048,1951,1991
2049,1951,1991
2050,1970,2000
2051,1951,1991
2052,1970,2000
2053,1976,1994
2054,1976,1994
2055,1978,2007
2056,1951,1991
2057,1970,2000
2058,1968,1984
2061,1980,2000
2062,1979,1991
2063,1956,2005
2064,1980,2000
2065,1950,1981
2066,1980,2000
2067,1980,2000
2068,1964,1979
2069,1963,1982
2071,1963,1983
2072,1969,1983
2079,1950,2001
2080,1977,2010
2081,1963,1981
2082,1964,1988
2084,1980,2000
2085,1979,2010
2086,1960,2010
2087,1950,1989
2090,1976,2009
2091,1978,1990
2092,1970,2009
2093,1950,1981
2094,1977,2010
2095,1970,1989
2096,1963,1995
2097,1961,2010
2098,1950,2011
2099,1979,1990
2100,1967,1997
2101,1970,1998
2102,1995,2004
2103,1985,2010
2104,1980,2001
2105,1970,1981
2106,1977,2013
2107,1971,1989
2108,1970,2008
2109,1967,1992
4291,1980,2001
4292,1966,1995
4293,1984,2000
4477,1952,2007
4478,1952,2007
4479,1952,2007
4480,1951,2007
4481,1951,2007
4504,1965,2010
5304,1982,2010
5305,1993,2010
5700,1983,1991
5711,1961,2010
5739,1985,1988
5934,1964,2012
5935,1982,2010
5939,1960,2010
5941,1975,2010
5942,1979,2007
5943,1975,2010
5944,1980,2010
5945,1983,2010
5946,1982,2010
5947,1975,2010
7703,1954,1998
8206,1980,2007
8207,1978,2007
8273,1978,2013
8274,1988,2009
8282,1977,2010
8283,1980,2008
8284,1999,2010
8285,1983,2006
8286,1983,2006
8287,1979,2009
8288,1992,2006
8289,1999,2009
8290,1999,2009
8291,1999,2009
8292,2002,2010
8293,2002,2010
8294,2002,2010
8295,1985,2010
8296,1982,2010
8297,1982,2010
8298,1984,2010
8299,1982,2010
8300,1982,2010
8301,1991,2010
8302,1991,2010
8303,1991,2010
8304,1991,2010
8305,1991,2010
8306,2003,2009
8307,2003,2009
8308,2003,2009
8309,2003,2009
8310,2003,2009
8311,1997,2006
8312,1997,2006
8313,1997,2006
8314,1997,2006
8315,1997,2006
8423,1991,2001
9235,1994,2002
9241,1971,2000
9254,2002,2007
9255,2002,2007
9258,2002,2007
9259,2002,2007
9584,1978,2005
9681,1979,1983
9686,1979,1983
9687,1979,1983
9691,1976,1995
9692,1976,1995
9694,1976,1995
9695,1976,1995
9696,1976,1995
9697,1976,1995
9698,1976,1995
9700,1976,1995
9701,1976,1995
9702,1976,1995
9705,1976,1995
9706,1976,1995
9708,1976,1995
9709,1976,1995
9710,1976,1995
9711,1976,1995
9712,1976,1995
9713,1976,1995
9714,1976,1995
9715,1976,1995
9716,1976,1995
9717,1976,1995
9718,1976,1995
9719,1976,1995
9720,1976,1995
9721,1976,1995
9722,1976,1995
9723,1976,1995
9724,1976,1995
9797,1992,2002
9798,1992,2002
9799,1992,2002
9800,1992,2002
11116,1950,2007
12404,2001,2007
12413,2002,2007
12689,2006,2012
12799,1950,2010
12800,1950,2010
12801,1950,2010
12802,1950,2010
13113,1950,2014
13120,1980,2008
13124,1996,2008
13207,1975,2009
13209,1999,2009
13211,1967,1984
13212,1996,2004
13214,2003,2009
13220,1995,2004
13221,1984,2003
13225,1997,2005
