Binomial	ID	year	popvalue
Furgaleus_macki	11322	1975	2.46
Furgaleus_macki	11322	1976	2.77
Furgaleus_macki	11322	1977	2.88
Furgaleus_macki	11322	1978	2.86
Furgaleus_macki	11322	1979	2.43
Furgaleus_macki	11322	1980	2.12
Furgaleus_macki	11322	1981	2.04
Furgaleus_macki	11322	1982	1.45
Furgaleus_macki	11322	1983	1.12
Furgaleus_macki	11322	1984	1.16
Furgaleus_macki	11322	1985	0.85
Furgaleus_macki	11322	1986	0.7
Furgaleus_macki	11322	1987	0.78
Furgaleus_macki	11322	1988	0.9
Furgaleus_macki	11322	1989	0.72
Furgaleus_macki	11322	1990	0.98
Furgaleus_macki	11322	1991	0.98
Furgaleus_macki	11322	1992	0.74
Furgaleus_macki	11322	1993	0.54
Furgaleus_macki	11322	1994	0.65
Platycephalus_endrachtensis	9281	1994	0.42
Furgaleus_macki	11322	1995	0.66
Furgaleus_macki	11322	1996	0.64
Furgaleus_macki	11322	1997	0.79
Platycephalus_endrachtensis	9281	2000	1.87
