Binomial	ID	year	popvalue
Physeter_catodon	5689	1950	793000
Physeter_catodon	5689	1951	772000
Physeter_catodon	5689	1952	765000
Physeter_catodon	5689	1953	750000
Physeter_catodon	5689	1954	736000
Odobenus_rosmarus	2218	1955	75000
Physeter_catodon	5689	1955	721000
Physeter_catodon	5689	1956	714000
Physeter_catodon	5689	1957	693000
Physeter_catodon	5689	1958	678000
Eumetopias_jubatus	4860	1959	235500
Physeter_catodon	5689	1959	671000
Eumetopias_jubatus	4860	1960	236640
Physeter_catodon	5689	1960	649000
Eumetopias_jubatus	4860	1961	238840
Physeter_catodon	5689	1961	621000
Eumetopias_jubatus	4860	1962	241050
Physeter_catodon	5689	1962	592000
Eumetopias_jubatus	2210	1963	14591.84
Eumetopias_jubatus	4860	1963	243250
Physeter_catodon	5689	1963	585000
Enhydra_lutris	11291	1963	1641
Eumetopias_jubatus	4860	1964	244390
Physeter_catodon	5689	1964	556000
Delphinapterus_leucas	2192	1965	8867
Phoca_vitulina	2222	1965	1250
Eumetopias_jubatus	4860	1965	246590
Physeter_catodon	5689	1965	534000
Enhydra_lutris	11288	1965	9700
Eumetopias_jubatus	4860	1966	249860
Physeter_catodon	5689	1966	506000
Eschrichtius_robustus	2199	1967	12890
Eumetopias_jubatus	4860	1967	253120
Physeter_catodon	5689	1967	491000
Eschrichtius_robustus	2199	1968	12500
Eumetopias_jubatus	2210	1968	11428.57
Eumetopias_jubatus	4860	1968	258590
Physeter_catodon	5689	1968	470000
Enhydra_lutris	9055	1968	75
Enhydra_lutris	9056	1968	0
Eschrichtius_robustus	2199	1969	12750
Eumetopias_jubatus	2210	1969	14183.67
Phoca_vitulina	2222	1969	1940
Eumetopias_jubatus	4860	1969	260790
Physeter_catodon	5689	1969	448000
Enhydra_lutris	9055	1969	75
Enhydra_lutris	9056	1969	0
Eschrichtius_robustus	2199	1970	11300
Phoca_vitulina	2222	1970	1875
Eumetopias_jubatus	4860	1970	262980
Physeter_catodon	5689	1970	441000
Enhydra_lutris	9055	1970	75
Enhydra_lutris	9056	1970	0
Eschrichtius_robustus	2199	1971	10000
Eumetopias_jubatus	2201	1971	4889
Eumetopias_jubatus	4860	1971	264130
Physeter_catodon	5689	1971	419000
Enhydra_lutris	9055	1971	75
Enhydra_lutris	9056	1971	0
Eschrichtius_robustus	2199	1972	17300
Eumetopias_jubatus	4860	1972	266330
Physeter_catodon	5689	1972	405000
Enhydra_lutris	9055	1972	75
Enhydra_lutris	9056	1972	0
Eschrichtius_robustus	2199	1973	15000
Eumetopias_jubatus	2201	1973	4039
Eumetopias_jubatus	4860	1973	267470
Physeter_catodon	5689	1973	383000
Enhydra_lutris	5725	1973	1.41
Enhydra_lutris	5726	1973	6.69
Enhydra_lutris	9055	1973	75
Enhydra_lutris	9056	1973	0
Phoca_vitulina	9127	1973	3000
Eschrichtius_robustus	2199	1974	13000
Phoca_vitulina	2225	1974	1175
Orcinus_orca	4402	1974	121
Orcinus_orca	4403	1974	71
Eumetopias_jubatus	4860	1974	268610
Physeter_catodon	5689	1974	376000
Enhydra_lutris	9055	1974	75
Enhydra_lutris	9056	1974	0
Orcinus_orca	9133	1974	41
Enhydra_lutris	11290	1974	238
Enhydra_lutris	2195	1975	53000
Eschrichtius_robustus	2199	1975	15000
Eumetopias_jubatus	2210	1975	8367.35
Odobenus_rosmarus	2218	1975	221000
Phoca_vitulina	2222	1975	4950
Zalophus_californianus	2234	1975	12000
Orcinus_orca	4402	1975	128
Orcinus_orca	4403	1975	71
Callorhinus_ursinus	4817	1975	8568.4711
Eumetopias_jubatus	4860	1975	267640
Physeter_catodon	5689	1975	362000
Balaenoptera_physalus	6415	1975	0
Balaenoptera_acutorostrata	6420	1975	0
Megaptera_novaeangliae	6421	1975	0
Eschrichtius_robustus	6422	1975	0
