ID,min_year,max_year
2188,1978,1993
2190,1974,2005
2191,1994,2008
2192,1965,1980
2195,1975,1997
2196,1978,1993
2197,1983,2007
2198,1977,2004
2199,1967,2001
2200,1967,1986
2201,1971,2013
2203,1985,2003
2204,1985,2003
2205,1985,2004
2206,1990,2004
2207,1982,2002
2208,1985,2004
2209,1985,2004
2210,1963,2005
2211,1991,2008
2217,1975,1990
2218,1955,2006
2219,1960,1985
2221,1985,1995
2222,1965,2005
2223,1996,1999
2224,1977,1997
2225,1974,1995
2226,1994,2000
2227,1978,1993
2232,1995,2006
2234,1975,1995
4402,1974,1993
4403,1974,2003
4629,1967,1995
4644,1978,1996
4804,1959,2000
4805,1959,2000
4806,1959,2000
4807,1959,2000
4808,1960,2000
4817,1975,2008
4860,1959,2000
5074,1981,2002
5081,1990,1999
5684,1999,2001
5685,1990,1997
5689,1950,2000
5725,1973,1998
5726,1973,1998
5754,1997,2002
6156,1992,2001
6223,1985,2000
6224,1982,1994
6415,1975,1989
6420,1975,1989
6421,1975,1989
6422,1975,1989
6423,1975,1989
6424,1975,1989
9055,1968,1992
9056,1968,1992
9127,1973,1999
9129,1988,2002
9130,1988,2002
9131,1988,2002
9132,1989,1999
9133,1974,2003
9134,1990,2002
9146,1991,2014
9147,1991,2014
9148,1991,2014
9149,1991,2014
9150,1991,2014
9151,1991,2014
9152,1991,2014
9153,1991,2014
9154,1991,2014
9155,1991,2014
9156,1991,2014
9157,1991,2014
9158,1991,2014
9159,1991,2014
9160,1991,2014
9161,1991,2005
9162,1991,2014
9163,1991,2014
9164,1996,2005
9165,1996,2005
9166,1996,2005
9167,1996,2005
9168,1996,2005
9169,1996,2005
9170,1996,2005
9171,1996,2005
9172,1996,2005
9173,1996,2005
9174,1996,2005
9175,1996,2005
9176,1996,2005
9177,1996,2005
9180,1997,2003
9234,1989,2002
9260,1977,1981
9263,1978,1981
9802,1993,1995
9808,1975,2008
9813,1991,2002
9814,1984,2005
9815,1984,2005
9816,1984,2005
9817,1984,2005
11286,1977,2013
11287,1990,2013
11288,1965,2000
11289,1975,2003
11290,1974,2005
11291,1963,2005
11293,1991,2002
12324,1988,2011
12347,2004,2005
12349,2004,2005
12350,2004,2005
12351,2004,2005
12353,2004,2005
12354,2004,2005
12356,2004,2005
12358,2004,2005
17812,1997,2013
18006,1997,2009
20152,2004,2005
20153,2004,2005
21681,2004,2005
21803,2004,2005
22093,2004,2005
22094,2004,2006
22141,2004,2005
22142,2004,2005
23348,1996,2008
23354,2000,2012
23392,1978,2007
23393,1990,2012
23397,1975,2009
23406,1984,2009
23415,1977,2005
23416,1979,1998
23418,1975,2007
23441,1976,2012
23442,1990,2012
23449,1975,2006
23452,1976,2012
23453,1990,2012
23457,1976,2012
23459,1990,2012
