Binomial	ID	year	popvalue
Thalassarche_melanophris	2317	1953	102
Pygoscelis_papua	10288	1954	614
Pygoscelis_papua	10288	1956	599
Diomedea_exulans	105994	1956	11
Macronectes_giganteus	105998	1956	250
Macronectes_giganteus	106000	1956	24
Pygoscelis_papua	10288	1957	582
Pygoscelis_papua	10289	1957	500
Diomedea_exulans	105994	1957	9
Pygoscelis_papua	10288	1958	559
Diomedea_exulans	105994	1958	5
Macronectes_giganteus	106000	1958	15
Pygoscelis_adeliae	2313	1959	1122
Pygoscelis_adeliae	5425	1959	1650
Catharacta_antarctica	23362	1959	65
Diomedea_exulans	105994	1959	5
Macronectes_giganteus	106000	1959	17
Thalassarche_cauta	2289	1960	670
Pygoscelis_adeliae	2313	1960	1323
Pygoscelis_adeliae	5425	1960	1400
Diomedea_exulans	105994	1960	14
Diomedea_exulans	2292	1961	1554
Pygoscelis_adeliae	2302	1961	500
Pygoscelis_adeliae	2303	1961	3500
Pygoscelis_adeliae	2304	1961	350
Pygoscelis_adeliae	2306	1961	1200
Pygoscelis_adeliae	2307	1961	3000
Pygoscelis_adeliae	2308	1961	300
Pygoscelis_adeliae	2309	1961	4200
Pygoscelis_adeliae	2310	1961	3500
Pygoscelis_adeliae	2311	1961	4500
Pygoscelis_adeliae	2312	1961	3000
Pygoscelis_adeliae	2313	1961	1155
Pygoscelis_adeliae	5425	1961	1200
Pygoscelis_adeliae	10220	1961	107
Catharacta_antarctica	23362	1961	71
Diomedea_exulans	105994	1961	16
Aptenodytes_patagonicus	2276	1962	0
Aptenodytes_patagonicus	2278	1962	45000
Diomedea_exulans	2292	1962	1922
Aptenodytes_patagonicus	5142	1962	45000
Pygoscelis_adeliae	5425	1962	1000
Aptenodytes_forsteri	10190	1962	5652
Catharacta_antarctica	23362	1962	81
Diomedea_exulans	105994	1962	10
Aptenodytes_patagonicus	2284	1963	20
Diomedea_exulans	2292	1963	1666
Pygoscelis_adeliae	2313	1963	1465
Pygoscelis_adeliae	5425	1963	800
Aptenodytes_forsteri	10190	1963	6246
Aptenodytes_forsteri	10191	1963	200
Fulmarus_glacialoides	11421	1963	32
Catharacta_antarctica	23362	1963	64
Diomedea_exulans	105994	1963	16
Macronectes_giganteus	105999	1963	45
Pygoscelis_adeliae	2313	1964	1329
Pygoscelis_adeliae	5425	1964	1000
Aptenodytes_forsteri	10190	1964	6006
Aptenodytes_forsteri	10191	1964	200
Pygoscelis_antarcticus	10286	1964	31300
Pygoscelis_papua	10289	1964	730
Fulmarus_glacialoides	11421	1964	27
Catharacta_antarctica	23362	1964	79
Diomedea_exulans	105994	1964	11
Macronectes_giganteus	105997	1964	10
Macronectes_giganteus	105998	1964	20
Aptenodytes_patagonicus	2276	1965	0
Aptenodytes_patagonicus	2278	1965	43400
