ID,min_year,max_year
2162,1977,2002
2167,1982,1996
2275,1952,1999
2276,1962,1990
2277,1967,2003
2278,1962,1987
2279,1967,2003
2280,1979,2003
2281,1965,2003
2282,1970,1980
2283,1970,1980
2284,1963,2000
2285,1977,1991
2288,1983,1998
2289,1960,1995
2290,1977,1991
2291,1966,1995
2292,1961,2002
2293,1971,1993
2294,1966,1995
2295,1968,1995
2296,1975,2003
2297,1977,1990
2298,1979,1996
2299,1979,1996
2300,1980,2009
2301,1968,1989
2302,1961,1989
2303,1961,1989
2304,1961,1989
2305,1965,1997
2306,1961,1989
2307,1961,1990
2308,1961,1989
2309,1961,1989
2310,1961,1990
2311,1961,1990
2312,1961,1989
2313,1959,1989
2314,1988,1996
2315,1980,2001
2316,1987,2000
2317,1953,2001
2318,1985,2000
4596,1952,1987
4613,1987,1999
4614,1984,2008
4615,1984,1999
4616,1984,1999
4617,1996,1999
4664,1990,1998
4666,1990,1998
4667,1991,1998
4668,1993,1998
4669,1993,1998
4670,1993,1998
4671,1993,1997
4672,1992,1995
4673,1991,1995
4674,1991,1995
4675,1991,1995
4676,1993,1995
4677,1990,1995
4678,1989,1995
4679,1991,1995
4680,1993,1996
4681,1993,1995
4682,1997,1998
4862,1985,1999
4863,1964,1999
4864,1985,1999
4865,1985,1999
4867,1969,1997
4868,1966,1998
5142,1962,2001
5160,1976,2002
5164,1976,2002
5425,1959,2013
5637,1997,2000
5638,1997,2000
5639,1997,2000
5640,1997,2000
6155,1986,2005
6455,1999,2009
6485,1983,2003
7815,1979,2005
7816,1980,2005
7817,1980,2005
7818,1980,2005
7822,1965,2005
8157,1978,2008
8729,1989,1990
8730,1988,1990
8731,1988,1991
8909,1992,1994
8969,1969,2004
8970,1969,2004
8971,1969,2004
8972,1969,2004
8973,1969,2004
8990,1980,2008
8991,1980,2008
8992,1983,2008
9087,1987,1996
9088,1987,1997
9089,1991,1997
9090,1991,1997
9099,2001,2003
9543,2000,2007
10103,1997,2011
10104,1980,2014
10105,1985,2016
10106,1987,2010
10107,1986,2011
10108,1999,2016
10109,1987,2016
10110,1983,2017
10111,1986,2017
10112,1996,2016
10113,1979,1980
10114,1980,2013
10115,1983,2016
10116,1983,2006
10117,1979,1980
10118,2005,2011
10119,2007,2016
10120,1992,2016
10121,1983,1990
10122,1980,1988
10123,2004,2015
10124,1991,1998
10125,1989,2016
10126,1979,2004
10127,2007,2013
10128,1983,2009
10129,1980,2005
10130,1982,2013
10131,1984,2012
10132,1990,2016
10133,2003,2012
10134,2004,2008
10135,1983,2012
10136,1979,2013
10137,1979,2006
