Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Thunnus_maccoyii,1,-0.0348972957325842,-0.0370284764104518,-0.0333156869449029,-0.0267335965459502,-0.0220820353770524,-0.0197733523756547,-0.0162911213114295,-0.0112412727749311,-0.00956511370043778,-0.0142821775281334,-0.0208197097820679,-0.0227060806935762,-0.0205650009066158,-0.0205808000398844,-0.025076526712789,-0.0299784470734012,-0.0320574345257854,-0.0332701234254861,-0.0359386452597624,-0.0384693717530566,-0.0389925855212313,-0.0398748873120764,-0.04162729042406,-0.0464028623056665,-0.0481122364472357,-0.0512617928890622,-0.0266376097470182,-0.0044226462959509,0.00931059279650714,0.0132592924635837,0.00405763442712281,-0.0164221731454788,-0.0327649371319021,-0.0283326203844103,-0.00564770314260965,0.0151443684614803,0.0187943423337869,0.00841238549958589,-0.00364864216584238,-0.0102191221860721,-0.0120618668953263,NA,NA,NA,NA,NA
Sillago_flindersi,1,0.0110835668491824,0.00427339103923874,-0.0141221479081262,-0.00874236409688534,0.0103279867891395,0.00419284542147524,-0.0195236794752289,-0.01752990869812,0.00565763045122214,0.000768303814349558,-0.0332522350047122,-0.042431498102268,-0.0227970060052125,-0.0394103922336719,-0.0996290707801695,-0.105015650843738,-0.00296767038595824,0.09966116816183,0.0767600336095065,-0.0247390455403274,-0.0535279734286753,0.0185306507901712,0.0706043356006392,0.0339554121509145,-0.0190970842358622,-0.024858307795145,-0.036694220494315,-0.105299243802186,-0.15326511028438,-0.0790736198787734,0.069504424493442,0.137819619271633,0.0652267578385266,-0.0490056044566316,-0.0862138786190112,-0.0403866629004432,0.0108353009806104,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoplostethus_atlanticus,1,-8.46217233858582e-05,-3.23846804750616e-05,8.7243275767257e-05,4.32955431097781e-05,-8.9944959012378e-05,-5.68114482115689e-05,9.25878584085993e-05,7.50093071353319e-05,0.00537418834110071,0.0100484511134547,0.0114753400608428,0.00050206925164679,-0.01248022823104,-0.0327344394012594,-0.0297555691772873,-0.0282966306417541,-0.0317275244944606,-0.0380167166904627,-0.0462720345192876,-0.0589052491555084,-0.0755880747080393,-0.0913168988830213,-0.0934723549942218,-0.077813689136571,-0.05392812996319,-0.0341112968417212,-0.0245700872090762,-0.0239333690297078,-0.0268958745390699,-0.0282368820733894,-0.0253314293150018,-0.0187589863067482,-0.0109011469071435,-0.00399251755097415,0.000518335783998403,0.0019035505776069,-0.00139830658258355,-0.0401080598672579,-0.0413793111932268,-0.0430305513919302,-0.0443363828099455,NA,NA,NA,NA,NA
Pseudocaranx_dentex,1,-0.00745841859116592,-0.0121275856594165,-0.0237737545240497,-0.0297330858072593,-0.0246151088261088,-0.0178554661643213,-0.0215197359076367,-0.0333666666517924,-0.0384688602295427,-0.028267859488051,-0.0111468617369503,-0.000590639838821794,0.000594370554358292,-0.00198198678112327,-0.00634394679720351,-0.0136022985131756,-0.0175706873043451,-0.00754259511264266,0.014939241353491,0.0325249812589377,0.0316997029468391,0.0179709553477521,0.00439415927098263,-0.00676147683402739,-0.0202920401768827,-0.0322245839201107,-0.0319954793326094,-0.0198214269409549,-0.00831039102603803,-0.00405631568266429,-0.000272741122653741,0.00727379683907614,0.00990699803607686,0.000901343317506687,-0.0102175292994522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemadactylus_macropterus,1,-0.0089603111889538,-0.00789746009150516,-0.00751821167370892,-0.00724319291146269,-0.00859208574152337,-0.0118343902901916,-0.0144638245179998,-0.0143618562575973,-0.0130723835064233,-0.0142607872666485,-0.0192496514417737,-0.0253192261010895,-0.0284966683268939,-0.0271412746855959,-0.022601097008677,-0.0171835626399806,-0.0121646442492103,-0.00763640648768726,-0.00376517379794361,-0.00173347670677426,-0.00307103726228863,-0.00789357505197685,-0.0140340252970401,-0.0182448701785178,-0.0182998949928312,-0.0140048480444115,-0.00679828644540947,0.00101771407500051,0.00722258522769881,0.011276011461983,0.015337205637576,0.0223102816760026,0.031688682365834,0.0382882457525553,0.0370859917706228,0.0295260057570914,0.0229446801589681,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyperoglyphe_antarctica,1,-0.000311799813091262,-0.000514791956535809,-0.000116834101095975,-0.000124111799179261,-0.00181559501058803,-0.00462010036445371,-0.00615030278108897,-0.00485520428993702,-0.00195405449622488,-8.93736087625996e-05,-0.000529267409943301,-0.00246903871096382,-0.00476400675881195,-0.00721164167249011,-0.00981016752641128,-0.0117680918971388,-0.0121990566358212,-0.0114936894899049,-0.0111492490818934,-0.0121753720220088,-0.0142712848655471,-0.0166352083787462,-0.0188897824817627,-0.0209307911059078,-0.0225701767031765,-0.0239356602842067,-0.0257295780040003,-0.0283162526129317,-0.0308658261970374,-0.0323842821685547,-0.0335599972811771,-0.0363740259832017,-0.0413093520931627,-0.0459729867786987,-0.0475191097645142,-0.0458260714184657,-0.0430752111265131,-0.040582265545432,-0.0376964471781891,-0.0341331350403342,-0.0315326325721563,NA,NA,NA,NA,NA
Epigonus_telescopus,1,0.000728102273506614,0.00054660700604181,-0.00069765653708842,-0.00067254473907763,0.000652169203115172,0.000812419549941268,-0.000587115729926424,-0.00097581243664191,0.000488865406226502,0.00119597067447685,-0.000245902420272337,-0.00143608062270228,-0.000850453906739546,-0.00154161981006151,-0.00660119560315309,-0.0137055850738195,-0.0185895335855166,-0.0223187995931848,-0.0301075523349441,-0.0427531375305676,-0.0538218119191631,-0.057219305763291,-0.0546716868845341,-0.0533643052737878,-0.057232968317142,-0.0622861283004212,-0.0609924055301088,-0.0514158614452689,-0.0411917595484161,-0.0398718561215281,-0.0466202706223546,-0.0497997530825618,-0.0423747574789246,-0.0331042659528831,-0.0348794591294483,-0.0443037777342994,-0.0438539552479802,-0.027106526007795,-0.0100392662169022,NA,NA,NA,NA,NA,NA,NA
Chrysophrys_auratus,1,-0.0392735878878034,-0.0503971902450613,-0.0521906181045355,-0.0403605210666158,-0.0271768461607858,-0.0267428266470984,-0.0357710073998416,-0.0401013393015881,-0.0120840865669383,-0.0578148216805053,-0.0609739675864961,-0.0618427720939579,-0.0339327044474831,-0.025809664266045,-0.023541871129185,-0.0179253050331216,0.00182355057151318,0.0274276121466044,0.0382722110737459,0.0265345405152986,0.00466924873746155,-0.0110926269369163,-0.0145308603825334,-0.00730701572360504,0.00563634652248801,0.0161849401072129,-0.00496211411637848,0.00022298519052999,0.0906880302599528,0.0843849146709384,-0.100840978577173,-0.0608869855287611,-0.0320788716436381,-0.0146408947217713,-0.00183809810800384,0.116102222232735,0.219780504385367,0.243564189507171,0.130761113416169,-0.036157663492709,-0.111387760822536,-0.0509205421644983,0.0390959312021351,NA,NA,NA
Rexea_solandri,1,-0.0231524125617792,-0.0135105659682204,-0.00331982488051685,0.00399278908081491,0.0127696033433418,0.0227089152176483,0.0232871525853005,0.00813308579394323,-0.0135613155276837,-0.0297900548791763,-0.0420953197532581,-0.0560223782988132,-0.0616838454423156,-0.043312393811674,-0.00954637697662775,0.00671584165501349,-0.0106923631773095,-0.0369143126299274,-0.0390103756127969,-0.0216293435815287,-0.0181950154298482,-0.0398148168864421,-0.0573108768405697,-0.0431241548688885,-0.0125600714597127,-0.00598194915222217,-0.0373125096815545,-0.0772964956816329,-0.0888909054352049,-0.066308144395721,-0.0336873200477243,-0.0139234144853362,-0.00735098998774797,0.00114000128490321,0.0212924062547091,0.0466165684574722,0.115836926613299,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centroberyx_gerrardi,1,1.58995535217699e-05,2.29226856163223e-06,-3.1630765261248e-05,-2.81622873288256e-05,1.33920822902311e-05,5.89373903077117e-05,0.000154900814233194,0.000423063357454012,0.000927062666046474,0.00164089855709282,0.00256520981015296,0.00374618994122322,0.00511589994732642,0.00643543283449688,0.00749049335388996,0.00822037004965903,0.00851898909719928,0.00805748980832632,0.00658899610297681,0.00443382050905772,0.00236968088857648,0.000888249556234122,-0.000262918898929598,-0.00166455629116946,-0.00354541992949997,-0.00570103755530837,-0.00785674717295937,-0.00974133232700591,-0.0109216571513553,-0.0111224516516959,-0.010912424467886,-0.0115579547945623,-0.0136596420962372,-0.016144899278034,-0.017242807676026,-0.0165431093529973,-0.0154713040741159,NA,NA,NA,NA,NA,NA,NA,NA,NA
