ID,min_year,max_year
1458,1979,1987
1459,1979,1988
1508,1983,1991
2074,1975,1990
2077,1950,1996
2078,1950,2005
2169,1965,2007
2170,1960,1991
2171,1951,1995
2265,1971,1987
2266,1977,1986
2267,1975,1989
2268,1979,1986
2269,1979,2011
2270,1969,1990
2271,1970,1984
2272,1975,1986
2273,1978,1988
2274,1975,1988
4813,2001,2004
7963,1991,2002
7964,1991,2002
8470,1989,2002
8472,1996,2003
9053,1990,2007
9233,1983,1991
9256,2001,2004
9257,2001,2003
9534,2002,2008
9535,2001,2008
9536,2001,2008
10665,1982,1998
11207,1987,1999
11208,1991,2005
11209,1990,2012
11210,1997,2003
11323,1981,1996
11335,1977,1997
11336,1977,1997
11461,1998,2002
11462,1999,2002
11463,1999,2002
11464,1998,1999
11465,1998,1999
11466,1998,1999
11467,1998,1999
11468,1998,1999
11469,1998,1999
11722,2004,2009
11784,1983,2001
11787,1983,2007
11806,1992,2002
11808,1992,2002
11811,1992,2002
11813,1992,2002
11815,1992,2002
11817,1992,2002
11819,1992,2002
11822,1992,2002
11823,1992,2002
11826,1992,2002
11828,1992,2002
11829,1992,2002
11830,1992,2002
11832,1992,2002
11834,1992,2002
11835,1992,2002
11836,1992,2002
11837,1992,2002
11839,1992,2002
11841,1992,2002
11842,1992,2002
11844,1992,2002
11845,1992,2002
11847,1992,2002
11848,1992,2002
11849,1992,2002
11852,1992,2002
11853,1992,2002
11854,1992,2002
11856,1992,2002
11858,1992,2002
11859,1992,2002
11860,1992,2002
11861,1992,2002
11862,1992,2002
11863,1992,2002
11866,1992,2002
11868,1992,2002
11869,1992,2002
11870,1992,2002
11871,1992,2002
11872,1992,2002
11873,1992,2002
11874,1992,2002
11894,1978,1982
11895,1978,1982
11897,1978,1982
11898,1978,1982
11899,1978,1982
11900,1978,1982
14843,1975,2010
14974,2008,2009
14975,2008,2009
14976,2008,2009
14977,2008,2009
14978,2008,2009
14979,2008,2009
14980,2008,2009
14981,2008,2009
14982,2008,2009
14983,2008,2009
14984,2008,2009
14985,2008,2009
14986,2008,2009
14987,2008,2009
14988,2008,2009
14989,2007,2008
14990,2008,2009
14991,2008,2009
14992,2008,2009
14993,2008,2009
14994,2008,2009
14995,2008,2009
14996,2008,2009
14997,2008,2009
14998,2008,2009
14999,2008,2009
15000,2008,2009
15001,2008,2009
15002,2008,2009
15003,2008,2009
15021,2004,2011
15022,2004,2011
15023,2004,2011
15024,2004,2011
15085,1999,2000
15208,1998,2006
15328,1960,2013
15329,1975,2011
15330,1997,2007
15331,1998,2007
15332,1985,2005
15333,2001,2008
15334,1999,2008
15335,2006,2008
15336,1987,1989
15337,1987,1989
15338,1987,1989
15339,1987,1989
15340,1987,1989
15341,1987,1989
15342,1987,1989
15343,1987,1989
15344,1987,1989
15345,1987,1989
15346,1987,1989
15347,1979,2006
18512,2001,2002
18596,2001,2010
19124,1991,2012
19125,1972,2008
19126,1972,2007
19143,1983,2008
19150,1978,2010
19151,1975,2009
19167,1950,2009
19168,1973,2006
19173,1984,2006
19174,1970,2012
19235,1975,2006
19236,1950,2011
19237,1952,2006
19238,1950,2007
19239,1980,2006
19240,1964,2007
19241,1950,2005
19242,1968,2011
19243,1968,2011
19244,1950,2011
19254,1986,2011
19292,1974,2009
19304,1985,2012
19307,1958,2007
19308,1960,2011
19309,1966,2007
19310,1978,2007
19311,1968,2007
19312,1978,2007
19313,1950,2007
19314,1978,2006
19315,1993,2007
19316,1990,2011
19317,1985,2006
19318,1987,2007
19333,1950,2011
19341,1973,2007
19342,1974,2011
19367,1973,2007
19368,1965,2009
19372,1984,2006
19373,1968,2007
19374,1970,2012
19581,1986,1999
19595,1995,2015
19596,1995,2015
19598,1992,2010
19599,1992,2014
19601,1993,2014
19635,2000,2005
19641,2000,2013
19670,2000,2005
19806,2012,2014
19807,1997,2014
19810,1997,2014
19811,1997,2014
19812,2006,2013
19813,2006,2013
19814,2006,2013
19815,1990,1999
19820,1994,2013
19823,1994,2013
19824,1994,2013
21263,2011,2012
21264,2011,2012
25628,1993,2016
25666,1985,2014
26571,1985,2013
26709,2007,2009
26710,2007,2009
26711,2007,2008
26827,1984,2013
26834,2000,2013
26859,2007,2009
26862,2007,2009
26864,2007,2009
26865,2007,2009
26866,2007,2008
26872,2007,2009
26875,2007,2009
26879,2007,2009
26880,2007,2008
26881,2007,2009
26885,2007,2008
26983,2007,2009
26984,2007,2008
