"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" -99 NA NA
"1975" -99 NA NA
"1976" -99 NA NA
"1977" -99 NA NA
"1978" -99 NA NA
"1979" -99 NA NA
"1980" -99 NA NA
"1981" -99 NA NA
"1982" -99 NA NA
"1983" -99 NA NA
"1984" -99 NA NA
"1985" -99 NA NA
"1986" -99 NA NA
"1987" -99 NA NA
"1988" -99 NA NA
"1989" -99 NA NA
"1990" -99 NA NA
"1991" -99 NA NA
"1992" -99 NA NA
"1993" -99 NA NA
"1994" -99 NA NA
"1995" -99 NA NA
"1996" -99 NA NA
"1997" -99 NA NA
"1998" -99 NA NA
"1999" -99 NA NA
"2000" -99 NA NA
"2001" -99 NA NA
"2002" -99 NA NA
"2003" -99 NA NA
"2004" -99 NA NA
"2005" -99 NA NA
"2006" -99 NA NA
"2007" 1.07343241384674 0.848719481135979 1.35764192139738
"2008" -99 NA NA
"2009" -99 NA NA
"2010" -99 NA NA
"2011" -99 NA NA
"2012" -99 NA NA
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
