Binomial	ID	year	popvalue
Phoebastria_albatrus	2118	1955	23
Morus_capensis	25323	1956	19291
Spheniscus_demersus	25322	1956	60
Spheniscus_demersus	25321	1956	40
Spheniscus_demersus	25320	1956	150
Spheniscus_demersus	25319	1956	5764
Phoebastria_albatrus	2118	1958	15
Morus_capensis	25323	1959	25248
Papasula_abbotti	2249	1967	2700
Papasula_abbotti	2248	1967	2300
Morus_capensis	25323	1969	31206
Spheniscus_demersus	25319	1969	13654
Calidris_tenuirostris	12161	1970	697.5
Spheniscus_mendiculus	6448	1970	1200
Spheniscus_mendiculus	2161	1970	2778
Morus_capensis	25323	1971	28936
Calidris_tenuirostris	12161	1971	1001
Spheniscus_mendiculus	6448	1971	1850
Spheniscus_mendiculus	2161	1971	3386
Phoebastria_irrorata	2120	1971	24000
Morus_capensis	25323	1974	37447
Spheniscus_demersus	25320	1975	607
Gygis_alba	8924	1976	25.033
Anous_stolidus	8920	1976	0
Morus_capensis	25323	1977	41135
Spheniscus_demersus	25322	1977	345
Spheniscus_demersus	25321	1977	45
Spheniscus_demersus	25320	1977	102
Gygis_alba	8924	1977	28.174
Anous_stolidus	8920	1977	1.886
Phalacrocorax_capensis	25328	1978	44
Morus_capensis	25323	1978	45106
Spheniscus_demersus	10344	1978	120
Spheniscus_demersus	10343	1978	11053
Spheniscus_demersus	10341	1978	2213
Spheniscus_demersus	10336	1978	300
Spheniscus_demersus	10332	1978	21
Gygis_alba	8924	1978	22.364
Anous_stolidus	8920	1978	0.498
Larus_dominicanus	25339	1979	102
Phalacrocorax_capensis	25327	1979	208
Morus_capensis	25323	1979	37447
Spheniscus_demersus	25319	1979	13821
Larus_dominicanus	23383	1979	880
Larus_dominicanus	23382	1979	67
Gygis_alba	8924	1979	12.226
Anous_stolidus	8920	1979	0.109
Phaethon_aethereus	6443	1979	180
Morus_capensis	25323	1980	45957
Spheniscus_demersus	25319	1980	14850
Gygis_alba	11435	1980	24
Onychoprion_lunatus	11434	1980	56
Phaethon_rubricauda	11433	1980	333
Sula_sula	11432	1980	443
Anous_stolidus	11429	1980	712
Anous_minutus	11428	1980	291
Gygis_alba	8924	1980	11.924
Anous_stolidus	8920	1980	0.12
Spheniscus_mendiculus	6448	1980	1700
Phaethon_aethereus	6443	1980	340
Spheniscus_mendiculus	2161	1980	3065
Phalacrocorax_capensis	25326	1981	80
Phalacrocorax_capensis	25324	1981	75
Spheniscus_demersus	25322	1981	572
Spheniscus_demersus	25321	1981	23
Spheniscus_demersus	25317	1981	578
Gygis_alba	11435	1981	25
Onychoprion_lunatus	11434	1981	75
Phaethon_rubricauda	11433	1981	370
Sula_sula	11432	1981	391
Anous_stolidus	11429	1981	497
Anous_minutus	11428	1981	326
Spheniscus_humboldti	10983	1981	11000
Gygis_alba	8924	1981	10.147
Anous_stolidus	8920	1981	0.006
Phaethon_aethereus	6443	1981	380
Spheniscus_mendiculus	2161	1981	699
Spheniscus_humboldti	2160	1981	20000
Spheniscus_humboldti	2159	1981	20000
Vanellus_miles	27097	1982	269
Erythrogonys_cinctus	27096	1982	103
Pluvialis_squatarola	27095	1982	1167
Recurvirostra_novaehollandiae	27094	1982	1100
Himantopus_himantopus	27093	1982	590
Haematopus_fuliginosus	27092	1982	119
Haematopus_longirostris	27091	1982	21
Arenaria_interpres	27090	1982	289
Tringa_brevipes	27089	1982	61
Tringa_nebularia	27088	1982	1149
Tringa_stagnatilis	27087	1982	55
Numenius_madagascariensis	27086	1982	171
Limosa_lapponica	27085	1982	960
Hydroprogne_caspia	25343	1982	9
Phalacrocorax_capensis	25324	1982	72
Morus_capensis	25323	1982	49645
Calidris_tenuirostris	12185	1982	443
Calidris_canutus	12184	1982	1167
Gygis_alba	11435	1982	25
Onychoprion_lunatus	11434	1982	89
Phaethon_rubricauda	11433	1982	307
Sula_sula	11432	1982	345
Anous_stolidus	11429	1982	514
Anous_minutus	11428	1982	198
Gygis_alba	8924	1982	1.19
Anous_stolidus	8920	1982	1.493
Phaethon_aethereus	6443	1982	300
Hydroprogne_caspia	25343	1983	25
Larus_dominicanus	25339	1983	262
Gygis_alba	11435	1983	27
Onychoprion_lunatus	11434	1983	58
Phaethon_rubricauda	11433	1983	251
Sula_sula	11432	1983	506
Anous_stolidus	11429	1983	577
Anous_minutus	11428	1983	443
Spheniscus_humboldti	10983	1983	300
Gygis_alba	8924	1983	0.495
Anous_stolidus	8920	1983	2.555
Spheniscus_mendiculus	6448	1983	400
Phaethon_aethereus	6443	1983	230
Hydrobates_microsoma	6385	1983	11.16
Hydrobates_melania	6384	1983	9.24
Sula_leucogaster	6381	1983	22.43
Sula_nebouxii	6380	1983	47.82
Papasula_abbotti	2249	1983	1900
Spheniscus_humboldti	2159	1983	5630
Hydroprogne_caspia	25343	1984	7
Larus_dominicanus	25339	1984	354
Morus_capensis	25323	1984	45390
Gygis_alba	11435	1984	23
Onychoprion_lunatus	11434	1984	50
Phaethon_rubricauda	11433	1984	337
Sula_sula	11432	1984	609
Fregata_minor	11430	1984	0
Anous_stolidus	11429	1984	733
Anous_minutus	11428	1984	524
Spheniscus_humboldti	10983	1984	3080
Gygis_alba	8924	1984	0.882
Anous_stolidus	8920	1984	0
Spheniscus_mendiculus	6448	1984	450
Phaethon_aethereus	6443	1984	330
Hydrobates_microsoma	6385	1984	10.22
Hydrobates_melania	6384	1984	11.32
Sula_leucogaster	6381	1984	22.14
Sula_nebouxii	6380	1984	37.39
Spheniscus_mendiculus	2161	1984	787
Hydroprogne_caspia	25343	1985	33
Larus_dominicanus	25339	1985	459
Morus_capensis	25323	1985	46525
Spheniscus_demersus	25319	1985	19448
Calidris_canutus	12281	1985	287
Gygis_alba	11435	1985	38
Onychoprion_lunatus	11434	1985	106
Phaethon_rubricauda	11433	1985	477
Sula_sula	11432	1985	730
Fregata_minor	11430	1985	179
Anous_stolidus	11429	1985	936
Anous_minutus	11428	1985	827
Spheniscus_humboldti	10983	1985	10000
Gygis_alba	8924	1985	1.17
Anous_stolidus	8920	1985	0
Spheniscus_mendiculus	6448	1985	600
Phaethon_aethereus	6443	1985	460
Hydrobates_microsoma	6385	1985	2.73
Hydrobates_melania	6384	1985	2.3
Sula_leucogaster	6381	1985	1.42
Sula_nebouxii	6380	1985	3.88
Spheniscus_mendiculus	2161	1985	1167
Hydroprogne_caspia	25343	1986	35
Larus_dominicanus	25339	1986	505
Morus_capensis	25323	1986	51631
Spheniscus_demersus	25318	1986	38
Anous_tenuirostris	19105	1986	30164
Calidris_canutus	12281	1986	236
Gygis_alba	11435	1986	31
Onychoprion_lunatus	11434	1986	195
Phaethon_rubricauda	11433	1986	533
Sula_sula	11432	1986	701
Fregata_minor	11430	1986	446
Anous_stolidus	11429	1986	814
Anous_minutus	11428	1986	548
Spheniscus_humboldti	10983	1986	5500
Gygis_alba	8924	1986	0.081
Anous_stolidus	8920	1986	0
Spheniscus_mendiculus	6448	1986	550
Phaethon_aethereus	6443	1986	520
Sterna_dougallii	5692	1986	2500
Spheniscus_mendiculus	2161	1986	1025
Hydroprogne_caspia	25343	1987	58
Larus_dominicanus	25339	1987	505
Morus_capensis	25323	1987	51348
Calidris_canutus	12281	1987	202
Gygis_alba	11435	1987	34
Onychoprion_lunatus	11434	1987	149
Phaethon_rubricauda	11433	1987	377
Sula_sula	11432	1987	741
Fregata_minor	11430	1987	660
Anous_stolidus	11429	1987	1093
Anous_minutus	11428	1987	606
Spheniscus_humboldti	10983	1987	200
Gygis_alba	8924	1987	0.566
Anous_stolidus	8920	1987	0
Phaethon_aethereus	6443	1987	370
Sterna_dougallii	5692	1987	1625
Hydroprogne_caspia	25343	1988	41
Larus_dominicanus	25339	1988	440
Morus_capensis	25323	1988	56454
Numenius_tahitiensis	12213	1988	330
Gygis_alba	11435	1988	46
Onychoprion_lunatus	11434	1988	346
Phaethon_rubricauda	11433	1988	498
Sula_sula	11432	1988	937
Fregata_minor	11430	1988	395
Anous_stolidus	11429	1988	1156
Anous_minutus	11428	1988	1153
Spheniscus_humboldti	10983	1988	400
Spheniscus_demersus	10344	1988	51
Spheniscus_demersus	10343	1988	25205
Spheniscus_demersus	10341	1988	2189
Spheniscus_demersus	10336	1988	414
Spheniscus_demersus	10332	1988	33
Gygis_alba	8924	1988	0
Anous_stolidus	8920	1988	0
Phaethon_aethereus	6443	1988	500
Sterna_dougallii	5692	1988	1080
Phoebastria_albatrus	2118	1988	400
Hydroprogne_caspia	25343	1989	38
Larus_dominicanus	25339	1989	409
Morus_capensis	25323	1989	51348
Anous_tenuirostris	19107	1989	17320
Anous_tenuirostris	19106	1989	10246
Anous_tenuirostris	19105	1989	54936
Numenius_tahitiensis	12213	1989	395
Gygis_alba	11435	1989	48
Onychoprion_lunatus	11434	1989	324
Phaethon_rubricauda	11433	1989	514
Sula_sula	11432	1989	1132
Fregata_minor	11430	1989	634
Anous_stolidus	11429	1989	1274
Anous_minutus	11428	1989	1596
Spheniscus_humboldti	10983	1989	3000
Pterodroma_leucoptera	8999	1989	267
Gygis_alba	8924	1989	0
Anous_stolidus	8920	1989	0
Spheniscus_mendiculus	6448	1989	600
Phaethon_aethereus	6443	1989	505
Sterna_dougallii	5692	1989	1115
Papasula_abbotti	2248	1989	1900
Spheniscus_mendiculus	2161	1989	1214
Hydroprogne_caspia	25343	1990	41
Larus_dominicanus	25339	1990	443
Morus_capensis	25323	1990	54752
Spheniscus_demersus	25322	1990	3703
Spheniscus_demersus	25321	1990	50
Spheniscus_demersus	25320	1990	510
Numenius_tahitiensis	12213	1990	288
Gygis_alba	11435	1990	51
Onychoprion_lunatus	11434	1990	391
Phaethon_rubricauda	11433	1990	581
Sula_sula	11432	1990	897
Sula_dactylatra	11431	1990	0
Fregata_minor	11430	1990	383
Anous_stolidus	11429	1990	1731
Anous_minutus	11428	1990	1223
Spheniscus_humboldti	10983	1990	4500
Pterodroma_leucoptera	8999	1990	202
Gygis_alba	8924	1990	0.841
Anous_stolidus	8920	1990	0
Phaethon_aethereus	6443	1990	380
Sterna_dougallii	5692	1990	1275
Hydroprogne_caspia	25343	1991	46
Larus_dominicanus	25339	1991	347
Morus_capensis	25323	1991	57589
Spheniscus_demersus	25322	1991	3194
Spheniscus_demersus	25321	1991	15
Anous_tenuirostris	19107	1991	12471
Anous_tenuirostris	19106	1991	4952
Anous_tenuirostris	19105	1991	41843
Gygis_alba	11435	1991	58
Onychoprion_lunatus	11434	1991	477
Phaethon_rubricauda	11433	1991	872
Sula_sula	11432	1991	1270
Sula_dactylatra	11431	1991	6
Fregata_minor	11430	1991	567
Anous_stolidus	11429	1991	1346
Anous_minutus	11428	1991	1550
Pterodroma_leucoptera	8999	1991	212
Gygis_alba	8924	1991	0
Anous_stolidus	8920	1991	0
Phaethon_aethereus	6443	1991	870
Sterna_dougallii	5692	1991	0
Papasula_abbotti	2249	1991	2500
Spheniscus_humboldti	2160	1991	10000
Thalasseus_bergii	25344	1992	101
Hydroprogne_caspia	25343	1992	20
Larus_dominicanus	25339	1992	481
Spheniscus_demersus	25322	1992	3784
Spheniscus_demersus	25321	1992	24
Spheniscus_demersus	25320	1992	372
Gygis_alba	11435	1992	56
Onychoprion_lunatus	11434	1992	409
Phaethon_rubricauda	11433	1992	830
Sula_sula	11432	1992	1362
Sula_dactylatra	11431	1992	18
Fregata_minor	11430	1992	532
Anous_stolidus	11429	1992	2521
Anous_minutus	11428	1992	175
Saundersilarus_saundersi	11201	1992	1300
Spheniscus_humboldti	10982	1992	1.046
Pterodroma_leucoptera	8999	1992	248
Phaethon_rubricauda	8995	1992	157
Gygis_alba	8924	1992	8.402
Anous_stolidus	8920	1992	0
Phaethon_aethereus	6443	1992	810
Sterna_dougallii	5692	1992	610
Phoebastria_immutabilis	2119	1992	429300
Phoebastria_albatrus	2118	1992	600
Hydroprogne_caspia	25343	1993	7
Larus_dominicanus	25339	1993	499
Morus_capensis	25323	1993	56170
Spheniscus_demersus	25322	1993	2293
Spheniscus_demersus	25321	1993	21
Spheniscus_demersus	25320	1993	375
Spheniscus_demersus	25319	1993	19478
Spheniscus_demersus	25318	1993	31
Spheniscus_demersus	25317	1993	549
Anous_tenuirostris	19107	1993	8375
Anous_tenuirostris	19106	1993	5249
Anous_tenuirostris	19105	1993	35010
Pluvialis_squatarola	12400	1993	666
Numenius_phaeopus	12189	1993	327
Calidris_tenuirostris	12015	1993	2758
Gygis_alba	11435	1993	68
Onychoprion_lunatus	11434	1993	337
Phaethon_rubricauda	11433	1993	737
Sula_sula	11432	1993	1580
Sula_dactylatra	11431	1993	23
Fregata_minor	11430	1993	494
Anous_stolidus	11429	1993	2554
Anous_minutus	11428	1993	2260
Spheniscus_humboldti	10982	1993	2.542
Pterodroma_leucoptera	8999	1993	528
Phaethon_rubricauda	8995	1993	112
Gygis_alba	8924	1993	2.396
Anous_stolidus	8920	1993	0
Spheniscus_mendiculus	6448	1993	400
Phaethon_aethereus	6443	1993	750
Sterna_dougallii	5692	1993	315
Spheniscus_mendiculus	2161	1993	1161
Hydroprogne_caspia	25343	1994	50
Larus_dominicanus	25339	1994	454
Morus_capensis	25323	1994	65816
Pluvialis_squatarola	12400	1994	419
Numenius_phaeopus	12189	1994	234
Calidris_tenuirostris	12015	1994	2453
Gygis_alba	11435	1994	62
Onychoprion_lunatus	11434	1994	226
Phaethon_rubricauda	11433	1994	965
Sula_sula	11432	1994	1040
Sula_dactylatra	11431	1994	29
Fregata_minor	11430	1994	461
Anous_stolidus	11429	1994	3436
Anous_minutus	11428	1994	2318
Saundersilarus_saundersi	11201	1994	1024
Spheniscus_humboldti	10982	1994	2.592
Pterodroma_leucoptera	8999	1994	589
Phaethon_rubricauda	8995	1994	228
Sula_sula	8994	1994	133
Sula_sula	8993	1994	658
Gygis_alba	8924	1994	0
Anous_stolidus	8920	1994	0
Spheniscus_mendiculus	6448	1994	700
Phaethon_aethereus	6443	1994	980
Sterna_dougallii	5692	1994	426
Spheniscus_mendiculus	2161	1994	1531
Phoebastria_irrorata	2120	1994	33800
Phoebastria_albatrus	2118	1994	725
Hydroprogne_caspia	25343	1995	0
Larus_dominicanus	25339	1995	467
Morus_capensis	25323	1995	65816
Spheniscus_demersus	25322	1995	3651
Anous_tenuirostris	19107	1995	10493
Anous_tenuirostris	19106	1995	8929
Anous_tenuirostris	19105	1995	19780
Numenius_phaeopus	12523	1995	2.2
Pluvialis_squatarola	12520	1995	7.7
Charadrius_semipalmatus	12518	1995	17
Calidris_alba	12513	1995	130
Arenaria_interpres	12474	1995	296
Pluvialis_squatarola	12473	1995	610
Numenius_phaeopus	12471	1995	1554
Limosa_lapponica	12450	1995	192365
Pluvialis_squatarola	12400	1995	356
Numenius_phaeopus	12189	1995	330
Calidris_tenuirostris	12015	1995	2453
Gygis_alba	11435	1995	68
Onychoprion_lunatus	11434	1995	329
Phaethon_rubricauda	11433	1995	1026
Sula_sula	11432	1995	1563
Sula_dactylatra	11431	1995	32
Fregata_minor	11430	1995	640
Anous_stolidus	11429	1995	2788
Anous_minutus	11428	1995	2225
Spheniscus_humboldti	10983	1995	7500
Spheniscus_humboldti	10982	1995	3.115
Pterodroma_leucoptera	8999	1995	620
Phaethon_rubricauda	8995	1995	223
Sula_sula	8994	1995	75
Sula_sula	8993	1995	1582
Gygis_alba	8924	1995	0
Anous_stolidus	8920	1995	0
Spheniscus_mendiculus	6448	1995	725
Phaethon_aethereus	6443	1995	1010
Sterna_dougallii	5692	1995	611
Spheniscus_mendiculus	2161	1995	1480
Hydroprogne_caspia	25343	1996	40
Larus_dominicanus	25339	1996	448
