ID,min_year,max_year
2118,1955,2005
2119,1992,2007
2120,1971,2001
2159,1981,1998
2160,1981,1991
2161,1970,2003
2248,1967,1989
2249,1967,1991
5116,1996,2006
5117,1996,2006
5118,1996,2006
5119,1996,2006
5120,1996,2006
5121,1996,2006
5122,1996,2006
5123,1996,2006
5124,1996,2006
5125,1996,2006
5126,1996,2006
5127,1996,2006
5128,1996,2006
5129,1996,2006
5130,1996,2006
5131,1996,2006
5132,1996,2006
5563,1996,1997
5692,1986,2001
5736,1996,1999
6350,1996,2000
6380,1983,1985
6381,1983,1985
6384,1983,1985
6385,1983,1985
6443,1979,2003
6448,1970,1997
8520,2004,2007
8920,1976,1998
8924,1976,1998
8974,1996,2000
8975,1996,2000
8976,1996,2000
8977,1996,2000
8978,1996,2000
8979,1996,2000
8980,1996,2000
8981,1996,2000
8982,1996,2000
8983,1997,2000
8984,1997,2000
8985,1997,2000
8986,1997,2000
8987,1997,2000
8988,1997,2000
8989,1996,2000
8993,1994,2007
8994,1994,2007
8995,1992,2007
8998,2001,2003
8999,1989,2007
9000,1999,2007
10332,1978,1988
10336,1978,1988
10341,1978,1988
10343,1978,1988
10344,1978,1988
10982,1992,2000
10983,1981,1996
11201,1992,2007
11425,2005,2010
11428,1980,2009
11429,1980,2009
11430,1984,2009
11431,1990,2009
11432,1980,2009
11433,1980,2009
11434,1980,2009
11435,1980,2009
11745,2011,2012
11746,2011,2012
12015,1993,2008
12160,2002,2010
12161,1970,1971
12163,2001,2002
12164,2000,2001
12167,2004,2008
12168,2004,2008
12169,2001,2008
12170,2004,2008
12171,2001,2008
12172,2004,2008
12174,2004,2008
12178,2001,2008
12181,2004,2008
12182,2004,2008
12184,1982,2004
12185,1982,2004
12189,1993,1998
12213,1988,1990
12228,2000,2012
12229,2000,2012
12281,1985,1987
12361,2000,2012
12396,2002,2010
12397,1999,2006
12398,1999,2006
12400,1993,1998
12401,2001,2002
12450,1995,2012
12453,2004,2011
12463,2000,2012
12464,1999,2012
12468,2000,2012
12471,1995,1997
12473,1995,1997
12474,1995,1997
12478,2004,2008
12479,2001,2008
12480,2004,2008
12481,2004,2008
12482,2001,2008
12483,2004,2008
12484,2004,2008
12485,2001,2008
12486,2003,2010
12487,2003,2010
12493,2001,2003
12495,2001,2003
12496,2001,2003
12498,2001,2003
12499,2001,2003
12513,1995,2000
12518,1995,2000
12520,1995,2000
12523,1995,2000
12533,2008,2010
17930,1999,2008
19105,1986,2014
19106,1989,2014
19107,1989,2013
19701,2009,2015
21317,2006,2016
23378,2011,2012
23382,1979,2012
23383,1979,2012
25317,1981,2008
25318,1986,2007
25319,1956,2008
25320,1956,2007
25321,1956,2008
25322,1956,2008
25323,1956,2008
25324,1981,2004
25325,1997,2008
25326,1981,2008
25327,1979,2008
25328,1978,2008
25339,1979,2008
25340,2003,2012
25343,1982,2008
25344,1992,2001
25345,2003,2012
25346,2005,2012
25348,2003,2012
25350,2005,2012
25351,2003,2012
25361,2008,2012
25363,2003,2012
25377,2010,2011
27085,1982,2004
27086,1982,2004
27087,1982,2004
27088,1982,2004
27089,1982,2004
27090,1982,2004
27091,1982,2004
27092,1982,2004
27093,1982,2004
27094,1982,2004
27095,1982,2004
27096,1982,2004
27097,1982,2004
27098,1999,2004
27099,1999,2006
27100,1999,2006
27101,1999,2006
27102,1999,2005
27103,1999,2006
27104,1999,2006
27105,1999,2006
27106,1999,2006
27107,2000,2006
27108,1999,2006
27109,1999,2006
27110,2004,2011
27111,2006,2010
27112,2004,2011
27113,2004,2011
