ID,min_year,max_year
1504,1978,1989
1540,1950,1980
1564,1975,2011
2059,1951,1988
2060,1962,2008
2073,1977,1990
2075,1971,1980
2076,1966,2012
2083,1980,1990
2088,1974,1989
2089,1975,1989
2111,1968,1980
2112,1978,1993
2243,1960,1985
2244,1956,1984
2245,1977,1986
2246,1952,1977
2247,1991,1995
4866,1993,2001
6089,1963,1972
6199,1997,1999
6200,1997,2000
6236,1996,1997
6307,1989,1991
6341,1995,1997
6444,1995,1999
6445,1995,1999
7670,1995,2004
7701,1978,2003
7821,1973,1988
7823,1973,1988
7824,1973,1988
7825,1973,1988
7826,1973,1988
7827,1974,1988
7828,1973,1988
7829,1973,1988
7830,1973,1988
7831,1973,1988
8473,1990,1999
8476,1990,1999
8477,1990,1999
8478,1990,1999
8479,1990,1999
8494,1978,2003
8495,1978,2003
8496,1978,2003
8497,1978,2003
8498,1978,2003
8499,1978,2003
8500,1978,2003
8501,1978,2003
8502,1978,2003
8503,1978,2003
8504,1978,2003
8505,1978,2003
8506,1978,2003
9057,1966,1993
9058,1980,1993
9236,1981,1994
9237,1981,1994
9240,1967,1982
9261,1994,2000
9264,1994,2000
9265,1994,2000
9266,1994,2000
9268,1994,2000
9269,1994,2000
9271,1994,2000
9272,1994,2000
9273,1994,2000
9274,1994,2000
9275,1994,2000
9276,1994,2000
9278,1994,2000
9279,1994,2000
9280,1994,2000
9281,1994,2000
9282,1994,2000
9284,2002,2005
9286,2002,2005
9288,2002,2005
9349,1986,1999
9350,1986,1999
9352,1995,2005
9363,1995,2005
9364,1995,2005
9365,1995,2005
9366,1995,2014
9367,1995,2014
9368,1995,2005
9369,1995,2014
9370,1986,1999
9371,1995,2005
9372,1995,2014
9373,1995,2005
9377,1995,2005
9378,1995,2005
9380,1995,2005
9386,1995,2014
9387,1995,2005
9388,1995,2005
9389,1995,2005
9390,1995,2005
9392,1996,2005
9393,1996,2005
9395,1996,2005
9396,1996,2005
9397,1996,2005
9398,1996,2005
9399,1996,2005
9467,1990,1999
9486,1981,1992
9487,1981,1992
9488,1981,1992
9489,1981,1992
9491,1981,1992
