Binomial	ID	year	popvalue
Dermochelys_coriacea	8957	1956	12000
Dermochelys_coriacea	8957	1957	9600
Dermochelys_coriacea	8957	1958	8900
Dermochelys_coriacea	8957	1959	8200
Dermochelys_coriacea	8957	1960	7700
Dermochelys_coriacea	8957	1961	7000
Dermochelys_coriacea	8957	1962	6300
Dermochelys_coriacea	8957	1963	5500
Dermochelys_coriacea	8957	1964	4800
Caretta_caretta	15321	1965	386.79
Dermochelys_coriacea	15313	1965	35.22
Dermochelys_coriacea	8957	1965	4200
Caretta_caretta	15321	1966	364.12
Dermochelys_coriacea	15313	1966	10.44
Dermochelys_coriacea	8957	1966	3300
Caretta_caretta	15321	1967	680.39
Dermochelys_coriacea	15313	1967	25.66
Dermochelys_coriacea	8957	1967	2700
Caretta_caretta	15321	1968	390.41
Dermochelys_coriacea	15313	1968	23.41
Dermochelys_coriacea	8957	1968	6800
Dermochelys_coriacea	8551	1968	3103
Caretta_caretta	15327	1969	298
Caretta_caretta	15321	1969	749.77
Dermochelys_coriacea	15313	1969	64.46
Dermochelys_coriacea	8957	1969	5000
Natator_depressus	7730	1969	8
Caretta_caretta	15327	1970	368
Caretta_caretta	15321	1970	752.87
Dermochelys_coriacea	15313	1970	30.09
Natator_depressus	11255	1970	47
Dermochelys_coriacea	8957	1970	4200
Dermochelys_coriacea	8551	1970	1760
Natator_depressus	7730	1970	3
Chelonia_mydas	2258	1970	2587
Chelonia_mydas	2257	1970	5450
Caretta_caretta	15327	1971	285
Caretta_caretta	15321	1971	847.89
Dermochelys_coriacea	15313	1971	74.63
Eretmochelys_imbricata	15287	1971	25.86
Natator_depressus	11255	1971	42
Dermochelys_coriacea	8957	1971	6400
Natator_depressus	7730	1971	3
Chelonia_mydas	2258	1971	1970
Caretta_caretta	15327	1972	414
Caretta_caretta	15321	1972	678.53
Dermochelys_coriacea	15313	1972	47.06
Eretmochelys_imbricata	15287	1972	74.36
Dermochelys_coriacea	8957	1972	2800
Dermochelys_coriacea	8551	1972	2926
Natator_depressus	7730	1972	9
Chelonia_mydas	2258	1972	2616
Caretta_caretta	15327	1973	631
Caretta_caretta	15320	1973	922.99
Dermochelys_coriacea	15314	1973	73.98
Eretmochelys_imbricata	15287	1973	68.96
Dermochelys_coriacea	8957	1973	2100
Natator_depressus	7730	1973	6
Chelonia_mydas	6369	1973	64
Chelonia_mydas	2258	1973	3187
Chelonia_mydas	2257	1973	5100
Lepidochelys_olivacea	2242	1973	240
Chelonia_mydas	2238	1973	70
Caretta_caretta	15327	1974	387
Caretta_caretta	15320	1974	940.5
Dermochelys_coriacea	15314	1974	98.09
Eretmochelys_imbricata	15287	1974	101.83
Chelonia_mydas	11223	1974	1126
Dermochelys_coriacea	8957	1974	2200
Dermochelys_coriacea	8551	1974	1377
Natator_depressus	7730	1974	5
Chelonia_mydas	6369	1974	104
Chelonia_mydas	2258	1974	2055
Chelonia_mydas	2257	1974	3730
Lepidochelys_olivacea	2242	1974	225
Chelonia_mydas	2238	1974	110
Caretta_caretta	15327	1975	469
Caretta_caretta	15320	1975	900.47
Dermochelys_coriacea	15314	1975	56.55
Eretmochelys_imbricata	15287	1975	40.43
Chelonia_mydas	11223	1975	12
Dermochelys_coriacea	8957	1975	2000
Natator_depressus	7730	1975	1
Chelonia_mydas	6369	1975	106
Chelonia_mydas	2258	1975	2000
Chelonia_mydas	2257	1975	3900
Lepidochelys_olivacea	2242	1975	295
Chelonia_mydas	2238	1975	120
Caretta_caretta	15327	1976	428
Caretta_caretta	15320	1976	886.4
Dermochelys_coriacea	15314	1976	79.28
Eretmochelys_imbricata	15287	1976	93.17
Chelonia_mydas	11223	1976	352
Chelonia_mydas	11222	1976	832
Dermochelys_coriacea	8957	1976	2700
Dermochelys_coriacea	8551	1976	1067
Natator_depressus	7730	1976	8
Chelonia_mydas	6369	1976	24
Chelonia_mydas	2258	1976	2893
Lepidochelys_olivacea	2242	1976	225
Chelonia_mydas	2238	1976	40
Caretta_caretta	15327	1977	506
Caretta_caretta	15320	1977	834.82
Dermochelys_coriacea	15314	1977	89.43
Eretmochelys_imbricata	15287	1977	116.14
Chelonia_mydas	11223	1977	50
Chelonia_mydas	11222	1977	119
Dermochelys_coriacea	8957	1977	3700
Natator_depressus	7730	1977	7
Chelonia_mydas	2259	1977	1000
Chelonia_mydas	2258	1977	1604
Chelonia_mydas	2257	1977	3150
Lepidochelys_olivacea	2242	1977	175
Chelonia_mydas	2238	1977	80
Caretta_caretta	2237	1977	690
Caretta_caretta	15327	1978	487
Caretta_caretta	15320	1978	812.06
Dermochelys_coriacea	15314	1978	53.82
Eretmochelys_imbricata	15287	1978	54.74
Chelonia_mydas	11223	1978	313
Chelonia_mydas	11222	1978	356
Dermochelys_coriacea	8957	1978	800
Dermochelys_coriacea	8551	1978	600
Natator_depressus	7730	1978	13
Chelonia_mydas	6369	1978	57
Chelonia_mydas	2259	1978	2500
Chelonia_mydas	2258	1978	2507
Chelonia_mydas	2257	1978	3300
Lepidochelys_olivacea	2242	1978	200
Chelonia_mydas	2238	1978	100
Caretta_caretta	2237	1978	404
Lepidochelys_olivacea	23320	1979	238
Caretta_caretta	15327	1979	353
Caretta_caretta	15320	1979	869.74
Dermochelys_coriacea	15314	1979	83.53
Eretmochelys_imbricata	15287	1979	98.97
Chelonia_mydas	11223	1979	515
Chelonia_mydas	11222	1979	1307
Dermochelys_coriacea	8957	1979	1100
Natator_depressus	7730	1979	2
Eretmochelys_imbricata	2262	1979	470
Chelonia_mydas	2259	1979	3500
Chelonia_mydas	2258	1979	2056
