ID,min_year,max_year
2150,1976,2005
2355,1989,2004
2356,1974,2004
2357,1993,2001
2358,2001,2004
2359,1973,2003
2360,2002,2004
2361,1979,1999
2362,1979,1999
2373,1983,1986
2374,1983,1986
2375,1983,1986
2376,1983,1986
2377,1983,1986
2378,1983,1986
2379,1983,1986
2380,1983,1986
2381,1983,1986
2382,1983,1986
2383,1983,1986
2384,1983,1986
5183,2000,2006
5835,1969,1992
6473,1993,1994
7833,1990,2007
8654,1978,1997
8662,1990,2007
8663,1990,2007
9060,1975,2005
9068,1984,2002
9169,1996,2005
9204,1995,1999
9205,1995,1999
9744,1999,2014
11323,1981,1996
11324,2002,2003
11331,1979,1982
11332,1984,2009
11335,1977,1997
11341,1989,1994
11354,2004,2006
11356,2004,2006
11698,2011,2015
11709,1977,1996
11747,1973,1981
12017,1969,2008
12019,1993,1999
12020,1987,2001
12022,1988,2000
12023,1986,2007
12024,1970,1995
12025,1985,2010
12028,1983,2010
12040,1983,2010
12050,1997,2012
12053,2000,2011
12054,1963,1990
12055,1981,1999
12056,1982,2010
15383,1979,1998
15388,1999,2007
15389,2000,2003
15390,2000,2003
15392,1979,1998
15407,1999,2005
15418,1999,2007
15419,1979,1998
15425,1979,1998
15427,1979,1998
15428,1979,1998
15430,1999,2007
15432,1979,1998
15434,1979,1998
18518,1974,1975
23337,1994,2005
23346,1999,2002
23348,1996,2008
23349,2012,2015
23352,1996,2014
23353,1996,2014
23354,2000,2012
23355,2007,2015
23356,1983,1997
23381,1979,2012
23382,1979,2012
23383,1979,2012
