Binomial	ID	year	popvalue
Arctocephalus_townsendi	2185	1954	0
Monachus_schauinslandi	2216	1955	925
Arctocephalus_townsendi	2185	1955	100
Arctocephalus_townsendi	2185	1956	40
Mirounga_angustirostris	2213	1957	13000
Arctocephalus_townsendi	2185	1957	200
Monachus_schauinslandi	2215	1958	925
Monachus_schauinslandi	2214	1958	1200
Stenella_longirostris	2231	1959	1438000
Stenella_attenuata	2230	1959	6.6
Stenella_attenuata	2230	1960	6.5
Eumetopias_jubatus	2202	1960	154000
Stenella_attenuata	2230	1961	6
Stenella_attenuata	2230	1962	5.7
Megaptera_novaeangliae	5849	1963	0.75
Stenella_attenuata	2230	1963	5.5
Stenella_attenuata	2230	1964	5.3
Arctocephalus_townsendi	2185	1964	230
Stenella_attenuata	2230	1965	5.1
Arctocephalus_townsendi	2185	1965	300
Stenella_attenuata	2230	1966	4.8
Arctocephalus_townsendi	2185	1966	380
Stenella_attenuata	2230	1967	4.6
Arctocephalus_townsendi	2185	1967	150
Stenella_attenuata	2230	1968	4.5
Arctocephalus_townsendi	2185	1968	100
Stenella_attenuata	2230	1969	4.3
Arctocephalus_townsendi	2185	1969	300
Stenella_attenuata	2230	1970	4
Arctocephalus_townsendi	2185	1970	400
Arctocephalus_philippii	2183	1970	750
Otaria_flavescens	25386	1971	22586
Eubalaena_australis	6227	1971	19
Stenella_attenuata	2230	1971	3.7
Balaenoptera_edeni	2189	1971	22500
Eubalaena_australis	6227	1972	26
Stenella_attenuata	2230	1972	3.6
Eubalaena_australis	6227	1973	21
Stenella_attenuata	2230	1973	3.4
Eubalaena_australis	6227	1974	31
Stenella_attenuata	2230	1974	3.3
Orcinus_orca	2220	1974	70
Arctocephalus_australis	2181	1974	10184
Otaria_flavescens	25386	1975	19623
Eubalaena_australis	6227	1975	27
Stenella_attenuata	2230	1975	3.2
Arctocephalus_townsendi	2185	1975	200
Eubalaena_australis	6227	1976	23
Megaptera_novaeangliae	5849	1976	0.96
Stenella_attenuata	2230	1976	3.2
Mirounga_angustirostris	2213	1976	48000
Arctocephalus_townsendi	2185	1976	350
Otaria_flavescens	25386	1977	14684
Neophocaena_phocaenoides	11057	1977	16.5
Neophocaena_phocaenoides	11056	1977	19.6
Neophocaena_phocaenoides	11055	1977	9.1
Neophocaena_phocaenoides	11054	1977	18.2
Eubalaena_australis	6227	1977	35
Megaptera_novaeangliae	5849	1977	1.2
Stenella_attenuata	2230	1977	3.2
Balaenoptera_edeni	2189	1977	17800
Arctocephalus_townsendi	2185	1977	500
Arctocephalus_australis	2181	1977	15616
Otaria_flavescens	25386	1978	24561
Eubalaena_australis	6227	1978	38
Megaptera_novaeangliae	5849	1978	0.94
Stenella_attenuata	2230	1978	3.3
Arctocephalus_townsendi	2185	1978	350
Arctocephalus_australis	2181	1978	22036
Eubalaena_australis	6227	1979	24
Stenella_longirostris	5309	1979	449000
Stenella_attenuata	5308	1979	708000
Stenella_attenuata	2230	1979	3.3
Eubalaena_australis	6227	1980	34
Stenella_longirostris	5309	1980	271000
Stenella_attenuata	5308	1980	740000
Monachus_schauinslandi	2214	1980	475
Monachus_schauinslandi	11929	1981	22.0922
Eubalaena_australis	6227	1981	50
Megaptera_novaeangliae	2212	1981	1407
Monachus_schauinslandi	11929	1982	24.1122
Eubalaena_australis	6227	1982	41.5
Megaptera_novaeangliae	5849	1982	2.78
Stenella_longirostris	5309	1982	285000
Stenella_attenuata	5308	1982	605000
Arctocephalus_townsendi	2185	1982	900
Monachus_schauinslandi	11929	1983	22.8975
Balaenoptera_physalus	6382	1983	0.46
Delphinus_delphis	6379	1983	98.67
Balaenoptera_edeni	6378	1983	1.28
Eubalaena_australis	6227	1983	40.5
Stenella_longirostris	5309	1983	619000
Stenella_attenuata	5308	1983	548000
Arctocephalus_townsendi	2185	1983	1300
Otaria_flavescens	25386	1984	33944
Dugong_dugon	14937	1984	2899
Monachus_schauinslandi	11929	1984	24.1221
Balaenoptera_physalus	6382	1984	0.12
Delphinus_delphis	6379	1984	52.24
Balaenoptera_edeni	6378	1984	0.77
Eubalaena_australis	6227	1984	64.5
Dugong_dugon	14937	1985	2542
Dugong_dugon	11931	1985	7915.8879
Monachus_schauinslandi	11929	1985	24.5513
Monachus_schauinslandi	9128	1985	505
Balaenoptera_physalus	6382	1985	0.1
Delphinus_delphis	6379	1985	9.72
Balaenoptera_edeni	6378	1985	0.39
Eubalaena_australis	6227	1985	53.5
Physeter_catodon	4728	1985	4000
Monachus_schauinslandi	2216	1985	500
Monachus_schauinslandi	2215	1985	500
Arctocephalus_townsendi	2185	1985	2475
Arctocephalus_philippii	2183	1985	4700
Monachus_schauinslandi	11929	1986	28.5335
Megaptera_novaeangliae	9239	1986	26
Megaptera_novaeangliae	9238	1986	74
Monachus_schauinslandi	9128	1986	575
Otaria_flavescens	9051	1986	953
Eubalaena_australis	6227	1986	46.5
Stenella_longirostris	5309	1986	536000
Stenella_attenuata	5308	1986	494000
Physeter_catodon	4728	1986	3450
Tursiops_aduncus	2252	1986	75
Sousa_chinensis	2251	1986	44
Dugong_dugon	2250	1986	3047
Monachus_schauinslandi	2216	1986	570
Monachus_schauinslandi	2215	1986	575
Dugong_dugon	2194	1986	3500
Dugong_dugon	11932	1987	13310.6398
Monachus_schauinslandi	11929	1987	27.1597
Megaptera_novaeangliae	9239	1987	41
Megaptera_novaeangliae	9238	1987	71
Monachus_schauinslandi	9128	1987	545
Eubalaena_australis	6227	1987	71
Phocoena_sinus	5652	1987	503
Stenella_longirostris	5309	1987	443000
Stenella_attenuata	5308	1987	501000
Physeter_catodon	4728	1987	2800
Phocoena_sinus	2229	1987	503
Monachus_schauinslandi	2216	1987	530
Monachus_schauinslandi	2215	1987	550
Monachus_schauinslandi	2214	1987	585
Arctocephalus_townsendi	2184	1987	6000
Monachus_schauinslandi	11929	1988	30.5587
Megaptera_novaeangliae	9239	1988	73
Megaptera_novaeangliae	9238	1988	74
Monachus_schauinslandi	9128	1988	575
Eubalaena_australis	6227	1988	68
Megaptera_novaeangliae	5668	1988	553
Stenella_longirostris	5309	1988	636000
Stenella_attenuata	5308	1988	868000
Physeter_catodon	4728	1988	2400
Phocoena_sinus	2229	1988	855
Monachus_schauinslandi	2216	1988	480
Monachus_schauinslandi	2215	1988	485
Neophocaena_phocaenoides	11061	1989	0.045
Neophocaena_phocaenoides	11060	1989	0.023
Neophocaena_phocaenoides	11059	1989	0.193
Neophocaena_phocaenoides	11058	1989	0.287
Megaptera_novaeangliae	9239	1989	106
Megaptera_novaeangliae	9238	1989	83
Monachus_schauinslandi	9128	1989	515
Eubalaena_australis	6227	1989	78
Megaptera_novaeangliae	5672	1989	80
Megaptera_novaeangliae	5670	1989	231
Megaptera_novaeangliae	5668	1989	705
Phocoena_sinus	5652	1989	855
Stenella_longirostris	5309	1989	734000
Stenella_attenuata	5308	1989	954000
Physeter_catodon	4728	1989	1900
Monachus_schauinslandi	2216	1989	500
Monachus_schauinslandi	2215	1989	423
Dugong_dugon	11931	1990	10186.9159
Neophocaena_phocaenoides	11061	1990	0.039
Neophocaena_phocaenoides	11060	1990	0.027
Neophocaena_phocaenoides	11059	1990	0.219
Neophocaena_phocaenoides	11058	1990	0.282
Megaptera_novaeangliae	9239	1990	48
Megaptera_novaeangliae	9238	1990	218
Monachus_schauinslandi	9128	1990	440
Eubalaena_australis	6227	1990	76
Megaptera_novaeangliae	5672	1990	91
Megaptera_novaeangliae	5670	1990	286
Megaptera_novaeangliae	5668	1990	847
Stenella_longirostris	5309	1990	459000
Stenella_attenuata	5308	1990	666000
Physeter_catodon	4728	1990	1500
Monachus_schauinslandi	2216	1990	430
Monachus_schauinslandi	2215	1990	400
Dugong_dugon	11932	1991	19831.0169
Neophocaena_phocaenoides	11061	1991	0.025
Neophocaena_phocaenoides	11060	1991	0.027
Neophocaena_phocaenoides	11059	1991	0.346
Neophocaena_phocaenoides	11058	1991	0.276
Megaptera_novaeangliae	9239	1991	189
Megaptera_novaeangliae	9238	1991	109
Monachus_schauinslandi	9128	1991	400
Eubalaena_australis	6227	1991	76
