ID,min_year,max_year
2181,1974,2005
2183,1970,1991
2184,1987,1994
2185,1954,1992
2189,1971,1977
2194,1986,1999
2202,1960,1992
2212,1981,1992
2213,1957,1992
2214,1958,1987
2215,1958,2002
2216,1955,1999
2220,1974,2001
2229,1987,1993
2230,1959,1979
2231,1959,1993
2250,1986,1999
2251,1986,1999
2252,1986,1999
4728,1985,1995
5308,1979,2000
5309,1979,2000
5652,1987,1997
5668,1988,1996
5670,1989,1991
5672,1989,1990
5849,1963,1982
6227,1971,2000
6378,1983,1985
6379,1983,1985
6382,1983,1985
9051,1986,2002
9052,1994,2002
9128,1985,2002
9238,1986,1993
9239,1986,1992
11054,1977,2000
11055,1977,2000
11056,1977,2000
11057,1977,2000
11058,1989,1991
11059,1989,1991
11060,1989,1991
11061,1989,1991
11199,1995,2001
11426,2000,2002
11427,2000,2002
11583,2000,2004
11590,2000,2004
11591,2000,2004
11901,2000,2004
11929,1981,1988
11931,1985,2000
11932,1987,2006
11933,1992,2005
14937,1984,1985
14938,1997,1999
15005,2005,2009
18233,2008,2012
18294,2006,2009
19765,2008,2009
23345,1999,2002
23346,1999,2002
23347,2000,2015
23351,1996,2014
23352,1996,2014
23353,1996,2014
25386,1971,2005
