"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Arctocephalus_australis","Arctocephalus_australis",13,1,NA,NA,NA,NA,0.0618838032256726,0.0618838032256726,0.0618838032256726,0.149562963378668,0.0073882476910665,0.00738824769106561,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,0.0073882476910665,-0.014434769369343,-0.0144347693693438,-0.0144347693693438,-0.014434769369343,-0.32194441076907,-0.27051858815225,0.117924100688428,0.0936281349796495,-0.0936281349796495,-0.00026460396962058,0.046946369474635,0.046946369474635,0.148024627326238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctocephalus_philippii","Arctocephalus_philippii",3,1,0.0531357729696009,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0531357729696009,0.0531357729696014,0.0678472313519847,0.0678472313519842,0.0678472313519847,0.0678472313519847,0.0678472313519842,0.0678472313519851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arctocephalus_townsendi","Arctocephalus_townsendi",23,1,-0.058221969974904,-0.0582219699749036,-0.058221969974904,-0.0582219699749036,-0.058221969974904,0.234549015400922,0.15145933406679,-0.15145933406679,0.100783162022034,0.100783162022034,0.100783162022034,0.100783162022034,0.158308557203565,0.139069844906266,0.139069844906266,0.0415255596946924,0.0415255596946924,0.0233408532609052,0.0233408532609047,0.0233408532609047,0.0233408532609047,0.0429105420198457,0.00515614682711707,0.0606128423275316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_edeni","Balaenoptera_edeni",5,1,NA,-0.0169604193004114,-0.0169604193004114,-0.0169604193004114,-0.0169604193004114,-0.0169604193004123,-0.0169604193004114,NA,NA,NA,NA,NA,NA,-0.220719244475386,-0.295426118145983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_physalus","Balaenoptera_physalus",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.583576585633949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinus_capensis","Delphinus_capensis",19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048224574905205,-0.0482245749052009,-0.048224574905173,-0.0482245749051083,-0.0482245749050207,-0.0482245749049368,-0.0482245749048676,-0.0482245749047976,-0.0482245749047108,-0.0482245749046256,-0.0482245749045895,-0.0482245749046371,-0.048224574904756,-0.0482245749048972,-0.0482245749050167,-0.0482245749051007,-0.0482245749051532,-0.0482245749051787,NA
"Delphinus_delphis","Delphinus_delphis",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.276181959935299,-0.730336903340743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dugong_dugon","Dugong_dugon",25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0570726691370083,0.0219086170820675,-0.00714814895439867,0.00546051662881664,0.00546051662881619,0.00546051662881664,-0.0056739982331,-0.0113746400692751,-0.0794726784438114,0.0290393518533902,0.0237044742409118,0.0309966405128025,0.0132935168337243,-0.00758436254588516,0.0263729929207112,0.00518799555687928,0.000866298838391177,0.0280135880092016,0.0280135880092023,0.0280135880092021,0.0280135880092021,0.0407328908179529,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eubalaena_australis","Eubalaena_australis",30,1,NA,0.0295306946689451,0.0295306946689313,0.0295306946689247,0.0295306946689387,0.0295306946689897,0.0295306946690692,0.0295306946691767,0.0295306946693084,0.029530694669452,0.0295306946695815,0.0295306946696656,0.029530694669694,0.0295306946696841,0.0295306946696512,0.029530694669603,0.0295306946695346,0.0295306946694462,0.0295306946693459,0.0295306946692568,0.02953069466919,0.0295306946691609,0.029530694669168,0.0295306946691962,0.0295306946692282,0.0295306946692535,0.0295306946692713,0.0295306946692944,0.0295306946693192,0.0295306946693334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eumetopias_jubatus","Eumetopias_jubatus",2,1,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971414,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971414,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,-0.0182956477971405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Megaptera_novaeangliae","Megaptera_novaeangliae",79,1,0.00824692074214377,0.00824692074214359,0.00824692074214383,0.00824692074214368,0.00824692074214373,0.00824692074214369,0.0969100130080564,-0.106053392447926,0.117729235579594,0.117729235579594,0.117729235579594,0.079515000652775,0.0413007657259556,0.0413007657259556,0.0413007657259552,0.0413007657259556,0.0953104170025526,0.112881829772586,0.0916893178397011,-0.0034148502703358,0.138385653842103,-0.160691326906837,0.00567795546971062,-0.0214728094173355,-0.00522110167219347,0.00755973768889273,-0.0785732951754108,-0.0732140682843352,-0.0621635029045868,-0.0458524996222072,0.116671356269692,-0.106851968536934,0.0230777594336629,0.097992459621896,0.10217265861859,0.14876908534138,0.102272192018103,0.0452025640053333,0.0460624417589454,0.145952077647682,0.144164967563754,0.14201812135459,0.140255653112253,0.139367339242925,NA
"Mirounga_angustirostris","Mirounga_angustirostris",3,1,0.0298577834246716,0.0298577834246707,0.0298577834246707,0.0298577834246716,0.0298577834246707,0.0298577834246716,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,0.0259792984770293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monachus_schauinslandi","Monachus_schauinslandi",61,1,-0.0139378487200109,-0.0132923359809719,-0.0125973808178538,-0.011852983230621,-0.0110591432192885,-0.0102158607838615,-0.00932313592432058,-0.00838096864069149,-0.00738935893295759,-0.00634830680112053,0.00514821177434222,0.00878551868404603,0.0097782842237249,0.0108958746672371,0.01209428664643,0.0171134537164993,0.00633034312196288,-0.0144801468289398,-0.0402421991120806,-0.0357140689125604,-0.0223053925680272,-0.0134205766517194,-0.0113117019354649,-0.00801908536345453,0.00208657578792145,0.0157494418823846,0.0184012906689217,0.00460702600639055,-0.0136586978669639,-0.0321300474181847,-0.0206729389830815,-0.00633272215106806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
