FileName	Group	Weighting	WeightingB
m_AtNoTemp_Aves_pops.txt	1	0.068635	0.146489				
m_AtNoTemp_Mammalia_pops.txt	1	0.009774	0.146489
m_AtNoTemp_Herps_pops.txt	1	0.001303	0.146489
m_AtNoTemp_Fish_pops.txt	1	0.920286	0.146489
m_AtTrSub_Aves_pops.txt	2	0.069353	0.214706
m_AtTrSub_Mammalia_pops.txt	2	0.006224	0.214706
m_AtTrSub_Herps_pops.txt	2	0.001630	0.214706
m_AtTrSub_Fish_pops.txt	2	0.922791	0.214706
m_Arctic_Aves_pops.txt	3	0.172867	0.014541
m_Arctic_Mammalia_pops.txt	3	0.035011	0.014541
m_Arctic_Fish_pops.txt	3	0.792123	0.014541
m_SoTeAnt_Aves_pops.txt	4	0.054261	0.099685
m_SoTeAnt_Mammalia_pops.txt	4	0.022342	0.099685
m_SoTeAnt_Fish_pops.txt	4	0.922438	0.099685
m_TroSubIndo_Aves_pops.txt	5	0.048714	0.456553
m_TroSubIndo_Mammalia_pops.txt	5	0.004878	0.456553
m_TroSubIndo_Herps_pops.txt	5	0.005505	0.456553
m_TroSubIndo_Fish_pops.txt	5	0.940901	0.456553
m_PaNoTemp_Aves_pops.txt	6	0.080916	0.068026
m_PaNoTemp_Mammalia_pops.txt	6	0.025257	0.068026
m_PaNoTemp_Herps_pops.txt	6	0.000935	0.068026
m_PaNoTemp_Fish_pops.txt	6	0.892890	0.068026

