"","System","Realm","Taxon","TDV","CurrentPops","MinSampSize","PopsNeeded"
"1","Terrestrial","Afrotropical","Birds",0.497153720110499,166,565.884277016052,399.884277016052
"2","Terrestrial","Afrotropical","Mammals",0.0305582622867529,916,115.525469960981,0
"3","Terrestrial","Afrotropical","Reptiles & Amphibians",0.424955244888208,56,158.583065494499,102.583065494499
"5","Terrestrial","IndoPacific","Birds",0.147516944021151,466,377.85171143754,0
"6","Terrestrial","IndoPacific","Mammals",0.122645129306182,279,181.866505257177,0
"7","Terrestrial","IndoPacific","Reptiles & Amphibians",0.841069772182683,84,533.088927687004,449.088927687004
"9","Terrestrial","Palearctic","Birds",0.0183105341752003,1724,118.688519832065,0
"10","Terrestrial","Palearctic","Mammals",0.0192554484282093,2153,157.306045947049,0
"11","Terrestrial","Palearctic","Reptiles & Amphibians",0.370038737708967,57,137.059706611827,80.0597066118265
"13","Terrestrial","Neotropical","Birds",0.147769896039898,375,304.681601105904,0
"14","Terrestrial","Neotropical","Mammals",0.29800380411738,210,390.945001580558,180.945001580558
"15","Terrestrial","Neotropical","Reptiles & Amphibians",0.166122493162943,225,209.939225235481,0
"17","Terrestrial","Nearctic","Birds",0.00499888833641214,2564,38.0488784373546,0
"18","Terrestrial","Nearctic","Mammals",0.0950870474908664,775,373.942081007535,0
"19","Terrestrial","Nearctic","Reptiles & Amphibians",0.577106039681225,127,516.387588106837,389.387588106837
"25","Freshwater","Afrotropical","Birds",4.60315110713003,143,6767.69403834329,6624.69403834329
"26","Freshwater","Afrotropical","Mammals",0.476604643761904,18,58.3744777554149,40.3744777554149
"27","Freshwater","Afrotropical","Reptiles & Amphibians",0.728930545431723,18,96.4575174449086,78.4575174449086
"28","Freshwater","Afrotropical","Fishes",0.808068378060321,180,1089.54454581673,909.544545816729
"29","Freshwater","IndoPacific","Birds",0.174586005660512,267,264.199014058557,0
"30","Freshwater","IndoPacific","Mammals",0.335518687633786,22,47.117945144695,25.117945144695
"31","Freshwater","IndoPacific","Reptiles & Amphibians",0.242419666980956,141,205.657220337675,64.6572203376753
"32","Freshwater","IndoPacific","Fishes",0.395233341489853,231,600.426484399914,369.426484399914
"33","Freshwater","Palearctic","Birds",0.0387074573079627,1527,254.667267553747,0
"34","Freshwater","Palearctic","Mammals",0.254831023691267,179,276.954884826557,97.9548848265572
"35","Freshwater","Palearctic","Reptiles & Amphibians",0.317353845232611,100,200.535418448541,100.535418448541
"36","Freshwater","Palearctic","Fishes",0.171094677072877,601,580.663792424234,0
"37","Freshwater","Neotropical","Birds",0.348113999302966,88,196.862988505837,108.862988505837
"38","Freshwater","Neotropical","Mammals",3.14574683702364,13,392.306261907732,379.306261907732
"39","Freshwater","Neotropical","Reptiles & Amphibians",0.353016142758878,94,213.790138447028,119.790138447028
"40","Freshwater","Neotropical","Fishes",0.364205895286776,295,696.14684127337,401.14684127337
"41","Freshwater","Nearctic","Birds",0.0123576800439018,736,31.8350183249955,0
"42","Freshwater","Nearctic","Mammals",0.309620826735916,30,58.4317380389135,28.4317380389135
"43","Freshwater","Nearctic","Reptiles & Amphibians",0.259547166674162,307,485.409042608419,178.409042608419
"44","Freshwater","Nearctic","Fishes",0.0805933998441521,821,325.800608673445,0
"49","Marine","Temperate Atlantic","Birds",0.0379577126997621,783,127.601322070122,0
"50","Marine","Temperate Atlantic","Mammals",0.214176404304049,196,246.941142941229,50.9411429412293
"51","Marine","Temperate Atlantic","Reptiles & Amphibians",0.836470644819167,57,359.402005927381,302.402005927381
"52","Marine","Temperate Atlantic","Fishes",0.0387692996486461,2826,472.199745128323,0
"53","Marine","Tropical Atlantic","Birds",0.217619861652561,174,223.39542589852,49.39542589852
"54","Marine","Tropical Atlantic","Mammals",2.08199453951783,20,370.547744518701,350.547744518701
"55","Marine","Tropical Atlantic","Reptiles & Amphibians",0.887049424343246,113,763.698306793445,650.698306793445
"56","Marine","Tropical Atlantic","Fishes",0.0412834697794634,3037,546.579378955207,0
"57","Marine","Arctic","Birds",0.153355897379327,175,148.559511657769,0
"58","Marine","Arctic","Mammals",0.30022828122161,56,105.172459636388,49.172459636388
"60","Marine","Arctic","Fishes",1.19162798646056,36,344.882089549249,308.882089549249
"61","Marine","South temperate","Birds",0.0446766287613132,510,100.768873260712,0
"62","Marine","South temperate","Mammals",0.482340050494171,27,88.8085652158187,61.8085652158187
"64","Marine","South temperate","Fishes",0.174691577039506,246,243.593310775601,0
"65","Marine","IndoPacific","Birds",0.21833362353341,197,253.905539784809,56.9055397848092
"66","Marine","IndoPacific","Mammals",0.275803114673648,68,115.521579086803,47.5215790868035
"67","Marine","IndoPacific","Reptiles & Amphibians",0.578251511474448,86,350.500319626219,264.500319626219
"68","Marine","IndoPacific","Fishes",0.0665281922533099,1103,348.923744529355,0
"69","Marine","Pacific temperate","Birds",0.0836360184031376,245,101.577582701088,0
"70","Marine","Pacific temperate","Mammals",0.234760919383498,154,216.254913507489,62.2549135074887
"71","Marine","Pacific temperate","Reptiles & Amphibians",6.52786619769212,2,143.042114157266,141.042114157266
"72","Marine","Pacific temperate","Fishes",0.054463506588967,798,199.269775497149,0
