"","x"
"1",791.101451121118
"2",120.250113038095
"3",145.253487172689
"4",NA
"5",603.0176147461
"6",220.238377428758
"7",683.227511833514
"8",NA
"9",101.637526949362
"10",152.31337813633
"11",138.36589944414
"12",NA
"13",421.802474643479
"14",578.534797510505
"15",327.319096176091
"16",NA
"17",32.3480753247824
"18",516.963204022399
"19",624.194094493119
"20",NA
"21",7.7808291229324
"22",NA
"23",NA
"24",NA
"25",5677.57103453827
"26",46.0728828693033
"27",81.3797973722951
"28",1443.07250758705
"29",427.788035815342
"30",47.9583289682399
"31",276.467118346766
"32",854.278136635715
"33",254.997817167514
"34",297.164685833342
"35",197.055874027897
"36",843.984190679016
"37",204.814917686854
"38",391.497400785852
"39",323.731637838515
"40",1014.18432682799
"41",22.1021274074955
"42",42.8801708116834
"43",582.365294779304
"44",368.267773594597
"45",NA
"46",NA
"47",NA
"48",NA
"49",136.205185486152
"50",281.317305946386
"51",348.926015609415
"52",596.735730835734
"53",304.118282427158
"54",354.169533335801
"55",821.125844181934
"56",781.183555020364
"57",178.314686494888
"58",102.41584962271
"59",NA
"60",417.521350404884
"61",102.847523700769
"62",74.5664291322182
"63",NA
"64",396.240904887697
"65",282.210076812236
"66",119.235889868592
"67",386.708186123764
"68",496.063816121219
"69",110.363089069404
"70",261.910383962204
"71",109.724637417027
"72",235.84973517582
